labels,text,emo_s,prob_emo_s,emotion_word,prob_max
guilt,"Borrowing a car, and then having a minor accident (breaking a headlight). ",guilt,"[0.8724401593208313, 0.8157976269721985, 0.734703779220581, 0.9595040678977966, 0.5128141045570374, 0.7269173860549927, 0.6771932244300842]",misconduct,0.9595040678977966
joy,Succeeding in helping others. ,joy,"[0.012439369224011898, 0.01968277059495449, 0.019900670275092125, 0.9776161313056946, 0.9941737055778503, 0.010685144923627377, 0.006146350409835577]",achievement,0.9941737055778503
fear,"When I realized that we are living on borrowed time, and that the nuclear holocaust appears to come closer every day. ",fear,"[0.4941411018371582, 0.7817082405090332, 0.8643296360969543, 0.4121946394443512, 0.4309408962726593, 0.8099940419197083, 0.531878650188446]",fear,0.8643296360969543
anger,"When others let me down, fail to keep agreements. ",guilt,"[0.9739314317703247, 0.9735931158065796, 0.8651338815689087, 0.9890046715736389, 0.026945028454065323, 0.9402592778205872, 0.9382380247116089]",misconduct,0.9890046715736389
sadness,Death in the close family. ,sadness,"[0.7001811861991882, 0.739757776260376, 0.8545642495155334, 0.9221423268318176, 0.0065498738549649715, 0.9891491532325745, 0.5095890164375305]",grief,0.9891491532325745
disgust,When people manipulate others through appearing better than what they really are. ,guilt,"[0.6202935576438904, 0.7187303304672241, 0.3568730354309082, 0.8324029445648193, 0.16255828738212585, 0.20550945401191711, 0.19511036574840546]",misconduct,0.8324029445648193
shame,Participating in a theft several years ago. ,guilt,"[0.538356602191925, 0.5716912746429443, 0.25872665643692017, 0.9885798096656799, 0.07990248501300812, 0.32423946261405945, 0.6380693912506104]",misconduct,0.9885798096656799
guilt,"Feeling helpless, not being able to accomplish what I really wanted to do. ",sadness,"[0.9191833734512329, 0.8400440216064453, 0.890923023223877, 0.9081940650939941, 0.005305466707795858, 0.9756410121917725, 0.5950928926467896]",unhappy,0.9756410121917725
joy,I received the message that I'd been accepted at the school where I really wanted to go. ,joy,"[0.07060462981462479, 0.10065880417823792, 0.14061538875102997, 0.676185667514801, 0.9610388278961182, 0.014658572152256966, 0.19784991443157196]",achievement,0.9610388278961182
fear,I came home and discovered that someone had broken in. Then I realized that they probably were still there. ,guilt,"[0.8768718838691711, 0.9031538963317871, 0.8957074284553528, 0.9067254066467285, 0.04319338873028755, 0.8192219138145447, 0.6801295876502991]",misconduct,0.9067254066467285
anger,I was accused of having drunk a bottle of liquor and then refilling with water. ,guilt,"[0.7239272594451904, 0.8461076021194458, 0.7737939953804016, 0.9685034155845642, 0.04635380581021309, 0.450222909450531, 0.8121634721755981]",misconduct,0.9685034155845642
sadness,"Got a package from my parents, without even a small note enclosed. ",joy,"[0.28122496604919434, 0.16382941603660583, 0.1494586318731308, 0.15948720276355743, 0.3922632336616516, 0.19508638978004456, 0.11066192388534546]",achievement,0.3922632336616516
disgust,"Quarreling with my father, when he made false assertions. ",anger,"[0.9877772927284241, 0.9587513208389282, 0.5942588448524475, 0.8328254818916321, 0.1309390515089035, 0.9209262728691101, 0.8093398809432983]",irritation,0.9877772927284241
shame,Telling friends about how my parents had been treating my brothers and sisters unfairly. ,disgust,"[0.818079948425293, 0.9402465224266052, 0.2495827078819275, 0.7676066160202026, 0.15510600805282593, 0.7138965129852295, 0.4843348562717438]",repugnance,0.9402465224266052
guilt,"I've always defended my sister when needed, at the expense of my brother. This has led to feelings of guilt towards him. ",guilt,"[0.5614404678344727, 0.8381758332252502, 0.6938905715942383, 0.9850698709487915, 0.260804146528244, 0.7800210118293762, 0.7728020548820496]",guilt,0.9850698709487915
joy,Winning the local soccer championships this year was a great joy. ,joy,"[0.015593408606946468, 0.002945489017292857, 0.004963813349604607, 0.8613873720169067, 0.9955767393112183, 0.0021670267451554537, 0.05088305473327637]",happy,0.9955767393112183
fear,Before important sports events. ,guilt,"[0.3415186107158661, 0.254690945148468, 0.7831007838249207, 0.7850738167762756, 0.7733819484710693, 0.1059378832578659, 0.10606753081083298]", responsibility,0.7850738167762756
anger,When colliding with my car. I myself was to blame. ,guilt,"[0.547083854675293, 0.6210501790046692, 0.42775875329971313, 0.9919940233230591, 0.11876466125249863, 0.6158520579338074, 0.6559344530105591]",blameworthy,0.9919940233230591
sadness,"Not succeeding in a cross-country skiing competition, which I intended to win. ",sadness,"[0.879611611366272, 0.8758600950241089, 0.7197578549385071, 0.9221595525741577, 0.01439717411994934, 0.9446881413459778, 0.7441069483757019]",unhappy,0.9446881413459778
disgust,Can't remember any episode of disgust. ,disgust,"[0.07178502529859543, 0.36602622270584106, 0.023368800058960915, 0.03636197745800018, 0.2749924659729004, 0.057934559881687164, 0.1248207837343216]",repugnance,0.36602622270584106
shame,"When I got really drunk on Norvegian Indipendence Day, and was not allowed to participate in football (soccer) games for two weeks. That was very unpleasant. ",sadness,"[0.9670732617378235, 0.9767249226570129, 0.7448219060897827, 0.957460343837738, 0.12387978285551071, 0.995712399482727, 0.789977490901947]",unhappy,0.995712399482727
guilt,When I and the boy next door set fire to a house by accident. ,disgust,"[0.4125960171222687, 0.8614931702613831, 0.40027549862861633, 0.80918288230896, 0.015415684320032597, 0.5018907785415649, 0.33480530977249146]",repugnance,0.8614931702613831
joy,Getting the top price in the football pools. ,joy,"[0.33709409832954407, 0.03844485431909561, 0.06464861333370209, 0.7398017644882202, 0.9926196932792664, 0.01675218716263771, 0.05857096239924431]",achievement,0.9926196932792664
fear,Was threatened with a knife . . . in the military by soldiers form another unit. The reason was girls. ,fear,"[0.9016571640968323, 0.9492307901382446, 0.9515159130096436, 0.8193872570991516, 0.0251140296459198, 0.8675968050956726, 0.6860389709472656]",fear,0.9515159130096436
anger,When my mother treats me as a -year old boy. ,anger,"[0.8411446809768677, 0.8162068724632263, 0.416412353515625, 0.4908199608325958, 0.295540452003479, 0.44694268703460693, 0.2489347904920578]",irritation,0.8411446809768677
sadness,Getting to know that my uncle in America had a brain tumor. ,sadness,"[0.26539695262908936, 0.500429093837738, 0.6285408735275269, 0.36580127477645874, 0.770898699760437, 0.8558521866798401, 0.2879548966884613]",sadness,0.8558521866798401
disgust,"Outside a night club, a grown man was sitting on top of a younger woman, beating her up. ",guilt,"[0.8839199542999268, 0.9252145886421204, 0.7518669962882996, 0.9539057612419128, 0.040365707129240036, 0.803466796875, 0.8208087682723999]",misconduct,0.9539057612419128
shame,"My father was a member of the public Alcohol and Drugs Board, when I was picked up by the police for being drunk in a public place. ",guilt,"[0.7377844452857971, 0.7442274689674377, 0.7250704169273376, 0.7889637351036072, 0.3414107859134674, 0.5533159375190735, 0.5412750840187073]",culpability,0.7889637351036072
guilt,"When being illoyal (disloyal) to people close to me. Had such an episode with my sister, who should have received my support and attention. ",guilt,"[0.6705605983734131, 0.8406515717506409, 0.49855026602745056, 0.9609466791152954, 0.02714058756828308, 0.6406802535057068, 0.9083064794540405]",misconduct,0.9609466791152954
joy,"Receiving close friends form abroad, whom I hadn't seen for years. ",joy,"[0.007289867848157883, 0.003265392268076539, 0.019922172650694847, 0.1043015867471695, 0.7616976499557495, 0.006109815556555986, 0.04003429785370827]",blessed,0.7616976499557495
fear,"Motorcycle accident with two people involved, running off the road. Broke an arm, only. ",guilt,"[0.18516065180301666, 0.18285296857357025, 0.09986201673746109, 0.4316859543323517, 0.015763157978653908, 0.22803720831871033, 0.07612258195877075]",culpability,0.4316859543323517
anger,"Having agreed to share the taxi expenses, three people in the back of the car just ran off, leaving the person up front with the entire bill. ",guilt,"[0.8068894743919373, 0.7851867079734802, 0.6648320555686951, 0.967077910900116, 0.017312176525592804, 0.7240524291992188, 0.8799673318862915]",misconduct,0.967077910900116
sadness,Death of a close friend. ,sadness,"[0.36930546164512634, 0.7314424514770508, 0.6202588081359863, 0.8073152899742126, 0.0024506195914000273, 0.9789549112319946, 0.5295842289924622]",grief,0.9789549112319946
disgust,Can't remember any such feelings now. ,shame,"[0.01110068242996931, 0.033003464341163635, 0.012675478123128414, 0.04186587408185005, 0.00958133302628994, 0.01927437074482441, 0.05357961356639862]",discredit,0.05357961356639862
shame,"At a private party I literally fell into the food. The party was completely ruined for the host, carpets had to be cleaned, etc. ",guilt,"[0.5808994174003601, 0.7307754755020142, 0.7278556823730469, 0.8797783851623535, 0.007352412212640047, 0.7185144424438477, 0.5085746049880981]",misconduct,0.8797783851623535
guilt,"Accidentally dropped a friends camera flash, so that it was broken. ",guilt,"[0.7139375805854797, 0.8140541315078735, 0.47136548161506653, 0.9376640319824219, 0.1852961629629135, 0.8393439054489136, 0.5041491389274597]",culpability,0.9376640319824219
joy,Selling my used car. ,joy,"[0.258079469203949, 0.2017529457807541, 0.16715115308761597, 0.8095517754554749, 0.9235156178474426, 0.2547284960746765, 0.1397300511598587]",achievement,0.9235156178474426
fear,"Almost crashing my car, something which could have led to great problems. ",guilt,"[0.8645910024642944, 0.9067747592926025, 0.8516948819160461, 0.9504000544548035, 0.020524922758340836, 0.8395781517028809, 0.6710748076438904]",culpability,0.9504000544548035
anger,Realizing that a friend had been talked into signing a certain contract. ,guilt,"[0.7784394025802612, 0.8022741079330444, 0.7237585186958313, 0.9121109843254089, 0.8855963945388794, 0.8088687658309937, 0.7230237126350403]",misconduct,0.9121109843254089
sadness,"Talking to a pensioned and bitter ""street order"" policeman. ",sadness,"[0.9834696054458618, 0.9940828680992126, 0.44690772891044617, 0.8312910795211792, 0.08161338418722153, 0.9955026507377625, 0.7815146446228027]",unhappy,0.9955026507377625
disgust,The sadistinc exacution of a student in the USA. ,fear,"[0.26936691999435425, 0.910409688949585, 0.9579717516899109, 0.5295037627220154, 0.013707464560866356, 0.8359510898590088, 0.9425519704818726]",horror,0.9579717516899109
shame,Forgetting an important appointment. ,guilt,"[0.8419919013977051, 0.8471393585205078, 0.7846114039421082, 0.9443873167037964, 0.0101846968755126, 0.8796468377113342, 0.8664925694465637]",blameworthy,0.9443873167037964
guilt,Not keeping a promise of delivering materials of great importance to the receiver. ,guilt,"[0.9163395166397095, 0.8483500480651855, 0.7414191961288452, 0.9874327778816223, 0.043214622884988785, 0.8422712683677673, 0.9672436118125916]",misconduct,0.9874327778816223
joy,Managed to run Km on skis fairly simply. ,joy,"[0.12127098441123962, 0.09976135939359665, 0.15417058765888214, 0.4653511047363281, 0.9670246243476868, 0.0717596709728241, 0.07540708780288696]",achievement,0.9670246243476868
fear,Afraid I wouldn't catch the train when I was going to see my sweetheart. ,fear,"[0.6490214467048645, 0.544150173664093, 0.9901781678199768, 0.9059283137321472, 0.38116925954818726, 0.6850119233131409, 0.6525790095329285]",anxiety,0.9901781678199768
anger,Receiving personal criticisms early in the morning. ,shame,"[0.9107144474983215, 0.9388086199760437, 0.47047531604766846, 0.8059908747673035, 0.004999745637178421, 0.7802761197090149, 0.9820984601974487]",discredit,0.9820984601974487
sadness,Not getting a job. ,anger,"[0.8928181529045105, 0.6266311407089233, 0.7459103465080261, 0.6718072295188904, 0.03520110994577408, 0.8590747714042664, 0.5775651335716248]",annoyance,0.8928181529045105
disgust,Seeing a pornographic film when looking for a place to live. ,guilt,"[0.7419226169586182, 0.7914426326751709, 0.7722253203392029, 0.8915603160858154, 0.3245674967765808, 0.09493914991617203, 0.5312760472297668]",misconduct,0.8915603160858154
shame,When unjustified hurting other people. ,guilt,"[0.7874507904052734, 0.9392638802528381, 0.6732727289199829, 0.9759107828140259, 0.012876045890152454, 0.6314449310302734, 0.7505915760993958]",misconduct,0.9759107828140259
guilt,"The negative feelings towards me displayed by my ""parents-in-law"". ",disgust,"[0.8766828179359436, 0.984933078289032, 0.7185829877853394, 0.6878409385681152, 0.02983972802758217, 0.9797231554985046, 0.701641857624054]",repugnance,0.984933078289032
joy,Reunion with my wife after a legal separation. ,joy,"[0.06728305667638779, 0.03359886258840561, 0.09778518974781036, 0.1284671574831009, 0.7474786043167114, 0.048279426991939545, 0.02709934487938881]",achievement,0.7474786043167114
fear,"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic. ",fear,"[0.2888411581516266, 0.9650972485542297, 0.9847311973571777, 0.4329618215560913, 0.11924977600574493, 0.6759558320045471, 0.380064994096756]",anxiety,0.9847311973571777
anger,"Physical violence. A friend wouldn't listen to me I repeatedly tried to warn him, to no avail. Result eight people were ""pissed off"". ",guilt,"[0.8718665242195129, 0.6706991791725159, 0.4402094781398773, 0.9311941862106323, 0.016647646203637123, 0.9294023513793945, 0.23366494476795197]",misconduct,0.9311941862106323
sadness,My father dying. ,sadness,"[0.6375622749328613, 0.8275055289268494, 0.8232882022857666, 0.7823078632354736, 0.004827663768082857, 0.9739649295806885, 0.43570253252983093]",grief,0.9739649295806885
disgust,Maltreatment of children. ,guilt,"[0.5692591667175293, 0.8180801868438721, 0.9197221994400024, 0.9874087572097778, 0.00700077461078763, 0.8122351765632629, 0.7556155323982239]",misconduct,0.9874087572097778
shame,I lost my driver's licence because of speeding. ,guilt,"[0.4560542404651642, 0.5608026385307312, 0.42207205295562744, 0.9403658509254456, 0.016892187297344208, 0.6518092751502991, 0.3237093687057495]",misconduct,0.9403658509254456
guilt,"Car accident, hurt three of my closest family. ",sadness,"[0.6706638336181641, 0.6785846948623657, 0.7099355459213257, 0.7420901656150818, 0.0015685964608564973, 0.8985243439674377, 0.3526470363140106]",sadness,0.8985243439674377
joy,Relating to my closest family. ,guilt,"[0.2141353338956833, 0.15211033821105957, 0.2243293672800064, 0.8928115367889404, 0.8542671799659729, 0.18578311800956726, 0.0657813772559166]", responsibility,0.8928115367889404
fear,"Thinking of the unknown, what happens at the moment of death, etc. ",fear,"[0.6623485088348389, 0.8304296135902405, 0.952290415763855, 0.4823175370693207, 0.009256872348487377, 0.9089255332946777, 0.47914233803749084]",fear,0.952290415763855
anger,"In traffic I often get relatively angry with other drivers. Several transgressions make me mad, especially not yielding to priority traffic (e. g. coming from the right). ",guilt,"[0.9841421246528625, 0.9408047199249268, 0.7810585498809814, 0.9857950210571289, 0.26881787180900574, 0.9104610085487366, 0.8509680032730103]",misconduct,0.9857950210571289
sadness,"Losing close people and animals. So far, I've felt most when losing our dog in a traffic accident. ",sadness,"[0.14026695489883423, 0.5226218700408936, 0.5877442359924316, 0.6218451261520386, 0.03175359591841698, 0.9513811469078064, 0.41998517513275146]",grief,0.9513811469078064
disgust,I feel disgust towards those who are responsible for the death of others. ,disgust,"[0.8662040829658508, 0.9927113056182861, 0.8950105309486389, 0.9738750457763672, 0.06351318210363388, 0.943597137928009, 0.947749674320221]",loathing,0.9927113056182861
shame,"Talking about a person's unattractiveness, not realizing that the person was listening. ",disgust,"[0.7572022080421448, 0.9631568789482117, 0.5872846841812134, 0.8992297649383545, 0.01607297733426094, 0.781610906124115, 0.9389857649803162]",repugnance,0.9631568789482117
guilt,"I often feel guilty, and it has to do with other people, e. g. if I haven't visited my older relatives for a while. ",guilt,"[0.6247925758361816, 0.8406918048858643, 0.5847090482711792, 0.978341817855835, 0.16804718971252441, 0.8028683066368103, 0.9049296975135803]",guilt,0.978341817855835
joy,When the contract about my shop was signed. ,joy,"[0.25066566467285156, 0.2814527750015259, 0.34034353494644165, 0.738972544670105, 0.8795652389526367, 0.24956539273262024, 0.09462307393550873]",achievement,0.8795652389526367
fear,"Being very close to having an auto accident, almost driving off the road. ",fear,"[0.8464797735214233, 0.8141946792602539, 0.9235026836395264, 0.884487509727478, 0.21775996685028076, 0.7024803757667542, 0.6845935583114624]",fear,0.9235026836395264
anger,"Having gone to school without learning anything, as usual. ",anger,"[0.6951234340667725, 0.5038430690765381, 0.17168736457824707, 0.4295658767223358, 0.008029241114854813, 0.6290353536605835, 0.27934160828590393]",irritation,0.6951234340667725
sadness,"My sweatheart were away on a trip, and then she got problems. ",sadness,"[0.8304935693740845, 0.7597406506538391, 0.7755987048149109, 0.7506252527236938, 0.02408258244395256, 0.8476035594940186, 0.3627094030380249]",sadness,0.8476035594940186
disgust,Overeating a traditional type of food - blood pudding. ,guilt,"[0.2086716741323471, 0.11277308315038681, 0.4389413595199585, 0.5954821705818176, 0.5582016110420227, 0.07279004901647568, 0.1337348222732544]",blameworthy,0.5954821705818176
shame,Forgot to do some shopping that I had promised to do. ,guilt,"[0.8168256282806396, 0.44318675994873047, 0.5676239728927612, 0.9331234097480774, 0.013099516741931438, 0.8314594626426697, 0.6152587532997131]",culpability,0.9331234097480774
guilt,I crashed my father's car. ,guilt,"[0.535592257976532, 0.8945800065994263, 0.38395825028419495, 0.9810957312583923, 0.03159056603908539, 0.6735005974769592, 0.5131878852844238]",culpability,0.9810957312583923
joy,Receiving a letter form a girl that means a lot to me emotionally. ,joy,"[0.05319598689675331, 0.013243873603641987, 0.1374741941690445, 0.8273008465766907, 0.8856159448623657, 0.06551072001457214, 0.20362359285354614]",happy,0.8856159448623657
fear,Being close to drowning. ,disgust,"[0.4883584678173065, 0.8738003373146057, 0.8705469965934753, 0.6580654382705688, 0.03958620876073837, 0.5673619508743286, 0.2211708277463913]",repugnance,0.8738003373146057
anger,Being slandered by friends. ,shame,"[0.7765752673149109, 0.9599090814590454, 0.49241092801094055, 0.9411230683326721, 0.005614920053631067, 0.5187841653823853, 0.9897159934043884]",discredit,0.9897159934043884
sadness,Love problems. ,sadness,"[0.6868143081665039, 0.48601675033569336, 0.16449180245399475, 0.42772671580314636, 0.0360003262758255, 0.953606128692627, 0.2209904044866562]",unhappy,0.953606128692627
disgust,Does not apply. ,disgust,"[0.13130170106887817, 0.42664894461631775, 0.05545941740274429, 0.30369478464126587, 0.0203554667532444, 0.22808057069778442, 0.17057083547115326]",repugnance,0.42664894461631775
shame,"Having finally to admit I was wrong, after having denied it for a long time. ",guilt,"[0.7939189672470093, 0.9197394847869873, 0.6304365992546082, 0.9770004749298096, 0.23119086027145386, 0.8183292746543884, 0.7186513543128967]",culpability,0.9770004749298096
guilt,Being aggressive against members of my family. ,guilt,"[0.9545217156410217, 0.8370867371559143, 0.731755256652832, 0.9874861836433411, 0.07226211577653885, 0.5547631978988647, 0.7023673057556152]",misconduct,0.9874861836433411
joy,I won the country ski championship. ,joy,"[0.08610407263040543, 0.6143377423286438, 0.03315781056880951, 0.6562150716781616, 0.994993269443512, 0.010341568849980831, 0.04363632574677467]",achievement,0.994993269443512
fear,I was scared in the dark when I was a little boy. ,fear,"[0.667941689491272, 0.9676400423049927, 0.9872230291366577, 0.9066155552864075, 0.377828449010849, 0.6736962199211121, 0.8556331992149353]",fear,0.9872230291366577
anger,Angry when our team (small boys) lost the county championship football final. ,anger,"[0.9909912347793579, 0.9198336601257324, 0.3796416223049164, 0.7607617378234863, 0.010126547887921333, 0.9821444749832153, 0.6755387187004089]",irritation,0.9909912347793579
sadness,My grandfather's death. ,sadness,"[0.5094274878501892, 0.6600486040115356, 0.5306285619735718, 0.7582943439483643, 0.0087512182071805, 0.9658574461936951, 0.4030645191669464]",grief,0.9658574461936951
disgust,"A teacher gave me lower grades than I was entitled to, and was hoping for. ",sadness,"[0.8396570682525635, 0.8437950015068054, 0.4807559847831726, 0.7319074273109436, 0.18194542825222015, 0.9303659200668335, 0.5179916620254517]",unhappy,0.9303659200668335
shame,Was caught stealing apples in a neighbor's garden. ,guilt,"[0.7176564931869507, 0.7076752781867981, 0.33300361037254333, 0.9913445711135864, 0.057380709797143936, 0.6964432597160339, 0.7734337449073792]",misconduct,0.9913445711135864
guilt,Not helping parents enough at home and at the farm - this has happened many times. ,guilt,"[0.7970361709594727, 0.7637289762496948, 0.4954748749732971, 0.9632420539855957, 0.028119990602135658, 0.6455437541007996, 0.649101734161377]",culpability,0.9632420539855957
joy,"When the bank let me borrow some money this winter, after my grant was spent. ",joy,"[0.19210486114025116, 0.15792280435562134, 0.09659121185541153, 0.503599226474762, 0.8347998261451721, 0.06730586290359497, 0.15142866969108582]",achievement,0.8347998261451721
fear,"Once I was stopped by the police in Spain, when I had some ""grass"" in my tobacco. ",fear,"[0.5262411832809448, 0.7021539807319641, 0.7279837131500244, 0.7054387927055359, 0.23771661520004272, 0.41746169328689575, 0.4266674220561981]",fear,0.7279837131500244
anger,"My father accused my brother of having bumped his car, and it was wrong. ",disgust,"[0.8065943717956543, 0.8844268321990967, 0.49094489216804504, 0.8702920079231262, 0.10153618454933167, 0.6449357271194458, 0.5752957463264465]",repugnance,0.8844268321990967
sadness,When a girlfriend left me. ,sadness,"[0.8439657688140869, 0.9298309087753296, 0.6461123824119568, 0.8099319934844971, 0.01319882646203041, 0.9365442395210266, 0.6448395252227783]",grief,0.9365442395210266
disgust,"When a ""friend"" dropped a frog down my neck, and I didn't know what it was. ",disgust,"[0.6835236549377441, 0.8461201786994934, 0.8113197684288025, 0.6360358595848083, 0.07444392144680023, 0.40130746364593506, 0.5461005568504333]",repugnance,0.8461201786994934
shame,Fighting with my father while drunk. ,anger,"[0.9638100862503052, 0.8440085649490356, 0.30043157935142517, 0.944222092628479, 0.04469797760248184, 0.6745695471763611, 0.5112307071685791]",anger,0.9638100862503052
guilt,During th grade our class mobbed a famale teacher so badly that she had a breackdown and was hospitalized. ,guilt,"[0.8727962374687195, 0.8557409048080444, 0.8523536324501038, 0.8946437239646912, 0.2962694764137268, 0.6160340905189514, 0.6494359374046326]",misconduct,0.8946437239646912
joy,I am a school teacher. At a teacher-parent meeting I received a good deal of positive feed-back on my work both from the parents and through them from the pupils. ,shame,"[0.12429948151111603, 0.10037805140018463, 0.2942599356174469, 0.8797018527984619, 0.8962863087654114, 0.12960420548915863, 0.9144758582115173]",dishonor,0.9144758582115173
fear,"As a child, when I was at home alone, I felt in an indefinate manner afraid of the death of my father and mother. ",fear,"[0.5869954824447632, 0.8711675405502319, 0.9708705544471741, 0.713714063167572, 0.21695120632648468, 0.9421966075897217, 0.4030812084674835]",anxiety,0.9708705544471741
anger,"I had a discussion with my mother concerning my sister's divorce, we disagreed strongly. ",disgust,"[0.6849198341369629, 0.9394458532333374, 0.34225061535835266, 0.5698894262313843, 0.21802696585655212, 0.37397611141204834, 0.34813833236694336]",repugnance,0.9394458532333374
sadness,As a ten-year-old I was at the funeral of my grand-father. It was more the ceremonies held in the church and not really the death of my grand-father which made me sad. ,sadness,"[0.7049299478530884, 0.46183836460113525, 0.4805515706539154, 0.8617095351219177, 0.5776934027671814, 0.8758299946784973, 0.6639761328697205]",sadness,0.8758299946784973
disgust,"I had a discussion with my wife about an over-weight acquaintance of our's, about her eating habits and the scars caused by her pregnancy. ",disgust,"[0.754121720790863, 0.844451904296875, 0.5589271783828735, 0.7123842835426331, 0.13034991919994354, 0.5274657607078552, 0.42353230714797974]",repugnance,0.844451904296875
shame,When I confessed to my girl-friend (now my wife) that I had betrayed her with another woman. ,guilt,"[0.355789452791214, 0.7237082719802856, 0.36868855357170105, 0.9506892561912537, 0.5452090501785278, 0.4719850718975067, 0.7379110455513]",misconduct,0.9506892561912537
guilt,"The same as in ""shame"". ",disgust,"[0.34487998485565186, 0.9954192638397217, 0.23832625150680542, 0.9822198152542114, 0.001742365537211299, 0.9430477619171143, 0.9806306958198547]",repugnance,0.9954192638397217
joy,[ A successful lesson. ] ,joy,"[0.1050320565700531, 0.017759855836629868, 0.21049274504184723, 0.8201574087142944, 0.9966044425964355, 0.009103055112063885, 0.09197400510311127]",achievement,0.9966044425964355
fear,[ I was thinking about death. ] ,sadness,"[0.35538360476493835, 0.8632572293281555, 0.9345422387123108, 0.5450325012207031, 0.005035740789026022, 0.9596516489982605, 0.6653811931610107]",sadness,0.9596516489982605
anger,A conflict with a pupil. ,anger,"[0.9566031694412231, 0.9164323210716248, 0.39368197321891785, 0.7118679285049438, 0.027064334601163864, 0.8915475010871887, 0.30815061926841736]",irritation,0.9566031694412231
sadness,When I am at home alone. ,sadness,"[0.5946725010871887, 0.356140673160553, 0.7561792731285095, 0.8547642827033997, 0.7276328206062317, 0.9208659529685974, 0.5171440839767456]",loneliness,0.9208659529685974
disgust,A saturday night a bus full of drunken people. ,guilt,"[0.6120388507843018, 0.6562792062759399, 0.4305354654788971, 0.9129596948623657, 0.11897743493318558, 0.21138986945152283, 0.44669726490974426]",misconduct,0.9129596948623657
shame,A conflict with a pupil and there were probatory teachers present. ,anger,"[0.9437750577926636, 0.9239646196365356, 0.6993516683578491, 0.8920095562934875, 0.17286451160907745, 0.8196835517883301, 0.4341511130332947]",irritation,0.9437750577926636
guilt,Selling the appartment after my divorce. ,joy,"[0.3247084617614746, 0.20079104602336884, 0.21956104040145874, 0.7772324681282043, 0.831638753414154, 0.3599832355976105, 0.1261451095342636]",achievement,0.831638753414154
joy,When in an economic crisis I got an unexpected sum of money. ,joy,"[0.1502479463815689, 0.11547857522964478, 0.38020452857017517, 0.25456398725509644, 0.7489257454872131, 0.584999144077301, 0.11135173588991165]",blessed,0.7489257454872131
fear,In the dark an unreal figure formed by a shadow. ,disgust,"[0.4552336633205414, 0.6904300451278687, 0.6822423934936523, 0.24796642363071442, 0.656936526298523, 0.6567777991294861, 0.3277673125267029]",repugnance,0.6904300451278687
anger,"[ When I was treated unfairly, regardless of my motives or deeds. ] ",disgust,"[0.9365319013595581, 0.9492177963256836, 0.7846879363059998, 0.7836817502975464, 0.0406673289835453, 0.920194685459137, 0.8789389133453369]",repugnance,0.9492177963256836
sadness,When I noticed obvious marks of old age (in a negative sense) on a close relative of mine. ,disgust,"[0.8935937881469727, 0.9350708723068237, 0.7303647994995117, 0.7071561217308044, 0.08653982728719711, 0.8821325898170471, 0.6237276792526245]",repugnance,0.9350708723068237
disgust,"As a child, when I saw an ""unesthetic"" sight. ",disgust,"[0.8865858316421509, 0.9586896300315857, 0.7886828780174255, 0.6006386876106262, 0.11499006301164627, 0.8803629875183105, 0.6115192770957947]",repugnance,0.9586896300315857
shame,"On a social occasion, I noticed that I reacted on the basis of my autonomous nerve system (I could not help it). ",anger,"[0.8528043031692505, 0.5908176302909851, 0.7055394053459167, 0.5696756839752197, 0.5940670967102051, 0.5145516991615295, 0.4049323797225952]",irritation,0.8528043031692505
guilt,When I caused needless anxiety to a person close to me because of my lack of self-insight. ,guilt,"[0.9162716269493103, 0.7682322263717651, 0.9578400254249573, 0.9794626832008362, 0.03949284553527832, 0.5894261598587036, 0.7998533844947815]",blameworthy,0.9794626832008362
joy,I was coming home from an exam and I supposed that I had passed it so I ran to a restaurant for a beer. ,joy,"[0.29104599356651306, 0.07502222806215286, 0.567987859249115, 0.580666720867157, 0.969556987285614, 0.07371806353330612, 0.2683143615722656]",achievement,0.969556987285614
fear,I had been drinking with a pal and I later ( o' clock) had a date with my fiancee. We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking. ,fear,"[0.8213658928871155, 0.9407312870025635, 0.971086323261261, 0.8733996748924255, 0.18811950087547302, 0.6126914024353027, 0.7332503199577332]",fear,0.971086323261261
anger,My fiancee and I were at my parent's place watching TV. There were only two TV-chairs and we were sitting on them when my drunken brother came in and rudely chased my fiancee off the chair she was sitting on. ,guilt,"[0.7651344537734985, 0.9303463101387024, 0.6877630949020386, 0.9446916580200195, 0.3057657480239868, 0.6708845496177673, 0.8197391033172607]",misconduct,0.9446916580200195
sadness,I had drunk a couple of beers and my fiancee got angry at me. ,anger,"[0.944341242313385, 0.9109634757041931, 0.4766923189163208, 0.9082014560699463, 0.06640778481960297, 0.8826964497566223, 0.6744895577430725]",irritation,0.944341242313385
disgust,We were at a hamburger bar and a man at a table nearby started coughing and spitting into his plate. ,anger,"[0.9020988345146179, 0.856642484664917, 0.7187730669975281, 0.6620733141899109, 0.20378218591213226, 0.8432086110115051, 0.6041648983955383]",irritation,0.9020988345146179
shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately FIM. I felt ashamed when my parents came to know about this. ,shame,"[0.864493727684021, 0.9891183376312256, 0.7877439260482788, 0.982617199420929, 0.11715459078550339, 0.9443864226341248, 0.9937806725502014]",embarrassment,0.9937806725502014
