labels,text,expr_s,prob_expr_s,emotion_word,prob_max
shame,The day after the night I drank too much at a party. ,guilt,"[0.7711912393569946, 0.8609504699707031, 0.6868884563446045, 0.9802873730659485, 0.17691603302955627, 0.8240516781806946, 0.8586546182632446]",blameworthy,0.9802873730659485
joy,When I was accepted as a student of Psychology here at Gutttenburg. ,joy,"[0.1877734214067459, 0.121431365609169, 0.1987154632806778, 0.368052214384079, 0.9840987324714661, 0.14979079365730286, 0.05898446589708328]",an achievement,0.9840987324714661
fear,I woke up in the middle of the night as I had jumped and shouted with fear. I thought that someone's cold hand or something similar had touched my hand. I crept down under the covers and went back to sleep. ,fear,"[0.09016731381416321, 0.9802480340003967, 0.9950119256973267, 0.4774578809738159, 0.02423570118844509, 0.33658549189567566, 0.15405438840389252]",fear,0.9950119256973267
disgust,When I was a young teenager () my brother-in-law to be had made heavy advances to me. I did not understand very well what it was all about but I reacted strongly and the feelings are still there. ,disgust,"[0.9747538566589355, 0.9907168745994568, 0.9036405086517334, 0.9234933257102966, 0.10431958734989166, 0.9825912117958069, 0.8002302646636963]",repugnance,0.9907168745994568
guilt,I broke off with my partner as I wanted him as a friend and not as a lover. He reacted very violently and I felt guilty as I had made him so desperately unhappy. ,guilt,"[0.8289012908935547, 0.8702311515808105, 0.9070302844047546, 0.9932398796081543, 0.11639992892742157, 0.9516595005989075, 0.9821804761886597]",guilt,0.9932398796081543
joy,I made dinner for some friends and they appreciated it very much. ,guilt,"[0.004049848299473524, 0.004074450116604567, 0.02582700178027153, 0.9884065985679626, 0.9880857467651367, 0.006140705663710833, 0.0044688573107123375]",responsibility,0.9884065985679626
fear,I was nearly knocked down while I was cycling. ,fear,"[0.9448087215423584, 0.8725751042366028, 0.9804441928863525, 0.8106921911239624, 0.04259105399250984, 0.8706589937210083, 0.8537514805793762]",scare,0.9804441928863525
anger,My father and I had an argument because I do not help enough at home. ,guilt,"[0.9966400861740112, 0.9822012782096863, 0.5850070118904114, 0.9967373013496399, 0.01534161064773798, 0.995811939239502, 0.9174377918243408]",blameworthy,0.9967373013496399
disgust,I had intercourse with someone and then I realized that what I had done was wrong and it disgusted me. ,disgust,"[0.9964826107025146, 0.9981870055198669, 0.994716227054596, 0.9973012804985046, 0.009128336794674397, 0.9977437257766724, 0.997048556804657]",repugnance,0.9981870055198669
guilt,I said nasty things which I did not mean to a friend. ,guilt,"[0.9899821877479553, 0.9925515651702881, 0.5991038680076599, 0.9976166486740112, 0.003252193331718445, 0.977308452129364, 0.9849837422370911]",blameworthy,0.9976166486740112
joy,After intercourse. ,guilt,"[0.36384516954421997, 0.44956374168395996, 0.3067936897277832, 0.9086769819259644, 0.5974566340446472, 0.2963259816169739, 0.3363862633705139]",misconduct,0.9086769819259644
fear,Disappointment over a friend. ,sadness,"[0.9667981863021851, 0.9892624020576477, 0.2105514109134674, 0.9979519248008728, 0.0010380711173638701, 0.9994014501571655, 0.8879218697547913]",unhappiness,0.9994014501571655
anger,Quarrelled with my younger brother. ,sadness,"[0.997546374797821, 0.9941784143447876, 0.7527342438697815, 0.9904532432556152, 0.015818806365132332, 0.9979812502861023, 0.6010940670967102]",unhappiness,0.9979812502861023
sadness,When I woke up after a nightmare. ,fear,"[0.8164633512496948, 0.966040313243866, 0.9942469000816345, 0.5083671808242798, 0.05422322824597359, 0.9659126996994019, 0.29573699831962585]",scare,0.9942469000816345
disgust,Helping older people on the toilet. ,guilt,"[0.230271115899086, 0.11984235048294067, 0.16847527027130127, 0.979877769947052, 0.7902721166610718, 0.1777517944574356, 0.11229633539915085]",responsibility,0.979877769947052
guilt,Squeezed the puppy in the door. ,joy,"[0.9334611296653748, 0.871060848236084, 0.7161538004875183, 0.966152012348175, 0.976713240146637, 0.9251756072044373, 0.5609884858131409]",an achievement,0.976713240146637
joy,When I was notified that I had been accepted as a Psychology student. ,joy,"[0.08732205629348755, 0.04271852970123291, 0.1612756997346878, 0.36676788330078125, 0.994340181350708, 0.05660686269402504, 0.027104675769805908]",an achievement,0.994340181350708
fear,Motor failure on a boat outside Gottenburg when we were in heavy seas and the wind was strong. As we could not steer the boat we drifted towards the rocks. We did not succeed in attracting the attention of any passerby until hours had elapsed. ,fear,"[0.8438090682029724, 0.8392364978790283, 0.9481991529464722, 0.8841577172279358, 0.616713285446167, 0.9241517782211304, 0.718474268913269]",anxiety,0.9481991529464722
anger,A lady I live with had not bothered to clean up before she went on holiday (I live in a collective). ,guilt,"[0.9794613122940063, 0.9559077024459839, 0.8313084244728088, 0.9818810224533081, 0.5548295378684998, 0.9731287360191345, 0.9522761106491089]",blameworthy,0.9818810224533081
sadness,When I heard that a good friend had committed suicide. ,sadness,"[0.869021475315094, 0.985283374786377, 0.9712245464324951, 0.9776345491409302, 0.06357705593109131, 0.9946363568305969, 0.9093433618545532]",sadness,0.9946363568305969
disgust,I was present when they found a shop-keeper dead in his shop. He had been shot with a shotgun at close range. ,sadness,"[0.7667258381843567, 0.9090690016746521, 0.918922483921051, 0.9039794206619263, 0.2361428439617157, 0.94838547706604, 0.7172752618789673]",sadness,0.94838547706604
shame,[ I do not remember when I last felf ashamed. I do not usually feel ashamed of what I do. ] ,disgust,"[0.9088337421417236, 0.9407756924629211, 0.7983902096748352, 0.8785737156867981, 0.7586454749107361, 0.938771665096283, 0.8870595097541809]",repugnance,0.9407756924629211
guilt,My mother accused me of not visiting her enough when she was in hospital for an eye operation. ,guilt,"[0.9920620918273926, 0.9735904335975647, 0.6961211562156677, 0.9964809417724609, 0.03541151061654091, 0.9934237003326416, 0.9641183614730835]",blameworthy,0.9964809417724609
joy,"After I had made my debut at Ullevi against IFK, Gottenburg and got a good write up in the paper. ",joy,"[0.033154577016830444, 0.011750607751309872, 0.03125374764204025, 0.6337266564369202, 0.9947768449783325, 0.03470909595489502, 0.007326650898903608]",an achievement,0.9947768449783325
fear,"When I was - years old, I woke up one night and found myself alone at home. My mother had gone out to buy cigarattes from a machine. ",sadness,"[0.9251796007156372, 0.8595548272132874, 0.9666714668273926, 0.9302296042442322, 0.4871825873851776, 0.9911856055259705, 0.8138483166694641]",loneliness,0.9911856055259705
sadness,When I found out that I had failed to pass my exams during the term by one point. The fact that exactly the same thing had happened last term did not help. ,sadness,"[0.9881466627120972, 0.9771939516067505, 0.9845098853111267, 0.9648293256759644, 0.02786864899098873, 0.9958912134170532, 0.9816218018531799]",unhappiness,0.9958912134170532
disgust,"When I was touring Asia with my present football team, I saw old Europeans with young asiatic prostitutes. ",guilt,"[0.9059263467788696, 0.9054936170578003, 0.713636040687561, 0.9181310534477234, 0.29000335931777954, 0.8182660937309265, 0.7608955502510071]",misconduct,0.9181310534477234
joy,As an evening class teacher I got positive feedback. When the atmosphere is good and a kind of relaxed understanding exists. ,sadness,"[0.007547744549810886, 0.0058700223453342915, 0.04201621562242508, 0.6024591326713562, 0.8482884168624878, 0.870866060256958, 0.1385287046432495]",grief,0.870866060256958
fear,After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him. ,guilt,"[0.912672758102417, 0.8196670413017273, 0.7984706163406372, 0.993752658367157, 0.5957097411155701, 0.8794381022453308, 0.7399360537528992]",misconduct,0.993752658367157
anger,The sight of a man who ran amok (fighting) at a dance. ,guilt,"[0.9439982175827026, 0.9712870717048645, 0.9629061222076416, 0.9797677397727966, 0.30920496582984924, 0.9297528862953186, 0.7475815415382385]",misconduct,0.9797677397727966
sadness,When out of work. ,sadness,"[0.8676184415817261, 0.6483634114265442, 0.7624965906143188, 0.8394147157669067, 0.27597084641456604, 0.9265168905258179, 0.42523279786109924]",unhappiness,0.9265168905258179
disgust,"With my mouth full of bun, I drank directly from a packet of milk which turned out to be weeks old (completely separated). It took a while for the milk to seep through the bun. ",guilt,"[0.8675998449325562, 0.706673800945282, 0.6157691478729248, 0.892905056476593, 0.5505284070968628, 0.830342173576355, 0.8483802080154419]",blameworthy,0.892905056476593
guilt,A boy who shot dead a squirrel. ,joy,"[0.8699557781219482, 0.9170123338699341, 0.7680463790893555, 0.9646419882774353, 0.990756094455719, 0.8739691972732544, 0.579169750213623]",an achievement,0.990756094455719
joy,When I was accepted as supervisor for a student teacher. The notification came by post. ,joy,"[0.08200668543577194, 0.06320197880268097, 0.15264379978179932, 0.9507219791412354, 0.9837856292724609, 0.0429263636469841, 0.036975592374801636]",an achievement,0.9837856292724609
fear,"When I was involved in a car accident last November, after the first fall of snow. I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder. It was stopped by a pole on top of a bank sloping down to a stream. ",guilt,"[0.7714940905570984, 0.7766869068145752, 0.8667493462562561, 0.9146099090576172, 0.34153807163238525, 0.8365787863731384, 0.7486915588378906]",culpability,0.9146099090576172
anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post. I had more years of service than the male teacher, but this was not taken into consideration. I could have been given a less attractive job if things had gone the way the headmaster wanted. ",sadness,"[0.9831897020339966, 0.9358189702033997, 0.9537405967712402, 0.95560222864151, 0.7499982118606567, 0.9860970377922058, 0.9128654599189758]",unhappiness,0.9860970377922058
sadness,A colleague's year old daughter is seriously ill with cancer and has only a year to live. I heard about it weeks ago. ,sadness,"[0.40985485911369324, 0.8629330992698669, 0.8979154229164124, 0.7792819738388062, 0.1236729547381401, 0.9699773788452148, 0.6917102336883545]",sadness,0.9699773788452148
joy,"When a close friend met me at the station in the middle of the night, when I came back from a long and tiring journey. ",joy,"[0.16610722243785858, 0.08163347095251083, 0.5604290962219238, 0.4847472012042999, 0.9651443362236023, 0.27802664041519165, 0.1534947156906128]",the blessing,0.9651443362236023
fear,"Having quarreled with a boyfriend, he threatened to leave me. ",sadness,"[0.9898742437362671, 0.9796634316444397, 0.9866172075271606, 0.9799031615257263, 0.04635642096400261, 0.9930061101913452, 0.8218549489974976]",unhappiness,0.9930061101913452
anger,Someone didn't show up at a meeting in spite of having agreed to come. ,guilt,"[0.9645546078681946, 0.8498539924621582, 0.9022274613380432, 0.9885895252227783, 0.05287046357989311, 0.9733234643936157, 0.9300934672355652]",misconduct,0.9885895252227783
sadness,"When I understood that my marriage was falling apart, and we decided to be legally separated. ",sadness,"[0.7434635162353516, 0.6898289918899536, 0.7329001426696777, 0.8831636309623718, 0.15337109565734863, 0.9685885906219482, 0.47210678458213806]",unhappiness,0.9685885906219482
disgust,"At an anti-pornography meeting, when samples from films and magazines were shown. ",disgust,"[0.7243961691856384, 0.9912848472595215, 0.85569167137146, 0.7073625326156616, 0.15115423500537872, 0.5997463464736938, 0.7408307194709778]",repugnance,0.9912848472595215
shame,Comments from other children on my alcoholic father ,disgust,"[0.7796400189399719, 0.9202192425727844, 0.6572116017341614, 0.900698721408844, 0.051394250243902206, 0.8616224527359009, 0.8080859184265137]",repugnance,0.9202192425727844
guilt,"Having failed to help with the th of March arrangements (Women's Day), although I had previously promised to take part in the work. ",guilt,"[0.9803743958473206, 0.9631155133247375, 0.932339072227478, 0.9958945512771606, 0.02248532325029373, 0.9918783903121948, 0.9849029779434204]",misconduct,0.9958945512771606
joy,"When I was able to buy my new car, after lots of problems. ",joy,"[0.8393984436988831, 0.22838425636291504, 0.4671090245246887, 0.41090577840805054, 0.9867386817932129, 0.04399801790714264, 0.042770661413669586]",an achievement,0.9867386817932129
fear,"After my car accident, when I woke up in a heap of stones. ",fear,"[0.7205418944358826, 0.861923098564148, 0.9372735023498535, 0.6071515679359436, 0.07053928077220917, 0.8569096326828003, 0.6639891862869263]",scare,0.9372735023498535
anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin. ",anger,"[0.988120436668396, 0.9420186281204224, 0.7681268453598022, 0.9818471074104309, 0.01485590822994709, 0.9796336889266968, 0.9863349199295044]",annoyance,0.988120436668396
sadness,When my grandfather died. ,sadness,"[0.7333805561065674, 0.9217237830162048, 0.9294916987419128, 0.9871821403503418, 0.4841431677341461, 0.993640124797821, 0.5350807309150696]",grief,0.993640124797821
shame,"Hit a dog with my car, and didn't stop. ",guilt,"[0.8602471351623535, 0.9183510541915894, 0.5958529114723206, 0.9956451654434204, 0.12453091144561768, 0.9092280268669128, 0.7185548543930054]",blameworthy,0.9956451654434204
guilt,"Car accident. I let a -year old, incompetent parson take the wheel and I feel very guilty about what happened even though I suffered the worst injuries. ",guilt,"[0.6654368042945862, 0.9905823469161987, 0.9556313157081604, 0.9986059069633484, 0.01103259064257145, 0.9944804906845093, 0.9944672584533691]",guilt,0.9986059069633484
joy,When I was admitted to a certain school as a student. ,joy,"[0.19538389146327972, 0.16629838943481445, 0.4238584637641907, 0.5312876105308533, 0.9835742712020874, 0.13689450919628143, 0.09771466255187988]",an achievement,0.9835742712020874
fear,My father has a chronic desease. In the autumn of he had a very strong fit or seizure. ,sadness,"[0.3117179870605469, 0.573418378829956, 0.8486491441726685, 0.706342339515686, 0.44451767206192017, 0.8510627150535583, 0.19699768722057343]",sadness,0.8510627150535583
anger,"A drunken friend of mine was beating up another friend, who was also drunk. ",guilt,"[0.9547574520111084, 0.9576525092124939, 0.8640111088752747, 0.989626407623291, 0.10356445610523224, 0.9337034225463867, 0.7254579663276672]",misconduct,0.989626407623291
sadness,When I didn't get a certain job at Lillehammer which I wanted very much. ,sadness,"[0.9909524917602539, 0.9823947548866272, 0.9662169814109802, 0.9898264408111572, 0.01300084125250578, 0.9976415634155273, 0.8037844300270081]",unhappiness,0.9976415634155273
disgust,My boss on the job failed to keep his promise about something he knew was extremely important to me. ,guilt,"[0.9823510646820068, 0.9816488027572632, 0.95757657289505, 0.9956172704696655, 0.010096505284309387, 0.9940191507339478, 0.9658707976341248]",blameworthy,0.9956172704696655
shame,An exam where questions about very specific knowledge were asked. ,fear,"[0.27450793981552124, 0.15603294968605042, 0.3278592526912689, 0.21070349216461182, 0.2569468915462494, 0.14416886866092682, 0.06498290598392487]",anxiety,0.3278592526912689
guilt,I hit my little sisiter on the head with a stone while we were fighting. ,guilt,"[0.9941644072532654, 0.9796613454818726, 0.4731200635433197, 0.9945712685585022, 0.663242518901825, 0.9552304148674011, 0.8702848553657532]",blameworthy,0.9945712685585022
joy,"When my father managed to begin a ""new life"" after the divorce from my mother resulting in a new little sister for me. ",joy,"[0.644629716873169, 0.5432165861129761, 0.2321424037218094, 0.65789794921875, 0.9855622053146362, 0.5080516934394836, 0.14493097364902496]",an achievement,0.9855622053146362
fear,"A ""near-accident"" in a car, driving too fast on an icy road. ",guilt,"[0.7679318785667419, 0.8514418601989746, 0.910136878490448, 0.9807367324829102, 0.022214222699403763, 0.7873421907424927, 0.6539641618728638]",blameworthy,0.9807367324829102
anger,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen. ",guilt,"[0.9691681861877441, 0.9857839941978455, 0.8578051924705505, 0.9866223931312561, 0.05113821476697922, 0.9805559515953064, 0.9842660427093506]",blameworthy,0.9866223931312561
sadness,"Being bored in school, not being able to marry and have children. ",sadness,"[0.9913982152938843, 0.9800360798835754, 0.9797670841217041, 0.9885371923446655, 0.007773413322865963, 0.998016357421875, 0.7706872224807739]",unhappiness,0.998016357421875
disgust,When my mother's new husband treated her and my brothers and sisters badly. ,sadness,"[0.9808019995689392, 0.992706835269928, 0.9028392434120178, 0.989498496055603, 0.026308206841349602, 0.9935579895973206, 0.9557726383209229]",unhappiness,0.9935579895973206
shame,Stealing from my mother's purse when I was a little boy. ,guilt,"[0.8909918665885925, 0.8989688158035278, 0.4667137563228607, 0.9969826340675354, 0.10586041957139969, 0.8808246850967407, 0.9912410974502563]",blameworthy,0.9969826340675354
joy,"I was in hospital, and then was visited by someone quite unexpected. ",fear,"[0.61100172996521, 0.45700913667678833, 0.9112599492073059, 0.3955436944961548, 0.7417351007461548, 0.417849063873291, 0.537722647190094]",scare,0.9112599492073059
fear,"I was hunting, and was lost in the fog in the mountains. ",fear,"[0.8966401815414429, 0.6888954043388367, 0.9481847882270813, 0.8856151700019836, 0.1452699452638626, 0.9436313509941101, 0.7365018725395203]",anxiety,0.9481847882270813
anger,"I was accused of a misdemeanour, unjustly. ",disgust,"[0.9812179803848267, 0.9852516651153564, 0.9254339337348938, 0.9702569842338562, 0.048112522810697556, 0.9759774208068848, 0.9461246728897095]",repugnance,0.9852516651153564
sadness,When my girlfriend left me. ,sadness,"[0.9626350402832031, 0.9789389371871948, 0.9228739738464355, 0.9840732216835022, 0.013884863816201687, 0.9933381080627441, 0.8995643258094788]",unhappiness,0.9933381080627441
disgust,Slaughtering of animals. ,guilt,"[0.746097207069397, 0.8740125298500061, 0.8250548839569092, 0.9929782748222351, 0.05804373696446419, 0.48845815658569336, 0.6080777645111084]",misconduct,0.9929782748222351
shame,"I entered the wrong room, and got into a bed where someone already was sleeping. ",guilt,"[0.965129554271698, 0.963211715221405, 0.9601576924324036, 0.9873546957969666, 0.030606651678681374, 0.9616014361381531, 0.9279701709747314]",blameworthy,0.9873546957969666
guilt,I failed to show up at an agreed date. ,guilt,"[0.8834874033927917, 0.8534767031669617, 0.7553688287734985, 0.9967128038406372, 0.006082827225327492, 0.9329208731651306, 0.9622196555137634]",culpability,0.9967128038406372
joy,"When I finally managed to get a specific sound from my guitar, after baving tried for a long time. ",joy,"[0.01850237138569355, 0.02718721516430378, 0.03759966418147087, 0.3038385212421417, 0.9958439469337463, 0.03229575976729393, 0.017417332157492638]",an achievement,0.9958439469337463
fear,"Climbing a mountain, I got stuck and realized I could get neither up nor down. ",sadness,"[0.9722191095352173, 0.9636894464492798, 0.9729123711585999, 0.9440479278564453, 0.03424156457185745, 0.9807312488555908, 0.8959251642227173]",unhappiness,0.9807312488555908
anger,Meeting generally dominating persons in social occasions. ,joy,"[0.16792133450508118, 0.09473732858896255, 0.17531639337539673, 0.2788085341453552, 0.8405455350875854, 0.05222174525260925, 0.023588841781020164]",the awesome,0.8405455350875854
sadness,"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so. ",sadness,"[0.9423128962516785, 0.9286721348762512, 0.7222442030906677, 0.9469444751739502, 0.939702033996582, 0.9796686768531799, 0.8267977237701416]",unhappiness,0.9796686768531799
disgust,Can't describe any disgust situation. ,joy,"[0.02054121531546116, 0.014525474980473518, 0.009273865260183811, 0.032740626484155655, 0.1290448009967804, 0.04471573978662491, 0.012421457096934319]",pleasure,0.1290448009967804
shame,When the cast general election resulted in Norway getting a conservative government. ,joy,"[0.3617900311946869, 0.2589639127254486, 0.2644459307193756, 0.4718588590621948, 0.9647449851036072, 0.27414751052856445, 0.12444360554218292]",an achievement,0.9647449851036072
guilt,A friend of mine shot himself through the head after having told me and others that he would do so. ,sadness,"[0.8071542978286743, 0.9455337524414062, 0.9506269693374634, 0.9276866912841797, 0.1559419333934784, 0.9813832640647888, 0.8483020663261414]",sadness,0.9813832640647888
joy,When my children were born. ,guilt,"[0.43284371495246887, 0.3188123404979706, 0.50258868932724, 0.9836179614067078, 0.8933889865875244, 0.868718683719635, 0.27307212352752686]",responsibility,0.9836179614067078
fear,When I almost ran over a small boy who suddenly was in front of my car. ,guilt,"[0.9650328755378723, 0.9846293926239014, 0.9749837517738342, 0.9874861836433411, 0.08064069598913193, 0.9601678252220154, 0.9113550782203674]",blameworthy,0.9874861836433411
anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals. ",guilt,"[0.9345539808273315, 0.8402653932571411, 0.9156334400177002, 0.9409408569335938, 0.2990177273750305, 0.9239643812179565, 0.45789626240730286]",responsibility,0.9409408569335938
sadness,When I was told that a good friend was seriously ill. ,sadness,"[0.5201690793037415, 0.910842776298523, 0.9844098091125488, 0.9706974029541016, 0.4153781235218048, 0.9881373047828674, 0.6706404685974121]",sorrow,0.9881373047828674
disgust,When I learned that a relative had been spreading rumours about me. ,sadness,"[0.9733541011810303, 0.9803005456924438, 0.95163893699646, 0.9383196830749512, 0.16799315810203552, 0.9811702370643616, 0.9670578837394714]",unhappiness,0.9811702370643616
shame,"I was talking badly about a person to some friends, and discovered that his daughter was listening. ",guilt,"[0.9781879186630249, 0.9914264678955078, 0.9066641330718994, 0.9956566095352173, 0.004866765812039375, 0.9901476502418518, 0.9936460256576538]",blameworthy,0.9956566095352173
guilt,"When my ex-husband left our house, and the children cried because he was not coming back. ",sadness,"[0.7580361366271973, 0.8964030742645264, 0.9346233606338501, 0.9810865521430969, 0.037883371114730835, 0.9947941899299622, 0.34871694445610046]",sadness,0.9947941899299622
joy,"When my special friend said ""I love you"" for the first time. ",joy,"[0.0015302211977541447, 0.0015644603408873081, 0.026408687233924866, 0.19925402104854584, 0.9847788214683533, 0.008273851126432419, 0.008138054050505161]",happiness,0.9847788214683533
fear,"After having watched a crime show on the TV, I was about to take the dog for a walk. Then, suddenly, there was a man on the porch. . . (We live some distance away from other people). ",fear,"[0.9054531455039978, 0.9058959484100342, 0.9592632055282593, 0.712434709072113, 0.1718156337738037, 0.8787069916725159, 0.7014176845550537]",scare,0.9592632055282593
anger,When my car suddenly broke down ! ,sadness,"[0.9949316382408142, 0.9890263676643372, 0.9896705746650696, 0.967022716999054, 0.11013444513082504, 0.9954000115394592, 0.9288580417633057]",unhappiness,0.9954000115394592
sadness,When an earlier friend was spreading negative rumours about me. ,sadness,"[0.9506025314331055, 0.970289409160614, 0.834439218044281, 0.9253131747245789, 0.007266519125550985, 0.977412760257721, 0.9128312468528748]",unhappiness,0.977412760257721
disgust,"There is a certain person, whom I only have seen. He makes me cringe, feel disgust. ",disgust,"[0.9976032376289368, 0.9987671375274658, 0.9977056384086609, 0.9672124981880188, 0.027813462540507317, 0.997319757938385, 0.9973090887069702]",repugnance,0.9987671375274658
shame,Cheating to get the best grade on a test in th grade. ,guilt,"[0.8227516412734985, 0.8413759469985962, 0.291030615568161, 0.995507001876831, 0.8669412732124329, 0.6316236853599548, 0.8840080499649048]",misconduct,0.995507001876831
guilt,"A kitten had wandered into our office, and I was told to take it back across the street. When I crossed back, the kitten followed me and was run over and killed by a car. ",sadness,"[0.8965261578559875, 0.9749627709388733, 0.9554727077484131, 0.970975399017334, 0.018153665587306023, 0.9926404356956482, 0.955373227596283]",sadness,0.9926404356956482
joy,When my term paper was evaluated. ,anger,"[0.8955455422401428, 0.5527154803276062, 0.885233461856842, 0.6459634304046631, 0.696017861366272, 0.8153010606765747, 0.7766379714012146]",annoyance,0.8955455422401428
fear,"After seeing a terror movie at the cinema, I was so scared that I couldn't even drive the car into the garage. I often thought about the film afterwards, hoping such things couldn't exist in the ""real world"". ",fear,"[0.06933636963367462, 0.9816001057624817, 0.9908111095428467, 0.7858807444572449, 0.014594299718737602, 0.9427044987678528, 0.36612820625305176]",fear,0.9908111095428467
anger,"Angry with my brother, who was making fun of me, teasing me. ",anger,"[0.9990647435188293, 0.9966835379600525, 0.11511336266994476, 0.9958571791648865, 0.02691974863409996, 0.9959301352500916, 0.8523502945899963]",anger,0.9990647435188293
sadness,When my gradmother died. ,sadness,"[0.6962769031524658, 0.8974331021308899, 0.9098955392837524, 0.9780710339546204, 0.17901748418807983, 0.9919814467430115, 0.4096842408180237]",grief,0.9919814467430115
shame,I overreacted towards my mother and felt ashamed afterwards. ,shame,"[0.9891658425331116, 0.9965528249740601, 0.9033237099647522, 0.9967933297157288, 0.017871832475066185, 0.9844430088996887, 0.9981367588043213]",embarrassment,0.9981367588043213
guilt,"When my parents work very hard and get tired - while I go to school and study instead of helping them. I feel that I'm letting them down, disappointing them. ",sadness,"[0.9873569011688232, 0.997480571269989, 0.9845373630523682, 0.996971607208252, 0.01041566301137209, 0.9981422424316406, 0.9941891431808472]",unhappiness,0.9981422424316406
joy,Got in touch with earlier friends after a long absence. ,joy,"[0.03955182060599327, 0.024043621495366096, 0.046323686838150024, 0.34693828225135803, 0.984329879283905, 0.03017565608024597, 0.01957053691148758]",an achievement,0.984329879283905
fear,I lost my way on a trip in the mountains. ,guilt,"[0.9597941040992737, 0.8589963912963867, 0.9605357050895691, 0.9830226302146912, 0.03255634009838104, 0.9229834675788879, 0.9248006939888]",culpability,0.9830226302146912
anger,"Being subject to unfair treatment in a working group, someone ""bending the rules"" was protected by the boss. This resulted in more work for the others. ",guilt,"[0.9480223655700684, 0.9634337425231934, 0.7241340279579163, 0.9833837747573853, 0.005444168113172054, 0.9745262861251831, 0.9290739893913269]",blameworthy,0.9833837747573853
sadness,The death of a close friend. ,sadness,"[0.6585730910301208, 0.9076506495475769, 0.9201978445053101, 0.9770058989524841, 0.020300956442952156, 0.9906706809997559, 0.4396885931491852]",sadness,0.9906706809997559
disgust,"Was confronted with a person having negative thoughts of other people because of their social status, beliefs, color and outlook on life (perspective). ",disgust,"[0.9299496412277222, 0.9772186279296875, 0.7146242260932922, 0.9486733675003052, 0.008167203515768051, 0.9390386939048767, 0.8922365307807922]",repugnance,0.9772186279296875
shame,"Feeling inadequate in a group situation, being unable to convey my own thoughts and feelings. ",disgust,"[0.8107366561889648, 0.9935947060585022, 0.9836758971214294, 0.7705228328704834, 0.0026813247241079807, 0.9892027974128723, 0.9668265581130981]",repugnance,0.9935947060585022
guilt,I failed to complete a working task within the agreed time. ,guilt,"[0.9332169890403748, 0.9110875129699707, 0.7846860289573669, 0.9968078136444092, 0.006852179765701294, 0.9466917514801025, 0.9430850744247437]",culpability,0.9968078136444092
joy,Receiving a much wanted letter from a very good friend who lives abroad. ,joy,"[0.004701758269220591, 0.002975765150040388, 0.03912130743265152, 0.18199536204338074, 0.9813817739486694, 0.30077335238456726, 0.002467410173267126]",pleasure,0.9813817739486694
fear,"Before getting back the results of a test in school, when I had worked very hard and was worried about not succeeding. ",fear,"[0.2754257023334503, 0.439668208360672, 0.9970746040344238, 0.6735227108001709, 0.16749806702136993, 0.7279432415962219, 0.17464563250541687]",anxiety,0.9970746040344238
anger,"One of my best friends accused me of giving up to early on problems. It was only a casual remark on her side, but I was angry and hurt. ",anger,"[0.9948294758796692, 0.9804280400276184, 0.46193966269493103, 0.9596389532089233, 0.012528162449598312, 0.9901795387268066, 0.932039201259613]",irritation,0.9948294758796692
sadness,"Realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year. ",guilt,"[0.5915590524673462, 0.8768648505210876, 0.9757635593414307, 0.991510808467865, 0.10943004488945007, 0.9892376661300659, 0.17949238419532776]",regret,0.991510808467865
disgust,In a public swimming hall I saw a very aggressive man who practically attacked the children who got in his way when he was swimming. ,guilt,"[0.974311888217926, 0.9822723865509033, 0.9533302187919617, 0.9905627965927124, 0.06607459485530853, 0.9204853177070618, 0.6832661032676697]",blameworthy,0.9905627965927124
shame,"I was making very strong statements about infidelity in couples. Then I discovered that one of my best friends, who had just been through a very sad case of mutual infidelity, was listening. ",disgust,"[0.9666681289672852, 0.9945123195648193, 0.9009626507759094, 0.9618916511535645, 0.039950598031282425, 0.9506932497024536, 0.9227310419082642]",repugnance,0.9945123195648193
guilt,"I had planned a trip to the South during Easter, together with a friend. She was very sorry when I changed my mind and decided not to go after all. ",guilt,"[0.2013559341430664, 0.5453788042068481, 0.6095938086509705, 0.9877570867538452, 0.1451370269060135, 0.9866206645965576, 0.7276135087013245]",regret,0.9877570867538452
joy,"A friend which I hadn't seen for years, sent me a small present. ",joy,"[0.022541530430316925, 0.01969841681420803, 0.05665164813399315, 0.15052978694438934, 0.9385058283805847, 0.023899519816040993, 0.017042921856045723]",pleasure,0.9385058283805847
fear,"One dark night with no street lights, a car was obviously following me. ",fear,"[0.8050816655158997, 0.8907381892204285, 0.9417605996131897, 0.8225473761558533, 0.1137990802526474, 0.7311457991600037, 0.6439710259437561]",scare,0.9417605996131897
anger,"I was subject to false accusations, and got very angry. ",anger,"[0.9988319277763367, 0.9962277412414551, 0.08998086303472519, 0.9496317505836487, 0.0278293639421463, 0.9961756467819214, 0.8230277895927429]",anger,0.9988319277763367
