labels,text,prob_emotion,emotion
disgust,"A series about Freud was shown on TV. In it, a tampon had been set in the nose of a woman, and forgotten there. After great pain it was taken off (close-up picture), the woman was bleeding from the nose and the mouth. ","[0.6375685309370358, 0.7615655759970348, 0.7951660603284836, 0.8053993036349614, 0.3457173866724285, 0.5981488954275846, 0.7348607927560806]",guilt
shame,"I had promised to lend something to my mother-in-law and I forgot it a couple of times. When she asked me about it the third time, I was ashamed at my absent-mindedness. ","[0.04959194001276046, 0.7462926747587819, 0.4460429633036256, 0.9490479330221813, 0.44551940544624813, 0.7504428510243695, 0.9847918550173442]",shame
guilt,"A borrowed car broke down while I was using it. It was not my fault, nevertheless I felt guilty. ","[0.022909933545937143, 0.34011581167578697, 0.19288031570613384, 0.9603717277447383, 0.22049769539444242, 0.32693365278343356, 0.6986575424671173]",guilt
joy,I started a new branch of studies after having failed a former one. When I got back my exam papers I was very happy to know that I almost had full marks. ,"[0.0006214318782440387, 0.002810534458452215, 0.003319383140478749, 0.14382369725111252, 0.950768808523814, 0.0005998059399037932, 0.01601627362833824]",joy
fear,"I was diving below the ice, in a cave, at a depth of metres. Visibility was almost zero and the oxygen level decreased threateningly. There were three of us divers on one safety rope. ","[0.3859570026397705, 0.39579521864652634, 0.9445030639568965, 0.6385897199312847, 0.1603269900660962, 0.30447796608010924, 0.28424844207863015]",fear
anger,My mother carried on using mental pressure concerning something which was serious and a real burden to me. ,"[0.38372503096858657, 0.2649050109709303, 0.699368879199028, 0.5931439027190208, 0.032270578551106155, 0.4601732979839047, 0.27090485394001007]",fear
sadness,"My grandfather died, I went to the mortuary and saw the corpse. ","[0.5258094668388367, 0.5805394599835079, 0.743737777074178, 0.726790261765321, 0.3715009672450833, 0.927248368660609, 0.6032188336054485]",sadness
disgust,[ The same as in anger. ] ,"[0.8347807010480512, 0.07036413919801514, 0.003204480056107665, 0.15299683185488297, 0.1019603242117834, 0.0036692960711661726, 0.007707442816657324]",anger
shame,As a child when I was blamed for peeing in the swimming-pool. ,"[0.9043275614579518, 0.8441691646973293, 0.8390977730353673, 0.94073290626208, 0.16258857224602252, 0.8047610086699326, 0.9591297904650371]",shame
guilt,"A friend of mine was drunk and having an argument on the street with a woman, appparently his girlfriend. I was walking on the other side of the street and thought that I was not supposed to interfere. Later I heard that he had shot himself that evening. ","[0.8675301323334377, 0.6828617230057716, 0.862644908328851, 0.9060689906279247, 0.19914953138989708, 0.864687445263068, 0.7867203106482823]",guilt
joy,My girlfriend sent me a letter with a shiny picture in it. ,"[0.15968168899416924, 0.033073356782551855, 0.24338955401132506, 0.3957291543483734, 0.8617208376526833, 0.07356886014652748, 0.18537777413924536]",joy
fear,I was about to begin a journey in a car with an acquaintance of mine. ,"[0.24083433176080388, 0.13182704926778874, 0.6850908398628235, 0.48333930720885593, 0.6093187207976978, 0.1680086400980751, 0.22753354379286367]",fear
anger,On the TV news I heard that Nicaragua had complained about the increasing threat of war with the USA. ,"[0.8754557818174362, 0.826184446612994, 0.9087224900722504, 0.5862966453035672, 0.42897631833329797, 0.5964076022307078, 0.42256854847073555]",fear
sadness,My girlfriend gave me the mitten (left me). ,"[0.8706007649501164, 0.8416006316741307, 0.6684320196509361, 0.7963842799266179, 0.23988876662527522, 0.9637185235818226, 0.7874028881390889]",sadness
disgust,Watching a violent movie. ,"[0.8677947322527568, 0.7894302656253178, 0.9630614419778187, 0.4002616014331579, 0.42621962972528615, 0.07718995527829975, 0.24768046848475933]",fear
shame,The morning after a wild party. ,"[0.4113849513232708, 0.4205592231204113, 0.6533742335935434, 0.769245242079099, 0.7304551042616367, 0.1802469223427276, 0.5719954545299212]",guilt
guilt,"I ""picked up"" a girl and I thought that I had misused my position and authority over her as there did not seem to be any realistic possibility of continuing the relationship. ","[0.7691432336966197, 0.8160414422551792, 0.7526678120096524, 0.9560799598693848, 0.049982375698164105, 0.7389690081278484, 0.9229748050371807]",guilt
joy,"When, to my surprise, I got to know about having got ""very good"" high school graduation marks. ","[0.07329050711511324, 0.0030882014446736625, 0.1370783236634452, 0.14791211838989207, 0.8479975312948227, 0.0011975182763611278, 0.015493971809822446]",joy
fear,"My grandmother was about to die, and it had the effect that at night, after having read a book, and once in bed, in perfect darkness, the fear arose that I too may suddenly die. ","[0.003322233717578153, 0.1417084694451963, 0.9839691867431004, 0.19737461131686965, 0.19631181515190596, 0.6600368892153105, 0.057526197362070285]",fear
anger,"When I checked my examination paper and realized that I had been careless, thoughtless, lazy and hasty so as to make unnecessary mistakes concerning things I know and understand. ","[0.7139526704947154, 0.8214731613794963, 0.8099837203820546, 0.9144200831651688, 0.2875430117516468, 0.7858269869660337, 0.9297834585110347]",shame
sadness,"When we decided, my boyfriend and I, that we would separate, I realized that he would have wanted to continue our relationship and the coming separation hurt him. ","[0.07974614614310364, 0.44735505672482156, 0.23983152428021032, 0.7072173257668812, 0.25572470055582625, 0.9214263260364532, 0.29986051097512245]",sadness
disgust,"When an acquaintance of mine told me about the way his parents treated their sons in an unequal manner. The most successful of them got continuous encouragement, and the youngest was not encouraged and was rejected. ","[0.7999721169471741, 0.760515461365382, 0.714540995657444, 0.7573333283265431, 0.39368543680757284, 0.8713255822658539, 0.8064508189757664]",sadness
shame,"I was talking to a friend of mine about our parents and education. I said something and then realized that I did not know my friend's parents, their motives and education. I felt ashamed at having talked about something I did not know anything about. ","[0.0329726804435874, 0.5312218740582466, 0.1552622856106609, 0.9536882638931274, 0.20036688908779374, 0.32435014409323537, 0.98374438782533]",shame
guilt,My mother told me that the enveloppes that I had been tearing (I had torn the stamps away) in good faith had been the first-day enveloppes which my father had collected as a young man. ,"[0.6904898434877396, 0.529224177201589, 0.6123878931005795, 0.750982900460561, 0.5615670680999756, 0.7947497442364693, 0.8032275040944417]",shame
joy,"I am not especially good at English, and after the high school graduation exam in English I tensely waited for the result the whole day. In the evening, when I heard that I had done excellently, I became very happy and the anxiety vanished. My family was at home. ","[0.0015457919410740337, 0.057588615231604, 0.6909574617893668, 0.14233292977102488, 0.8799460182587306, 0.0048860708775464445, 0.05218396309646778]",joy
fear,"I feared that I was pregnant. It was not planned and I would have been compelled to have an abortion, which I would not have liked at all. Fortunately, after a week's anxiety, I got to know that I was not pregnant. ","[0.0329317040159367, 0.41517884718875087, 0.9530697787801425, 0.41626528867830837, 0.5797655921972668, 0.1493913561377364, 0.17737210914492607]",fear
anger,"A member of a religious sect tried to convert me, using really evil tricks to persuade me. After he had left, I was anxious and angry for a long time. After the event, I was alone. ","[0.9879025270541508, 0.9185494184494019, 0.8253101209799449, 0.5984418249378602, 0.1458592890703585, 0.11214563568743567, 0.3564673292761048]",anger
sadness,"When my boyfriend wanted to leave me, I felt sad and melancholic. ","[0.0009149122076147858, 0.14442883960631056, 0.050025502733963854, 0.3696700446307659, 0.27591849967332865, 0.9801151603460312, 0.09462304754803579]",sadness
disgust,"In a film, there was an episode where they used a chain saw to cut a man. I could not look at it, but I could not avoid listening either. I sought shelter in my boyfriend's arms. ","[0.6092941008197764, 0.8879186188181241, 0.9615697463353474, 0.5385009919603665, 0.08606269765004981, 0.7067531552165747, 0.5839531769355137]",fear
shame,"I thought I would be able to use the mangle of the house, and so I did not want any help. However, I blocked it and I had to get the janitor to help me out. He reproached me for not having followed the instructions ","[0.7938802316784859, 0.7838237397372723, 0.5762177954117457, 0.9246305972337723, 0.09631005395203829, 0.6662116323908169, 0.9445423930883408]",shame
guilt,"I promised my friends that I would take care of something, but I kept forgetting about it. When they asked me about it, I promised to do it immediately. However, I got started only after a couple of months. I felt that I had betrayed my friends. ","[0.7893853733936946, 0.8705027848482132, 0.5605064580837886, 0.9109113266070683, 0.10058325924425542, 0.8605930060148239, 0.9266869674126308]",shame
joy,"When I got an unexpected letter from a guy, who had been my school mate. ","[0.5874066377679508, 0.3682367354631424, 0.7033103704452515, 0.5999182065327961, 0.6230162754654884, 0.6267038521667321, 0.5554018542170525]",fear
fear,"When my brother went to shoot wild ducks, I feared that the boat would overturn and he would drown or that the gun would accidentally go off. ","[0.043369103533526264, 0.41770433293034637, 0.9947534650564194, 0.8696076323588688, 0.4686902502726298, 0.8992267474532127, 0.16055770001063746]",fear
anger,My father had once again told me that I should be careful and try to seek admission to other places also apart from the faculty of Social Sciences at the university of Helsinki. I was not at all interested in any other place and had no time to study for other entrance exams. ,"[0.297137047474583, 0.3120228524009387, 0.6405425251772007, 0.5525116870800655, 0.08649250422604382, 0.27211003129680955, 0.3246318126718203]",fear
sadness,"I would have liked to go out to chat with some acquaintances, but I realized that I was not wanted. I felt hurt, disappointed, lonely and deserted. ","[0.35907316425194347, 0.6954445159062743, 0.16125235811341554, 0.34620846683780354, 0.07875524350674823, 0.9530922025442123, 0.480801316909492]",sadness
disgust,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen carpet. It was past mid-night and my room-mate had just moved in, this acquaintance had helped her move in. ","[0.8272886673609416, 0.8849466492732365, 0.8191901991764705, 0.861411194006602, 0.1951097131241113, 0.7103362251073122, 0.8839581559101741]",disgust
shame,"I was carried away while talking about my visits abroad and I tended to boast a little, till I realized that the listener was amused. ","[0.010967559724425275, 0.03628550216672011, 0.011607281126392383, 0.38782733057936036, 0.7948380062977474, 0.00708476232830435, 0.2970976540430759]",joy
guilt,"When I was baby-sitting at my cousin's place, I tried to have a pleasant time and did not really take care of the child. I do not care very much about children. ","[0.25373740059634053, 0.28968731934825576, 0.3645058637484908, 0.32386082907517755, 0.2692859573289752, 0.2907354012131691, 0.3303618021309376]",fear
joy,"When I got / points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought. ","[0.6134618073701859, 0.5328011860450109, 0.759700280924638, 0.555486445625623, 0.22191216051578522, 0.7265462602178256, 0.7654022177060444]",shame
fear,When a big angry dog put its snout on my arm and had I made one movement it would have bitten me. ,"[0.9454113319516182, 0.8284388532241185, 0.9683543394009273, 0.8992690940697987, 0.27343937644036487, 0.07342567756616822, 0.8336967825889587]",fear
anger,When my room-mates were watching video-tapes and prevented me from watching the news. The first feeling I had was that I was being treated unfairly and then came the feeling of anger. ,"[0.8954509993394215, 0.43948164038980997, 0.03427469375310466, 0.2716339626349509, 0.2283012260061999, 0.08121170186980937, 0.13960376451723278]",anger
sadness,"[ When after a night of sleeping in another's arms, one wakes alone and knows that the lonely arms of the night are not the same that one meets in the morning. ] ","[0.47843428452809655, 0.5225162251542012, 0.7138546779751778, 0.5960119192798932, 0.15422002645209432, 0.8949324786663055, 0.4958652059237162]",sadness
disgust,"When an unpleasant person tried to make friends with me. A subtle, small, insignificant, grey being whose helplessness and neutrality evoked the feeling of disgust in me. ","[0.1727841179817915, 0.9598604838053386, 0.18062448649046323, 0.15595658212744942, 0.14657933506532572, 0.08291077338314305, 0.37684880678231514]",disgust
shame,Badly chosen words to a vague acquaintance of mine made me feel ashamed at having given the wrong impression about what I wanted to say. Thoughtlessness. ,"[0.06660753026759873, 0.384306917587916, 0.2210491083872815, 0.8992753078540165, 0.029115782235749066, 0.26279675122350454, 0.9741620123386383]",shame
guilt,"When I behaved improperly - fought in a public place. Afterwards, I felt guilty about my conduct. ","[0.37989063281565905, 0.6626468872030575, 0.1569170798175037, 0.9518317729234695, 0.22903119795955718, 0.7349913966221113, 0.8664170056581497]",guilt
joy,When my friend told me that he would come and meet me in a moment. ,"[0.2258071843534708, 0.13827030531441173, 0.422677731141448, 0.5665318419535954, 0.825360578795274, 0.47715940016011393, 0.3110149816299478]",joy
fear,My father had been drinking and I feared him when we went to bed at night. ,"[0.2523914626799524, 0.4021130523954829, 0.9940545111894608, 0.8007409522930782, 0.4708095360547304, 0.6039081569761038, 0.2998105765630802]",fear
anger,My friends promised me that they would definitely call me to tell me if they were visiting me or not. ,"[0.4787956060220798, 0.204646079801023, 0.5866387921075026, 0.8273317019144695, 0.7374820485711098, 0.504839530835549, 0.4370247535407543]",guilt
sadness,A close friend of mine had not contacted me for a long time. ,"[0.4949395420650641, 0.3020782587118447, 0.5629397382338842, 0.6807416478792827, 0.4901763821641604, 0.8385295271873474, 0.5332220668594042]",sadness
disgust,A friend of mine came to see me when he was quite drunk. ,"[0.4846183620393276, 0.44285585420827067, 0.4392250751455625, 0.7045927147070568, 0.5236133337020874, 0.30349608324468136, 0.7390775655706723]",shame
shame,I said something especially stupid which I did not mean at all. ,"[0.6606624275445938, 0.7094601889451344, 0.5723897442221642, 0.8341920698682468, 0.04059754653523366, 0.4525129397710165, 0.9178533951441448]",shame
guilt,"I did not go to help a friend of mine, though she probably needed me. ","[0.5880107581615448, 0.5534118053813776, 0.647612139582634, 0.9215902139743168, 0.17667141867180666, 0.83166008690993, 0.781309296687444]",guilt
joy,"When I felt that an exam, which I had feared, was an easy one and went well. ","[0.10234016180038452, 0.1343480140591661, 0.7014350003252426, 0.29931001613537467, 0.6951056718826294, 0.11856915945342432, 0.06778198884179196]",fear
fear,I was afraid when my dog ran out through a crack in the fence when a train was coming. ,"[0.003878800547681749, 0.05858520951975758, 0.9905621906121571, 0.20982341670120755, 0.2018581238517072, 0.014714459714014083, 0.044345606778127454]",fear
anger,"When a friend of mine was drawn into a fight because of the stupid gang he belonged to. I felt angry with him and his friends. They could not think about anything sensible, but would fool around without taking into consideration the feelings of other persons. ","[0.9787139743566513, 0.8148469726244609, 0.031219570781104267, 0.45243226923048496, 0.16034448734717444, 0.07930928022445491, 0.2957986448891461]",anger
sadness,I felt sad after having had an argument with my boyfriend. I felt that he did not understand me and that there was no point in carrying on with the relationship. ,"[0.007234239465712259, 0.1270479155743184, 0.023329207421435665, 0.3386431895196438, 0.06455832080973778, 0.9430895795424779, 0.16092820620785156]",sadness
disgust,"I detested my father who was a drunkard. He would rave, threaten and blame my mother and me. He finally drove us away from home. ","[0.9810009797414143, 0.9898120214541752, 0.9347856839497883, 0.781508279343446, 0.29865789953328203, 0.602952257109185, 0.7865419400235016]",disgust
shame,"When I was on holiday with my former boyfriend, he hit me and behaved in a very evil and ugly manner in front of the hotel personnel. ","[0.9378974388043086, 0.9495059996843338, 0.930204729239146, 0.8167732159296672, 0.049208552246758096, 0.727590605461349, 0.9182921548684437]",disgust
guilt,"When as a child I stole, from a friend of mine, the ring she had got in an easter egg. ","[0.7282026285926502, 0.7296512499451637, 0.5540562147895495, 0.9435596416393917, 0.26303841328869265, 0.4825514877835909, 0.8557380537192028]",guilt
joy,"When I got home from a pleasant trip abroad, I got to know that I had been accepted at university. ","[0.032474091198916234, 0.005686947222178181, 0.07532074046321213, 0.2550716896851858, 0.9681348999341328, 0.017005311713243525, 0.08991715777665377]",joy
fear,"At school, I had acted against the will of the group, and the next day they promised to take revenge on me. ","[0.9481958548227947, 0.8476388032237689, 0.9458947976430256, 0.9234269509712856, 0.27990376848417026, 0.7013343546229105, 0.8963961551586788]",anger
anger,"My mother had for some time been trying to separate me from a good friend who, she thought, was not good company for me. Finally, at breakfast one day, we had an argument and I tried to defend my friend. ","[0.8299659267067909, 0.6177247694383065, 0.6322560968498389, 0.6708945830663045, 0.5411579026840627, 0.3698543384671211, 0.5627336762845516]",anger
sadness,I got to know about the death of a close friend. ,"[0.6913519973556201, 0.6663836588462193, 0.8002561430136363, 0.7878952870766323, 0.2578498419073488, 0.9530822833379109, 0.7232933267951012]",sadness
disgust,"When I was watching a movie with many violent episodes. They accurately showed the cutting of corpses, etc. . . ","[0.7450541853904724, 0.8062124152978261, 0.8737255235513051, 0.5207356947163742, 0.5085222586737169, 0.0958564084333678, 0.4844365082681179]",fear
shame,"When I was caught telling a white lie. At that time, I was not allowed to stay outdoors after p. m. One day when I was late, I made up a story that our neighbour had invited me to his place, though I had actually forgotten about the time while playing with my pals. ","[0.7589753419160843, 0.6890168289343517, 0.7803012877702713, 0.914851834376653, 0.3226159506787856, 0.6384935254851978, 0.9334206332763035]",shame
guilt,"When before the last exam I have taken, I went out instead of studying. ","[0.34701338969171047, 0.4079354920734962, 0.7199093637367089, 0.829074926674366, 0.3567813721795877, 0.2610806648929914, 0.7349099963903427]",guilt
joy,When I was pressing figures on the curtain cloth. I had bought the cloth after months of hindrances. ,"[0.28356557028988993, 0.20285862435897192, 0.38571224361658096, 0.4835562507311503, 0.46959154680371284, 0.207984309643507, 0.20777054131031036]",guilt
fear,I am a kindergarten teacher and I am thoroughly weary of my job. After having taken the university entrance exam I suffered from anxiety for weeks as I did not want to carry on with my work - studies were the only alternative. ,"[0.20107617834582925, 0.8647192195057869, 0.8951804488897324, 0.370686208208402, 0.10374974387620266, 0.3411590247415006, 0.09175202483311296]",fear
anger,"My life-partner, who was drinking more and more, spoke about kicking the cat. He had never done anything of the kind, but I knew that he would do so one day, without thinking about it. ","[0.8338501205046971, 0.7295434524615605, 0.8721057424942653, 0.7411649550000827, 0.17341375482889512, 0.6550613921135664, 0.5678653394182522]",fear
sadness,"Estrangement from my best woman friend. We have been going different ways for quite some time now, but the break was total when she got married as her husband is unreasonably jealous of me. ","[0.4309531177083651, 0.3980169223311047, 0.4533553390453259, 0.3625362503031889, 0.020586894897860475, 0.7576270463565986, 0.16354846116155386]",sadness
disgust,"My life-partner is going through a crisis (way of life, old-fashioned values) and can only get out of it by talking bold decisions. I have noticed his cowardice and attempts to escape his problems by drinking. I detest his drinking and his being full of self-pity. ","[0.7722153911987941, 0.9332817643880844, 0.5522553970416387, 0.26649803699304664, 0.014871780459846681, 0.5915226545184851, 0.49620840698480606]",disgust
shame,"Again, a quarrel had come up in our difficult relationship. My life-partner threw all the books off the shelf. I am sure that it disturbed our neighbours since this happened late in the night. ","[0.9335968792438507, 0.8542244285345078, 0.7212319746613503, 0.5453040935099125, 0.12214149365900084, 0.23887131890902916, 0.697134755551815]",anger
guilt,"A lonely, neurotic, shy girl lives nearby. She has expressed a wish to meet me, I have however avoided her (turned down an invitation) as the crisis my partner is going through uses up all my empathy. ","[0.02503868805555006, 0.0322442323473903, 0.643968501749138, 0.4146023169159889, 0.13036075498287877, 0.46688003962238633, 0.18246522437160212]",fear
joy,"Begining the week-end with my girlfriend cozyness, beer and wine. ","[0.0026093238993780687, 0.001063465591869317, 0.002848206495400518, 0.041246861685067415, 0.9227454910675685, 0.0016089710018907986, 0.0220907154531839]",joy
fear,"The fear about my future work, making ends meet and health. Coping. ","[0.0023878240123546375, 0.04606192223339652, 0.9629924396673839, 0.09968219480166833, 0.08485768612687632, 0.03966993295277159, 0.01461415928012381]",fear
anger,"A friend of mine ridiculed me, telling me that I would never accomplish anything. I felt that he had interfered with my life. ","[0.9203812330961227, 0.8795742839574814, 0.6822002505262692, 0.8586763491233189, 0.45092013823644567, 0.7732090850671132, 0.9703200856844585]",shame
sadness,I felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation. My sadness was caused by the irreversibility of the decision. ,"[0.0054793514767273645, 0.13570528868391799, 0.4064518609860291, 0.5618087475498517, 0.06895178841659799, 0.9209710409243901, 0.19271992209057015]",sadness
disgust,A man spat on the wall of a house. ,"[0.9731529057025909, 0.9868911902109783, 0.5024892315268517, 0.7643117221693199, 0.3210690483295669, 0.48132282557586825, 0.8796818504730861]",disgust
shame,In an express bus I sat on a seat meant for senior citizens and invalids. ,"[0.6507118965188663, 0.5357170092562834, 0.5764414047201475, 0.7608581582705181, 0.5804626817504565, 0.5061645681659381, 0.7185249229272206]",guilt
guilt,When I did not succeed in finding a job after having finished a nonacademic degree. ,"[0.6710115720828373, 0.6972929537296295, 0.7615055491526921, 0.7772768586874008, 0.10350834522008275, 0.8541883826255798, 0.8134639461835225]",sadness
joy,"When after an overwhelming anxiety and enquiry, I understood something about why I exist and what my task in life is. ","[0.0229845280215765, 0.047393972461577505, 0.8475228634973366, 0.1341136511376438, 0.4002515567505422, 0.02382684824988246, 0.017119457673591874]",fear
fear,"At the railway station, while waiting for the last train at night I noticed that a drunk young man was appraching me in a purposeful mannner. ","[0.7919253706932068, 0.660149020453294, 0.8515264689922333, 0.7212898011008899, 0.271085172581176, 0.26311524833242095, 0.7961253523826599]",fear
anger,"While having a discussion with my mother, I realized that she does not for a moment doubt the justification of her making the decisions concerning my life. ","[0.2034063157237445, 0.2013978235772811, 0.08655759536971648, 0.18271786217034483, 0.3557024958233038, 0.3602147698402405, 0.1678874559390048]",sadness
sadness,When I think that I will probably never have a genuine contact with my parents. ,"[0.6251174832383792, 0.7270376930634181, 0.8555509497721989, 0.7352992246548335, 0.020239941426552832, 0.9286269098520279, 0.7714842607577641]",sadness
disgust,"While reading Olli Jalonen's new book, the distant, cold and selfish relationships between people (in the book) made me feel disgusted. ","[0.8182416061560314, 0.9827760656674702, 0.4905073848397782, 0.32592332766701776, 0.32280682266961475, 0.09096385585144162, 0.8969207257032394]",disgust
shame,When I approached a person of the opposite sex and was rejected. ,"[0.6437000979979832, 0.6481539855400722, 0.6528729498386383, 0.6470780571301777, 0.0490212322329171, 0.846090704202652, 0.811876689394315]",sadness
guilt,"When I noticed that my little sister was sulking, because I could not meet her because of a misunderstanding. ","[0.15917585215841729, 0.5691544350702316, 0.17192747878531617, 0.8546055356661479, 0.3516877048726504, 0.9539272884527843, 0.7051913713415463]",sadness
joy,"The day I got to know that I would get a shared dwelling with my boyfriend. My parents place was getting a little crowded with my growing bother wanting a room to himself. I first felt doubt, then joy, but also sadness. The feeling of joy was the strongest. ","[0.00706720701418817, 0.0339550458205243, 0.08507481347381447, 0.12471289773626874, 0.8636043071746826, 0.04039639630354941, 0.02276259267819114]",joy
fear,My grandfather had lung-cancer and was being nursed at home. I felt fear when I was alone with him and he almost choked on mucus secretions. ,"[0.0024715939168042196, 0.21925946464762092, 0.9861402064561844, 0.2275774588342756, 0.12162556611777595, 0.04516953557807331, 0.04718368488829583]",fear
anger,The outrageous conduct of a relative towards me and those close to me. (blaming us and lying) ,"[0.9704101383686066, 0.9454786131779354, 0.8201917310555775, 0.6885793885836999, 0.02667761374808227, 0.3421482962245742, 0.9049975176652272]",anger
sadness,We had to finish the life of our year-old dog. ,"[0.6567509124676387, 0.6141819606224697, 0.7092072715361912, 0.8113322407007217, 0.17076319857733324, 0.9154621412356694, 0.6462668180465698]",sadness
disgust,A very drunk person. ,"[0.16565379748741788, 0.5349717667947212, 0.16593134434272847, 0.26283540328343713, 0.17342194515125206, 0.051028221302355334, 0.32399569948514306]",disgust
shame,"An argument that grew out of an ordinary conversation with a person very close to me, when we should have been having a good time together. ","[0.8743167171875637, 0.5636237577224771, 0.16766986111178994, 0.5087255214651425, 0.12995310920329453, 0.0986211693380028, 0.26845301749805606]",anger
guilt,"While trying to get my little brother over a ditch, he fell on his head and started crying. I was scared of having caused him permanent injury. ","[0.39032161841169, 0.42991805697480834, 0.9894786377747853, 0.9458655764659245, 0.47874253928118077, 0.8752994313836098, 0.6232780494416753]",fear
joy,[ A chat on the telephone with a friend. ] ,"[0.1385591401097675, 0.049817180571456746, 0.23862207494676113, 0.40702247867981595, 0.821819931268692, 0.2567616137675941, 0.1878315893312295]",joy
fear,"[ Meeting some new (unpleasant) people or some new, demanding situation. ] ","[0.6223148877422016, 0.8307442963123322, 0.8516433387994766, 0.4863533178965251, 0.037163574170942106, 0.5897112057233851, 0.48639961083730066]",fear
anger,"[ For example, unfair pushing in a bus. ] ","[0.8996593157450359, 0.8751805822054546, 0.6993659163514774, 0.6891214375694592, 0.07554446525561313, 0.46820101204017794, 0.7263586769501369]",anger
sadness,"[ When I am, in my opinion, not understood correctly. ] ","[0.6990677441159885, 0.5572680756449699, 0.5947305982311567, 0.6587006424864132, 0.1703080874091635, 0.5168232880532742, 0.7092971379558246]",shame
disgust,[ When some people act very important in any situation. ] ,"[0.33923949518551433, 0.34003470527629054, 0.21130899883185825, 0.32263699981073535, 0.38306779849032563, 0.03626360472602149, 0.082680073644345]",joy
shame,"[ Generally, when I am late in attending to matters (for example paying bills). ] ","[0.6504343102375667, 0.602434406677882, 0.7476743186513584, 0.8985394239425659, 0.06046487142642339, 0.6833867232004802, 0.8204592615365982]",guilt
guilt,"[ If one has planned to do something ""important"" and then, for some reason, fails to do it. ] ","[0.72695687909921, 0.6497446534534295, 0.7775842597087224, 0.8346541672945023, 0.06735214870423079, 0.8405265808105469, 0.834792469938596]",sadness
joy,"I was in a dancing-tavern and the atmosphere was one of waiting for the end of the world. Suddenly people began dancing wildly, inspired by the band. An unbelievable experience wonderful that even Finns sometimes flare up and forget to think ""what others are thinking of me"". It was delightful to dance to one's heart content. ","[0.11305195128079504, 0.009538283911145603, 0.5950845877329508, 0.31113333379228914, 0.9563195705413818, 0.5284148243566354, 0.2577283175972601]",joy
fear,"I was travelling back home by boat with two friends of mine after a lovely holiday trip. The night and the sea were dark, and the wind was blowing. I feared that death was there on the boat, I somehow felt sure about it. I feared being left alone. ","[0.01363474561367184, 0.28312949277460575, 0.9300519625345867, 0.24680971850951514, 0.2101612486197458, 0.7024654348691304, 0.08959147760954995]",fear
anger,"I was at home, filling my tax report. Nobody had time to help me. I would have liked to do it quickly so that I could go and meet a friend of mine who had just returned from hospital. I got angry as both my brother and my father refused to give me their calculator as I had not asked for it nicely. I could not leave as I had to wait for help and the tax report had to be done. ","[0.9587017993132274, 0.5478451231028885, 0.11498834188872327, 0.3018268244729067, 0.24421077490842436, 0.08384621225801918, 0.13162826302383718]",anger
sadness,"I tried to talk to my parents over the phone, as I wanted to go home for the week-end and I knew that I would not be able to bear it. I tried to reduce the gulf and the conflict between us by talking in order to unite our worlds. Result hysterical mess, blinding and blaming. ","[0.7560400968650356, 0.7149065360426903, 0.8755715141693752, 0.8448286326602101, 0.04509751651979362, 0.44519801173980034, 0.3059840233375629]",fear
disgust,"My mother called me because she had read through the enveloppe a letter addressed to me. She denied having read it intentionally and said ""the words just popped out through the enveloppe as the sun was shining on it"". Hah Hah. ","[0.22510071417006353, 0.28376035671681166, 0.3191859775688499, 0.5795929476929207, 0.6251814160495996, 0.07292050639322648, 0.7516584321856499]",shame
shame,"I feared that I would have to describe my sexual life to an older, strange woman. ","[0.013405659895700712, 0.23051307691882056, 0.9806063175201416, 0.42101137929906446, 0.08114612411009148, 0.13278964689622325, 0.683064768711726]",fear
guilt,When I moved away from home. ,"[0.46067197124163306, 0.45478869726260507, 0.7330185572306316, 0.7070330853263538, 0.4124198891222477, 0.8780363003412883, 0.4813160225749016]",sadness
joy,The inflammation of the ear of my child got cured and the doctor said that the ear was completely all right. ,"[0.3688344474261006, 0.16693760004515448, 0.20621093766142926, 0.4671821966767311, 0.917828197280566, 0.3688831875721613, 0.2653198487435778]",joy
fear,My husband suddenly fell ill seriously and during the medical examinations we did not know what would follow. ,"[0.6842987264196079, 0.5289922046164671, 0.9670368731021881, 0.8351907382408779, 0.4169201714588174, 0.9438219616810481, 0.6340964411695797]",fear
anger,The housing council asked the city to cut linden trees so that the inhabitants of the lower floors would have a view to the sea. ,"[0.47781555727124214, 0.39295069252451265, 0.3458791716645161, 0.5058708190917969, 0.5479258528600136, 0.3961370140314102, 0.3129827852050463]",joy
sadness,"My child, unexpectedly started acting in a restless and disturbing way at school. In addition his performance at school weakened. ","[0.7143987193703651, 0.626486914853255, 0.822138359149297, 0.6949746757745743, 0.06451472931075841, 0.612530882159869, 0.6067495892445247]",fear
disgust,"On a trip abroad, a lady-like member of our group turned out to be an alcoholic. She spoilt many days of my holidays because of her behaviour and paranoia. ","[0.851362702747186, 0.8340892835209768, 0.9103890508413315, 0.8808132857084274, 0.06750116361460338, 0.7853842784340184, 0.8720705062150955]",fear
shame,I failed an exam which I thought I would certainly pass. ,"[0.8089413990577061, 0.7819758802652359, 0.8889207144578297, 0.866117849946022, 0.03235224640229717, 0.9173250546058018, 0.9307712713877361]",shame
