labels,text,emotion,probs_synonyms
joy,When I made the acquaintance of a certain person. ,joy,"[0.8497022986412048, 0.5350973606109619, 0.8615286350250244, 0.7076531648635864, 0.8928125500679016, 0.5539690852165222]"
fear,"When abroad, while driving a car along a dark, winding road. ",guilt,"[0.7028617262840271, 0.3699309229850769, 0.7266805768013, 0.42985469102859497, 0.5218486785888672, 0.7200525403022766]"
anger,When my sister took my things without having asked for my permission first. ,anger,"[0.9569639563560486, 0.973257303237915, 0.8835399746894836, 0.9337220191955566, 0.8989786505699158, 0.9787207841873169]"
sadness,When my grandfather died. ,sadness,"[0.9703960418701172, 0.9513403177261353, 0.9704446792602539, 0.9694724678993225, 0.9250566363334656, 0.8838138580322266]"
disgust,"When I was working, I got treated in a way which I felt was not democratic. ",sadness,"[0.6315324902534485, 0.22812756896018982, 0.8149501085281372, 0.2771023213863373, 0.9552223682403564, 0.6050431728363037]"
shame,"While working as a domestic helper, one day I had not cleaned up very well and they made a remark about it. ",shame,"[0.8833218216896057, 0.9134654402732849, 0.9258254170417786, 0.8466960191726685, 0.8874169588088989, 0.8993803858757019]"
guilt,"When I decided to move away from my parent's home, my mother told me that it was as if a part of her had been torn out of her. ",sadness,"[0.4838722050189972, 0.7818353176116943, 0.7909095287322998, 0.3963836431503296, 0.9145419597625732, 0.9649810194969177]"
joy,"When I went to a job interview, I met a person who was very nice, and his attitude made me glad. ",joy,"[0.9716057777404785, 0.732776403427124, 0.9872038960456848, 0.8211700320243835, 0.9887032508850098, 0.8841021656990051]"
fear,"My episode of fright happened when I came to study. I had to stand in front of my still unknown fellow students and talk about myself. My hands shook, I flushed and became tongue-tied. ",fear,"[0.9975500702857971, 0.9820877909660339, 0.9698893427848816, 0.993536114692688, 0.9530219435691833, 0.996091902256012]"
guilt,"I felt guilty when I spent a night at my boyfriend's place, particularly because I had been harsh and spiteful when I had left home. The reason was that I feared a possible discussion on the subject and I wanted to leave defiantly. ",guilt,"[0.9955700039863586, 0.9807240962982178, 0.9639401435852051, 0.9327939748764038, 0.8434423804283142, 0.9782063961029053]"
joy,"I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks. We rejoyced, hugged and had a long talk. ",joy,"[0.9978001713752747, 0.5743319988250732, 0.9962894916534424, 0.8483068943023682, 0.9970126152038574, 0.7714065909385681]"
fear,"One evening, while going to meet a friend of mine, I had to cross a meadow by a dark road. There were bushes on the other side of the road. The weather was damp and a bit foggy. I heard steps behind me and kept speeding up my steps all the time. ",fear,"[0.9705946445465088, 0.9204847812652588, 0.9732980728149414, 0.9423874020576477, 0.9496650695800781, 0.9779567718505859]"
anger,"My brother told me that a person (whom I know) had insulted him. I am very fond of my brother, and as he himself can not get angry or hurt, my protectiveness was aroused and I got angry. ",disgust,"[0.9938986301422119, 0.7156020402908325, 0.9443638920783997, 0.9348133206367493, 0.8654341101646423, 0.9779940247535706]"
sadness,"My guinea-pig had been ill for a couple of days. One evening, when I came home I enquired as to how it was doing. My mother's expression told me that it had died. My knees refused to support me and I began to weep convulsively. ",joy,"[0.9938206076622009, 0.9892498254776001, 0.9927933216094971, 0.9929776787757874, 0.7559400200843811, 0.7731701135635376]"
disgust,"I happened to see two boys fighting, one of them fell down and hurt his head. The other one used this to spank the head of the boy on the ground. ",anger,"[0.8288240432739258, 0.6830896735191345, 0.8799698948860168, 0.8657022714614868, 0.9333745837211609, 0.8233171701431274]"
shame,"I had been away all night without having told my parents about it. In the morning when I came home, my mother looked tired. She said that she had been awake all night because of me and that she was angry and disappointed. ",guilt,"[0.8152909874916077, 0.9116665720939636, 0.5309629440307617, 0.7716080546379089, 0.8759334683418274, 0.8462311625480652]"
guilt,"I had not written to, or called my grandmother, who was lonely, for a long time. My mother asked me to call her on her behalf and when I did so, my grandmother was delighted and she told me that she had been waiting for some news from us. ",sadness,"[0.8270459771156311, 0.8029876351356506, 0.950068473815918, 0.19202466309070587, 0.9082992672920227, 0.6416088938713074]"
joy,When I was sick my husband bought me a piece of cake. ,joy,"[0.8664597868919373, 0.3964000344276428, 0.9691646099090576, 0.83152836561203, 0.9483834505081177, 0.6333362460136414]"
fear,I saw a man who had had a heart-attack and who was being treated for it. I feared that my own father could have been there. ,fear,"[0.9968293309211731, 0.9756495952606201, 0.9840743541717529, 0.9801042079925537, 0.9867146611213684, 0.9913820624351501]"
anger,"When I saw a big man hit another one, and nobody did anything. ",anger,"[0.9663619995117188, 0.939152181148529, 0.8999912738800049, 0.9655452370643616, 0.8933751583099365, 0.9724082350730896]"
sadness,"When my sister left to go home, in Sweden, after the Christmas Holidays. ",sadness,"[0.9492772221565247, 0.9402307271957397, 0.9282563328742981, 0.9325141310691833, 0.9267049431800842, 0.7129616141319275]"
disgust,"I once watched the series called ""Dynasty"" on TV, and I detested it. ",disgust,"[0.9938686490058899, 0.9914842247962952, 0.9455486536026001, 0.8456189036369324, 0.9958754181861877, 0.992664098739624]"
shame,"I feel guilty as I am not working, and even my studies are not progressing. ",guilt,"[0.934075117111206, 0.4574611783027649, 0.612650990486145, 0.19333407282829285, 0.5962781310081482, 0.542984664440155]"
joy,"When my red-cheeked, content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek. ",joy,"[0.9811609387397766, 0.8877515196800232, 0.9854224920272827, 0.9052972197532654, 0.9907021522521973, 0.889819324016571]"
fear,A neighbour's girl had disappeared and many people were looking for her. Someone had gone to notify the police. Something had certainly happened to her. ,fear,"[0.9668523073196411, 0.9424867630004883, 0.9562575817108154, 0.9301997423171997, 0.949995756149292, 0.9786689281463623]"
anger,"Without my permission, my son had made popcorn after coming back from school. The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ? ",anger,"[0.8735077977180481, 0.9643224477767944, 0.8069804906845093, 0.8790569305419922, 0.8561971783638, 0.9653344750404358]"
sadness,The death of a close relative. ,sadness,"[0.9721811413764954, 0.962738037109375, 0.9816777110099792, 0.9767453074455261, 0.9497070908546448, 0.9178580045700073]"
disgust,One of my fellow students used questionable and unfair means to advance her studies faster than others. I detested her. ,sadness,"[0.9941341280937195, 0.9933717250823975, 0.9881993532180786, 0.9599268436431885, 0.9973107576370239, 0.9937413334846497]"
shame,My friend told me in a fairly loud voice the blunders she committed last night. ,shame,"[0.9120098948478699, 0.923923671245575, 0.9525251388549805, 0.9128818511962891, 0.910243034362793, 0.9147174954414368]"
guilt,I stopped my car in front of a pedestrian crossing as a child was crossing the street. The car driving in the next lane did not stop and the child got hurt. Had I not stopped . . . ,guilt,"[0.9689035415649414, 0.9804549813270569, 0.9802783131599426, 0.9080836772918701, 0.8754495978355408, 0.97297203540802]"
joy,"After my vacations, one day after a lecture it occured to me to buy a rose for my mother. We went together to a pub and my mother told me that she would be getting married next Spring. I did not known about it and so was all the more glad. ",joy,"[0.9882774949073792, 0.5536812543869019, 0.9860448837280273, 0.7164040803909302, 0.9909287095069885, 0.7719844579696655]"
fear,"I work at a day care centre, and one day when the children were outdoors a four-year old boy disappeared from the yard. I was not looking after them then, but as the manager it was me who was responsible. ",guilt,"[0.8846525549888611, 0.8496710062026978, 0.8222165703773499, 0.8126300573348999, 0.7794694304466248, 0.934898316860199]"
anger,"I was on vacation, and therefore I did not attend a meeting of the day care centre. Nevertheless, the very day I came back they called me early morining to ask me ""what are you going to do about the matter ? "" (which had been discussed in the meeting). Then I got angry. ",disgust,"[0.9952680468559265, 0.34544840455055237, 0.850909411907196, 0.6395723223686218, 0.7981535196304321, 0.9689773917198181]"
sadness,"The fact that my mother is getting married again (my mother and father divorced about years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years). ",guilt,"[0.8369455337524414, 0.8021427989006042, 0.7680037021636963, 0.7342318892478943, 0.693281888961792, 0.5276437997817993]"
disgust,"While travelling in a bus, there were three people sitting behind me (two men and a woman). They were drunk and the conversation was unbelievable (about fucking, fellatio, etc. . . ). They tried to get others to take part in the conversation. I loathed it and felt like crying. ",disgust,"[0.992520809173584, 0.9943060278892517, 0.8936660289764404, 0.8917429447174072, 0.9952849745750427, 0.9920421242713928]"
shame,"When I was seven years old, I stole a chewing-gum from a big glass bowl on the counter of a nearby shop, and I got caught. ",guilt,"[0.9170565605163574, 0.9275877475738525, 0.9381628036499023, 0.8903198838233948, 0.9424967765808105, 0.9008917212486267]"
guilt,"I am the secretary of an association, and during the last meeting I forgot to take the minutes. ",guilt,"[0.9438285231590271, 0.9753833413124084, 0.968661904335022, 0.8148692846298218, 0.9069386124610901, 0.9547747373580933]"
joy,"I had been away from home for a long time and when I came home I was delighted. It was wonderful to see familiar, dear people and I was rejoycing in advance. I had been feeling very lonely. ",sadness,"[0.9931457042694092, 0.6189877986907959, 0.9954977035522461, 0.8489433526992798, 0.9946833252906799, 0.7991544008255005]"
fear,"I awoke at night and did not remember dreaming about antthing in particular. I just felt oppressing fear, it was dark and all the others were sleeping. ",fear,"[0.9966153502464294, 0.9725065231323242, 0.9726722836494446, 0.9912298917770386, 0.9791420698165894, 0.9905363917350769]"
anger,"One winter day I, unwillingly, was outdoors with my younger brother ( years younger than me). I lost my temper on him and wanted to throw my brother down the snow bank we were on. I pushed him but not as hard as I had wanted to. We were alone the two of us. ",sadness,"[0.8110740780830383, 0.7539572715759277, 0.8090367317199707, 0.6942097544670105, 0.7514834403991699, 0.8670352101325989]"
sadness,"I was on a class excursion, by boat to Stockholm. At night my class mates prepared to clebrate their motive in life which was ""life is merriment"". I felt depressed about the way they sought happiness. ",joy,"[0.9404272437095642, 0.7530754208564758, 0.30293452739715576, 0.5092641115188599, 0.29941079020500183, 0.9735848903656006]"
disgust,"I was on my way home by bus. A man who had drunk a fair amount of alcohol started talking, trying to hug and pat a woman sitting next to him. Fortunately it was not me. ",disgust,"[0.379504531621933, 0.00928678922355175, 0.4579366147518158, 0.21449565887451172, 0.8292646408081055, 0.41379600763320923]"
shame,I gave a wrong answer at school. ,guilt,"[0.8684617280960083, 0.8987551927566528, 0.9231551289558411, 0.8924747109413147, 0.9175727367401123, 0.8875804543495178]"
guilt,"When my little brother asked me to play with him, I told him that I had no time and that I would play with him the next day. However, the next day I said the same thing. ",anger,"[0.8190785050392151, 0.8770534992218018, 0.9041452407836914, 0.8258542418479919, 0.830386221408844, 0.7918330430984497]"
joy,"When, after a long time, I saw a girl with whom I was in love. ",joy,"[0.8935695886611938, 0.42914828658103943, 0.9073500037193298, 0.8168781995773315, 0.9303387999534607, 0.555260956287384]"
fear,When I was walking on a fairly out-of-the-way street. ,anger,"[0.5302039384841919, 0.5447961688041687, 0.6475106477737427, 0.3187578618526459, 0.38734161853790283, 0.6146786212921143]"
anger,"A friend of mine had promised to arrange me some tickets for a concert which I considered important. He could not get them the way he thought he would, so he gave up the whole thing. ",guilt,"[0.7195822596549988, 0.8977469801902771, 0.44938522577285767, 0.7186718583106995, 0.4330713152885437, 0.9002509117126465]"
sadness,I was sad when I saw that a beautiful girl was not attainable. ,guilt,"[0.9991402626037598, 0.9967049956321716, 0.9921940565109253, 0.9980216026306152, 0.5313824415206909, 0.9769598245620728]"
disgust,"I heard somebody talk about studies in a highly enthusiastic ""student-like"" way. ",joy,"[0.00042410523747093976, 0.00040674215415492654, 0.0009046833147294819, 0.011640584096312523, 0.0005359965725801885, 0.00041819666512310505]"
shame,"While attending some affairs, which were taking some time, with a bank officer, I felt that my clothes and appearance were out of place, too raggy. ",fear,"[0.6659935116767883, 0.6569169163703918, 0.8499051332473755, 0.34517526626586914, 0.68353271484375, 0.5896158814430237]"
guilt,"One evening I went out with some friends of mine, although I was supposed to stay at home with my little sister who is . ",anger,"[0.8855809569358826, 0.8452120423316956, 0.9720484614372253, 0.8115271925926208, 0.751105785369873, 0.8868117928504944]"
joy,While watching an entertainment program in which there was a clever and amusing sketch. ,joy,"[0.928321897983551, 0.5937945246696472, 0.9874321222305298, 0.7460039258003235, 0.8762809634208679, 0.4498920440673828]"
fear,"When I was in the army, a room mate of mine came back from furlough and threatened another fellow with a knife. ",fear,"[0.911503255367279, 0.9030240178108215, 0.868661642074585, 0.8973670601844788, 0.8854881525039673, 0.9689196348190308]"
anger,"The last day of school is traditionally celebrated by singing a song about all the students who are leaving. In the song about me, there were things which irritated me a lot. ",disgust,"[0.9604348540306091, 0.9916123151779175, 0.5509129762649536, 0.6891067028045654, 0.5342474579811096, 0.9905738234519958]"
sadness,"I worked for seven months in a factory, and made friends with a fellow worker. Later, I visited my former fellow workers and was told that, while in the army, my friend had shot himself. ",sadness,"[0.9807342886924744, 0.9461221098899841, 0.9581695795059204, 0.9699044823646545, 0.6849404573440552, 0.8020691871643066]"
disgust,The behaviour of a fellow towards me and some others in the army was really mean. I detested this. ,disgust,"[0.9938918352127075, 0.990314781665802, 0.9751423001289368, 0.9737314581871033, 0.9974785447120667, 0.9920541048049927]"
shame,"I tried to date a girl, but she refused. ",disgust,"[0.6792991757392883, 0.8203737735748291, 0.742409348487854, 0.6817442774772644, 0.7810516357421875, 0.7382824420928955]"
guilt,"While doing some calculation exercises, I neglected a part of it, though I had marked it as done. By chance, I was asked to demonstrate this very part on the blackboard. ",anger,"[0.7702780365943909, 0.9424386620521545, 0.9396825432777405, 0.7485196590423584, 0.7165013551712036, 0.77988600730896]"
joy,"In the army, my result at the shooting exercises got me a three day furlough. ",joy,"[0.8497464656829834, 0.9483534097671509, 0.8742868304252625, 0.4983106255531311, 0.9283989071846008, 0.3232511579990387]"
fear,"When I was years old, I would usually come home from school with my mother in a car. For the first time I had to take the school bus, and I mistook the bus stop and found myself two kilometres away from where I lived. I was very scared, wondering how I would get back home. ",fear,"[0.9964168071746826, 0.9796122908592224, 0.9881504774093628, 0.9956486821174622, 0.9824199676513672, 0.9963617920875549]"
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair). This is when only a fractoin of the students can find an appartment. ,guilt,"[0.39750128984451294, 0.6580812931060791, 0.20019429922103882, 0.4119202196598053, 0.20841734111309052, 0.7412816286087036]"
sadness,I lead a rather secure life. The only thing I can remember is a song from the nineteenth century which is against alcohol. Both the melody and the word (although naive) effected my emotions. ,disgust,"[0.2762008011341095, 0.11231172829866409, 0.10343671590089798, 0.23925185203552246, 0.062280889600515366, 0.06874487549066544]"
disgust,"Yesterday in the elevator a man started smoking, this is something I just can not tolerate. ",sadness,"[0.9882025122642517, 0.966179609298706, 0.8171791434288025, 0.7108621597290039, 0.9942260384559631, 0.9841729402542114]"
shame,In primary school I once faltered while answering a question and the others started laughing. ,shame,"[0.8322305679321289, 0.9621539115905762, 0.9689881801605225, 0.8201479911804199, 0.6502419710159302, 0.8471675515174866]"
guilt,[ Generally when I am shopping I feel like I were guilty of all the thefts through the year (I have never stolen). ] ,shame,"[0.9914423823356628, 0.9840547442436218, 0.9810543060302734, 0.8080986738204956, 0.9104799032211304, 0.9449533820152283]"
joy,When my favourite football team made a goal and was about to win the Cup of England. ,joy,"[0.9524560570716858, 0.9630593657493591, 0.9396548271179199, 0.9177204966545105, 0.9615657329559326, 0.7940893769264221]"
fear,I was less than years old when our neighbour's dog chased me to the roof of a small shed and there seemed to be no hope of getting away from there. ,fear,"[0.9871888756752014, 0.9476266503334045, 0.9747799038887024, 0.9784391522407532, 0.9518557786941528, 0.9890600442886353]"
anger,"While playing a ball game, I was just about to make a goal when I was thrown off my feet, and I failed to score the goal. ",fear,"[0.8649080395698547, 0.9432018399238586, 0.7406466603279114, 0.8675586581230164, 0.7745658755302429, 0.9458181858062744]"
sadness,"When I heard about the death of Frantois Truffaut, the French motion picture director, on the radio. I had planned to go and see his last film. ",sadness,"[0.9807366132736206, 0.9547942876815796, 0.959417462348938, 0.9615597724914551, 0.7135626077651978, 0.8694438338279724]"
disgust,"I saw a movie called ""The Thing"", the film directed by John Carpenter. The monster in the film made me feel disgusted. ",sadness,"[0.9964775443077087, 0.9866344928741455, 0.5765483379364014, 0.9693846702575684, 0.993127703666687, 0.9933947920799255]"
shame,I had misbehaved at a party and did not wish to meet the person in question later. ,shame,"[0.9499326348304749, 0.9293485879898071, 0.9571501016616821, 0.9475367069244385, 0.9713447690010071, 0.9415028691291809]"
guilt,"While playing a ball game, I made a mistake and we lost the game. ",guilt,"[0.9216079115867615, 0.9858396053314209, 0.9779114127159119, 0.8846442103385925, 0.9580576419830322, 0.9575401544570923]"
joy,When I was in the sauna bath. ,joy,"[0.6033225059509277, 0.4480675756931305, 0.9381093978881836, 0.7757724523544312, 0.7406059503555298, 0.5051777362823486]"
fear,I had a dream in which I was an African elephant. ,fear,"[0.8016512989997864, 0.7830732464790344, 0.3355388045310974, 0.7049853801727295, 0.6550625562667847, 0.8491247892379761]"
anger,"When I came for the lesson, it was cancelled and I had to fill in a questionnaire instead. ",anger,"[0.27249088883399963, 0.9587003588676453, 0.30003318190574646, 0.8440319895744324, 0.5970842838287354, 0.9539185166358948]"
sadness,"When my car froze, and I could not start it. ",fear,"[0.9305868148803711, 0.9289000034332275, 0.8349826335906982, 0.9036110639572144, 0.4623313844203949, 0.6583369374275208]"
disgust,When I saw our computer teacher. ,joy,"[0.2324494868516922, 0.2192559689283371, 0.25213509798049927, 0.037801358848810196, 0.5449429154396057, 0.28128865361213684]"
shame,"When I was going downhill on skis, and fell down twice the first time. ",fear,"[0.7962117791175842, 0.8453283905982971, 0.8551211953163147, 0.7699838280677795, 0.7212418913841248, 0.7122862339019775]"
guilt,When I was involved in a car crash. ,guilt,"[0.8164631724357605, 0.9365592002868652, 0.8980224132537842, 0.6224409341812134, 0.787717878818512, 0.8802446126937866]"
joy,I passed an exam which I thought I had failed. ,joy,"[0.9311606287956238, 0.9819299578666687, 0.932709276676178, 0.8513160943984985, 0.9577547311782837, 0.6930093765258789]"
fear,My mother had not come home at midnight. She had forgotten to tell me about it. I was very young and all alone at home. ,sadness,"[0.9237697720527649, 0.8910150527954102, 0.9286168217658997, 0.8696317672729492, 0.8858056664466858, 0.9447804093360901]"
anger,My girlfriend started singing (she cannot sing) and did not stop despite my asking her to do so. ,anger,"[0.39178788661956787, 0.9241802096366882, 0.11812037974596024, 0.7293050289154053, 0.26935485005378723, 0.9107809662818909]"
sadness,When my grandmother died of cancer. ,sadness,"[0.9727271199226379, 0.9574215412139893, 0.9675500988960266, 0.9700587391853333, 0.8902498483657837, 0.8685510158538818]"
disgust,"When I was still a child, I saw a horror film on TV in which there was a rotten human skull. ",fear,"[0.9512841105461121, 0.934087336063385, 0.7148034572601318, 0.8923653960227966, 0.9791166186332703, 0.9753851890563965]"
shame,"As a small boy, I took a coin from an empty taxi cab. My mother saw it and told the driver about it. I even knew the driver. ",guilt,"[0.9095272421836853, 0.9004799127578735, 0.938674807548523, 0.8597224950790405, 0.924892008304596, 0.8421695828437805]"
guilt,When I betrayed my former girlfriend. ,disgust,"[0.9520456194877625, 0.982244074344635, 0.8428981900215149, 0.8159183263778687, 0.9639129042625427, 0.7469486594200134]"
anger,"New Year's Eve party in the country, I hardly knew a person my partner spent most of the time at the bar. I had little opportunity to get to know people because our table was separated and my boyfriend's parents were present. ",sadness,"[0.5618979334831238, 0.7482430934906006, 0.3378787338733673, 0.36498966813087463, 0.22129938006401062, 0.7657471299171448]"
sadness,"Christmas Eve there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad. ",sadness,"[0.997678816318512, 0.9955310225486755, 0.992470383644104, 0.9965617060661316, 0.992127537727356, 0.9711856245994568]"
disgust,"Father said If you are pregnant, you will have to procure abortion. I was filled with disgust against my father. ",disgust,"[0.9959112405776978, 0.9921486377716064, 0.9725225567817688, 0.9863592982292175, 0.993408203125, 0.9939625859260559]"
shame,"I had an intimate relation with my boyfriend, but unfortunately we had sexual problems therefore I deceived him, but I was ashamed when I told my friend about it. ",shame,"[0.9955921769142151, 0.9929916858673096, 0.9946292042732239, 0.9783844947814941, 0.9714824557304382, 0.9383269548416138]"
guilt,I work at a commercial house from to a. m. On a very cold day in winter I was late - and let a fellow worker stand in the cold for half an hour. ,guilt,"[0.9479615092277527, 0.9748237729072571, 0.9637373685836792, 0.8875284194946289, 0.8822656273841858, 0.9414244890213013]"
joy,"After one year of searching, my friend and I have found a flat we are able to pay for. ",joy,"[0.8763018250465393, 0.9540113806724548, 0.8700582981109619, 0.8259285092353821, 0.9380500316619873, 0.7532141208648682]"
fear,Car accident in the middle of the night. ,fear,"[0.9545379281044006, 0.9074941277503967, 0.8701767325401306, 0.9105885028839111, 0.8994559645652771, 0.9705706238746643]"
anger,"At the weekend I wanted to be absent from school because of a sports event, but my teacher refused to give me the day off because he didn't like me. ",anger,"[0.9391254782676697, 0.9662973284721375, 0.8152908086776733, 0.9195833802223206, 0.8253325819969177, 0.9728339314460754]"
sadness,"When I was six years old, my favourite cat died. ",sadness,"[0.9801046848297119, 0.9643421769142151, 0.9640324115753174, 0.969682514667511, 0.8227760791778564, 0.8229172825813293]"
disgust,A gigantic spider climbed over my face and what is more - in my own flat. ,fear,"[0.9367561340332031, 0.8569489121437073, 0.8392236232757568, 0.9162381887435913, 0.974410355091095, 0.929063081741333]"
shame,I was very fat and felt absolutely unwell. I was afraid of leaving the house and getting to know new people. ,fear,"[0.9185363054275513, 0.8871417045593262, 0.8630789518356323, 0.5700027346611023, 0.5138118863105774, 0.6440995335578918]"
guilt,I was said to be responsible for my mother getting ill and growing thin. I did not realize that it really was my fault until several weeks later. ,guilt,"[0.9558477997779846, 0.972451388835907, 0.9847057461738586, 0.8136453628540039, 0.8070842623710632, 0.8149697184562683]"
joy,"I won a car in a prize-competition. The moment I was informed about it, I felt joy. ",joy,"[0.9969130754470825, 0.953406035900116, 0.9882838726043701, 0.877515435218811, 0.9905819892883301, 0.8488656878471375]"
fear,"My sister had to undergo a very complicated operation, her eyesight was at stake. ",fear,"[0.9480883479118347, 0.8675422072410583, 0.9270439147949219, 0.8664249777793884, 0.8746914863586426, 0.9582948088645935]"
anger,I had a quarrel with my parents ,anger,"[0.9830834865570068, 0.9815046191215515, 0.8790028095245361, 0.8704397678375244, 0.8585808277130127, 0.9905455112457275]"
sadness,"I heard that a friend had died in an accident group situation suddenly a friend came in and said ""Have you already heard that. . . "" there was a terrible consternation, silence, then everybody shouted excitedly ""How could that happen. . . "". ",fear,"[0.532832682132721, 0.9579217433929443, 0.9438397288322449, 0.7489591240882874, 0.6386427283287048, 0.011175691150128841]"
disgust,"Scuffle in a carriage of the underground in Vienna, three drunk men thrashed a man in a wheel chair - I watched the scene from another carriage. ",anger,"[0.8908960819244385, 0.8294941782951355, 0.8257811069488525, 0.7479439973831177, 0.9397339224815369, 0.9012019634246826]"
shame,I put an end to a friendship with a girl - I had only pretended love and affection to be able to sleep with her. ,disgust,"[0.8369734287261963, 0.8955942988395691, 0.8377423882484436, 0.7594056129455566, 0.6760753989219666, 0.48388874530792236]"
guilt,A young girl tried to put an end to her life because of lover's grief not until she was in hospital I heard that I had been the reason for her action. ,sadness,"[0.6914476156234741, 0.7489673495292664, 0.5958593487739563, 0.5174553394317627, 0.43152621388435364, 0.07183342427015305]"
joy,"In order to be admitted to my final examination, I had to pass two examinations. As I had not studied very much, I resigned myself to be left behind. Nevertheless I succeeded in these examinations. ",fear,"[0.5505840182304382, 0.8973758816719055, 0.32659944891929626, 0.3874759078025818, 0.5883944034576416, 0.21291767060756683]"
fear,"I had not told my parents about my bad marks in school. One day, my father wanted to speak to the teachers. Fortunately I could influence my parents to take it easy. ",shame,"[0.7778048515319824, 0.6735057234764099, 0.7446863055229187, 0.4895734190940857, 0.610120952129364, 0.8340569734573364]"
anger,"I wanted to go to a friend of mine who had a party at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon. ",guilt,"[0.8549171090126038, 0.9456799626350403, 0.6796290278434753, 0.8434594869613647, 0.7292979955673218, 0.9519894123077393]"
sadness,"A friend of mine, who had repeated a year at school once before, did not pass the final examination and had to take it again half a year later. ",shame,"[0.9059019684791565, 0.9161531329154968, 0.7104407548904419, 0.8435196280479431, 0.33796989917755127, 0.697422206401825]"
disgust,"Eco-activists demonstrated against a project to build a power station at the Danube in the middle of a lowland forest (Hainburg) and the government decided to delay it for another year. When my father heard about it, he said that we needed another Hitler. ",anger,"[0.9622299075126648, 0.946301281452179, 0.9345698356628418, 0.650568962097168, 0.9815727472305298, 0.9521950483322144]"
shame,There was a time when my room looked terribly untidy just at that time my aunt came to see me fortunately I could prevent her from entering the room. ,guilt,"[0.7862505912780762, 0.7447686791419983, 0.9147511124610901, 0.8122832775115967, 0.6358770728111267, 0.6845303773880005]"
guilt,"I was supposed to fetch some friends at the bus stop, but I did not do it because my father was in a bad mood and I was afraid that he would grumble. ",anger,"[0.9445053339004517, 0.8706966042518616, 0.9002300500869751, 0.6878861784934998, 0.7047670483589172, 0.9255098104476929]"
joy,My boyfriend returned after a long absence. ,shame,"[0.8910126686096191, 0.34505075216293335, 0.8746668696403503, 0.7399188280105591, 0.922817051410675, 0.5968989133834839]"
fear,My car skidded on the wet street. ,guilt,"[0.7497311234474182, 0.8126770853996277, 0.7959489822387695, 0.7916311621665955, 0.7693437337875366, 0.9109898805618286]"
anger,"I wanted to see a friend, I had been looking forward to it and had certain expectations, but he did not pay any attention to me, played cards with other people. ",guilt,"[0.854455828666687, 0.9662600755691528, 0.5847072601318359, 0.8798438310623169, 0.5852712392807007, 0.9700115919113159]"
sadness,A good friend quitted me after he had behaved in a strange manner. ,shame,"[0.9237631559371948, 0.9158833026885986, 0.8858799338340759, 0.8960102200508118, 0.6376444697380066, 0.5896680951118469]"
disgust,In broad daylight I saw an untidy old man pissing and playing with his penis in the middle of the town. ,anger,"[0.9521050453186035, 0.8350803256034851, 0.655839741230011, 0.7521037459373474, 0.9537273645401001, 0.9163140058517456]"
shame,Somebody who knows me very well discovered that I had told him a lie. ,shame,"[0.8734328150749207, 0.8862941861152649, 0.9205432534217834, 0.8611919283866882, 0.8957202434539795, 0.876061737537384]"
guilt,"When my boyfriend was away, I flirted with his best friend I felt guilty the next day. ",guilt,"[0.9979997277259827, 0.9865393042564392, 0.9695180058479309, 0.877164363861084, 0.936448335647583, 0.9945065379142761]"
anger,"Recently a good friend only called me when he needed something. He never said ""please"" or ""thank you"" or any other kind word. ",sadness,"[0.25283491611480713, 0.4599875807762146, 0.05315119028091431, 0.4918266832828522, 0.06717023998498917, 0.6141646504402161]"
sadness,"My favourite horse died. We had tried our best to save him, but it was hopeless, he had to be shot. ",sadness,"[0.9928083419799805, 0.987894594669342, 0.9883337020874023, 0.9889683127403259, 0.8687799572944641, 0.9485788345336914]"
disgust,I read a book about the sexual phantasies of women I read about a woman having sexual intercourse with a dog. ,joy,"[0.2522141635417938, 0.0640309751033783, 0.04794689267873764, 0.09115681052207947, 0.2052060067653656, 0.13238690793514252]"
shame,In our flat the bath-tub is in the kitchen. At the beginning I had very intensive feelings of shame when I had a bath and people were in the kitchen. ,shame,"[0.9963948130607605, 0.9887537956237793, 0.9848147630691528, 0.9708877205848694, 0.9297743439674377, 0.8727609515190125]"
guilt,"I had to take care of the plants of a friend of mine for several weeks. I watered them, but let them stand in a cold room so that two of them perished. ",guilt,"[0.9017021059989929, 0.947119951248169, 0.9786807298660278, 0.8209157586097717, 0.7737714052200317, 0.8854617476463318]"
joy,When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again. ,joy,"[0.9807877540588379, 0.5608661770820618, 0.9910026788711548, 0.802158534526825, 0.9912217855453491, 0.7612685561180115]"
fear,"When we stayed in Vienna with our class, my friend and I behaved incorrectly. Our teacher threatened us with exclusion from school. ",shame,"[0.972121000289917, 0.780015766620636, 0.8829371333122253, 0.859455406665802, 0.866578221321106, 0.9808034896850586]"
