labels,text,feels_s,prob_feels_s,prob_max
fear,I remember when I was a child of a storm that made me terribly afraid. I thought that the house was coming down and that in the next day I would be dead. Everybody was awake and I stayed all night in bed without falling asleep. ,fear,"[0.5132194509108862, 0.45542115718126297, 0.9952378372351328, 0.5767050683498383, 0.07862749925698154, 0.6939506530761719, 0.3583199307322502]",0.9952378372351328
anger,Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment. ,anger,"[0.8754026194413503, 0.3718928669889768, 0.18080878692368665, 0.41079404205083847, 0.04592226154636592, 0.23407059100766978, 0.2803356572985649]",0.8754026194413503
sadness,"I remember the day my father died. I was years old and my sadness was so great that until today I remember everything about that day, from the clothes I was wearing to the reactions of people, the despair of my mother and brother. It marked me a lot and was the greatest sadness I felt. ",sadness,"[0.5609144096573194, 0.5461517094324032, 0.8190815846125284, 0.7562234997749329, 0.03955452520555506, 0.9801726639270782, 0.6897919575373331]",0.9801726639270782
disgust,"I was sitting in school, waiting for my sister to go home. Suddenly a boy put fire in a paper and threw it were I was sitting. The paper didn't get me, but I felt terribly disgusted at this cowardliness and irresponsibility that caused a great discussion. We went to the director and he, drunk as always, said that I was . . . attention in school. I felt disgust of this situation, and of the persons implicated in it. ",anger,"[0.9914633333683014, 0.9833073417345682, 0.9768424928188324, 0.9461176892121633, 0.12709241608778635, 0.9290544291337332, 0.9875700771808624]",0.9914633333683014
shame,Some times I was ashamed of presenting seminaries or even to speak in class. ,shame,"[0.39944483526051044, 0.9138064483801523, 0.9855236709117889, 0.9883530139923096, 0.0015701118293994416, 0.7843804905811945, 0.9962641596794128]",0.9962641596794128
guilt,"In adolescence I had a very violent fight with my sister I hold her stong in her neck, she had a throat surgery what make me feel guilty about the future reactions she might had injuring the surgery. ",guilt,"[0.8206720699866613, 0.6083505103985468, 0.8343530595302582, 0.994497130314509, 0.0045271240135965245, 0.7531197816133499, 0.856964627901713]",0.994497130314509
joy,"The day I received the key of my apartment and we could enter in it, for my fiancT and I had bought it yet in plans, and it seemed to us that this was almost impossible to happen. ",joy,"[0.29289224619666737, 0.1018771353798608, 0.6328996593753496, 0.46098102380832034, 0.9461461106936137, 0.060952153988182545, 0.09217158704996109]",0.9461461106936137
fear,"I had a driver licence but I didn't drive for a long time, than I started to drive again, and had to get into hard transit and highways. ",fear,"[0.7024240543444952, 0.4037160575389862, 0.8283221125602722, 0.786776045958201, 0.274785107622544, 0.6518611907958984, 0.3387589144210021]",0.8283221125602722
anger,"When my boss cut off my vacations saying that in that month it wouldn't be possible, and after some time he let another girl take vacations that month. The anger was because of the resentment. Resulting from our bad relationship. ",anger,"[0.9900157153606415, 0.7734520335992178, 0.12041779172917207, 0.7764753711720308, 0.003994045095168985, 0.2254350055785229, 0.6520361502965292]",0.9900157153606415
sadness,My fiancT's family was adopting a years old boy. I felt myself close to him as I never felt before. After some time his mother demanded the care of the kid and we were obliged to send him back. ,guilt,"[0.25400000748534995, 0.07697954317942883, 0.07903835503384471, 0.7240328093369802, 0.08089292701333761, 0.5915107134108742, 0.2250624050696691]",0.7240328093369802
disgust,"There is a girl at my work that doesn't take care much of her hygiene she comes always with her hair oiled, a not very agreable smell, and a bad appearance. Beside this she tries to be nice. ",guilt,"[0.3582386610408624, 0.39835018292069435, 0.26977543408672017, 0.4818258509039879, 0.20714682817924768, 0.39760855833689374, 0.4342241610089938]",0.4818258509039879
shame,"A day I was with my boyfriend and a couple of friends in a bar, and he said something that I didn't like (I don't remember what). Without thinking I slept him in his back, getting ashamed and sorry just after. ",shame,"[0.9592360357443491, 0.9187765320142111, 0.7196819459398588, 0.9936526417732239, 0.037700290830495455, 0.7220309792707363, 0.9948115746180216]",0.9948115746180216
guilt,"When I was starting in romance with my husband, we went out to curt, and we stayed in the car ""making love"". At the time I was seventeen and I was very immature until a day I lost my virginity. ",guilt,"[0.35530204822619754, 0.20782233402132988, 0.38736658294995624, 0.6411490986744562, 0.6118371238311132, 0.3572105976442496, 0.45480496684710187]",0.6411490986744562
joy,It was when a friend took me to a place and gave me as a gift my astrologycal map with the explanations of a psychologist. ,joy,"[0.11045918179055055, 0.052700841799378395, 0.25532247219234705, 0.22683272634943327, 0.8719651798407236, 0.18922894323865572, 0.09714970085769892]",0.8719651798407236
fear,"When I was dreaming that I was being chased, in the upmost of horror the door of the closed felt down synchronicaly with the dream scare. ",fear,"[0.4907459219296773, 0.6231415073076884, 0.9914864599704742, 0.6720565060774485, 0.021719527935298782, 0.29593734567364055, 0.3899734169244766]",0.9914864599704742
anger,"When my mother slapped me in the face, I felt anger at that moment. ",anger,"[0.9949311017990112, 0.6848018169403076, 0.06195603831050297, 0.7802053267757098, 0.010597440705168992, 0.17938516459738216, 0.45843751914799213]",0.9949311017990112
sadness,When I deeply felt that I could lose the person I love best because of my foolishness. ,fear,"[0.7677060266335806, 0.5324450259407362, 0.9911403755346934, 0.9887082576751709, 0.004299946119620775, 0.8728268990914027, 0.9263144731521606]",0.9911403755346934
disgust,I felt disgust toward meat when I felt sick with the steak after a week only on meat. ,shame,"[0.5822473292549452, 0.9288031359513601, 0.46033835721512634, 0.3671608393390973, 0.002339586959957766, 0.2319554565474391, 0.9335417449474335]",0.9335417449474335
shame,When I had to act alone a character for a public ( people). ,guilt,"[0.4892987869679928, 0.12335500431557496, 0.5858507752418518, 0.6050334821144739, 0.3150924413154523, 0.5900521377722422, 0.3067765223483245]",0.6050334821144739
guilt,When I stared to much at a pastry that a woman was eating and at the same instant the pastry felt on the floor. ,fear,"[0.5132843255996704, 0.40856209956109524, 0.6322395155827204, 0.6168660819530487, 0.21081266707430282, 0.48211945965886116, 0.39166973531246185]",0.6322395155827204
joy,"In a day when at work, in school, and relationships came out as I wanted, and I was recognized in my work. ",joy,"[0.011500859361452362, 0.006787463168924053, 0.013805028283968568, 0.2073555796717604, 0.9934116800626119, 0.005350449277708928, 0.0040684755658730865]",0.9934116800626119
fear,"When I woke up in the middle of the night because of a dream, it wasn't a nightmare, it was an uninteligible dream in wich I woke because of a certain end. ",guilt,"[0.551308291653792, 0.3224775344133377, 0.6979605108499527, 0.7166720479726791, 0.13454645359888673, 0.5719778686761856, 0.35808684428532916]",0.7166720479726791
anger,When I was robbed in a bus. ,fear,"[0.9503204226493835, 0.7598359795908133, 0.965019424756368, 0.877546638250351, 0.022666371388671298, 0.7588122077286243, 0.9467672208944956]",0.965019424756368
sadness,When I try to get closer at a person and she misinterpreted me. ,guilt,"[0.599756528933843, 0.3229176327586174, 0.5199103156725565, 0.6407735546429952, 0.013900353650872907, 0.5208361446857452, 0.5092473377784094]",0.6407735546429952
disgust,When I felt the smell of industries that pollute. ,guilt,"[0.805131326119105, 0.7388703984518846, 0.6676098455985388, 0.9295592308044434, 0.02580336279546221, 0.5619443108638128, 0.5510740081469218]",0.9295592308044434
shame,"When somebody I knew greeted me and started to talk with me and I didn't know, I couldn't remember who he was. ",fear,"[0.4591914067665736, 0.21472028518716493, 0.6219280064105988, 0.4182950009902318, 0.055525863310322165, 0.602670107036829, 0.4333380435903867]",0.6219280064105988
guilt,When I unjustly accused a person of my family of something she didn't really do. ,anger,"[0.6777777870496114, 0.4178120444218318, 0.34669627994298935, 0.5849035729964575, 0.009608506942943981, 0.38028324395418167, 0.6030987203121185]",0.6777777870496114
joy,"I was travelling in the South of Brasil, near the end of the year. I was well settled with friends. At the evening of M. , somebody, also with us, took from his purse pints of all colours, and the of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne. ",joy,"[0.14587357733398676, 0.06556260422803462, 0.039395066521440945, 0.13792871311306953, 0.8188437521457672, 0.042366479232441634, 0.05354710544149081]",0.8188437521457672
fear,"I was walking from my friend's house, a few blocks from my house, when a car began to follow me. He waited I passed by it rotateed a little and stopped on my way. I changed completely my way and the car went on following me until I turned at a corner and running I hid in a garden of a house, waiting for the car to pass by. I went back home terribly afraid. ",fear,"[0.2430664082057774, 0.23527136274302998, 0.9916577537854513, 0.33388938071827096, 0.006394850330252666, 0.016497517315049965, 0.38541095207134884]",0.9916577537854513
anger,"One day I lent my tennis I just had washed to my sister because she asked it. I asked her not to soil it as I had just washed it. Next day I looked at the tennis, and it was dirty with wax. She could not have soiled it. It was lack of consideration. I felt very angry. ",anger,"[0.9893079996109009, 0.42902983476718265, 0.10249511214594047, 0.727825994292895, 0.027468677193004016, 0.17709688454245529, 0.5356376878917217]",0.9893079996109009
sadness,The second time I went to the entrance exam to V. S. P. and didn't get approved. ,sadness,"[0.8844610651334127, 0.6572158485651016, 0.8657390375932058, 0.8468654354413351, 0.004765182840249811, 0.8956993222236633, 0.8882402578989664]",0.8956993222236633
disgust,"I was travelling, we were person, one of them I met at the travel and didn't like her. One night I was asleep while she and her friends were talking too loud in the kitchen. I got up to ask for silence and since that day I felt constant disgust for her. ",disgust,"[0.7771899203459421, 0.8707688947518667, 0.46563317626714706, 0.3430427424609661, 0.016495705941148724, 0.23319885258873305, 0.39323122054338455]",0.8707688947518667
shame,"I was working in I. when a friend of mine borrowed his car so I could get bach there, I had to come to S. Paulo and his car was here. He said ""When you get the car tell my mother that you are only taking the car bacause I asked, for she doesn't like me to borrow it"". Next day he borrowed me it again for I had to come back again. When I was coming back I crashed the car quite a lot. One of the first person I met at the accident was his mother, that said to me ""You weren't to take the car only yesterday ? "" (before I saw her I was already ashamed). ",shame,"[0.7194528530041376, 0.6545429428418478, 0.6160818537076315, 0.7727571328481039, 0.028039112299059827, 0.42493993043899536, 0.9062835772832235]",0.9062835772832235
guilt,"I had a date with a boy, but I didn't feel liked, and didn't go, I wasn't home purposely at the time we arranged. ",disgust,"[0.6627257615327835, 0.8234856426715851, 0.5793358447651068, 0.7423749367396036, 0.048529823805438355, 0.7900367279847463, 0.775536060333252]",0.8234856426715851
joy,"A friend of mine that is abroad undertook recently an axam to enter on University in Dallas, and was approved. ",joy,"[0.10430123470723629, 0.03319335108002027, 0.24855200170228878, 0.11349496617913246, 0.912925144036611, 0.12334065698087215, 0.025616609724238515]",0.912925144036611
fear,I felt afraid of losing somebody I love to another person because I was an incomprehensive person and lots of time I fight with this person. ,fear,"[0.8469088971614838, 0.4533033122618993, 0.9776450395584106, 0.9362282951672872, 0.007247625365077208, 0.5766047015786171, 0.7253044247627258]",0.9776450395584106
anger,In certain occasion I have a fight with my boyfriend. During the fight I closed the door at his face. He went away but came back next day. ,anger,"[0.8919025262196859, 0.5414449572563171, 0.7341054181257883, 0.7912930647532145, 0.17484754184260964, 0.4300810272494952, 0.6644814858833948]",0.8919025262196859
sadness,"Last year, when I took the college entrance examinations I failed the FUVEST. It was for me the most frustrating situation because I had studied all year long, and only thought about this. ",anger,"[0.9768900871276855, 0.638788029551506, 0.6291860540707906, 0.899524966875712, 0.0008145898245857097, 0.8392890344063441, 0.7634809414545695]",0.9768900871276855
disgust,In a certain occasion I saw a dog in the street eating something so strange gooey that I wasn't able to eat lunch because I remembered the scene all the time. ,fear,"[0.7447106043497721, 0.814034660657247, 0.9785068233807882, 0.7547102570533752, 0.021425569138955325, 0.788112553457419, 0.5856314649184545]",0.9785068233807882
shame,"I had never made a malicious joke in front of my boyfriend. Last week I did it I was funny, he loved it, and I died of shame. ",shame,"[0.7805928736925125, 0.9656494359175364, 0.9802906016508738, 0.9924076100190481, 0.007741420995444059, 0.7387314345687628, 0.9971889853477478]",0.9971889853477478
guilt,"When my parents fight lots of time, when I'm the reason of the fight, I feel guilty. ",guilt,"[0.3855486499766509, 0.3744241421421369, 0.4503867986301581, 0.9946911533673605, 0.0016103824503564586, 0.6911146019895872, 0.9494452079137167]",0.9946911533673605
joy,When I knew about my first job. ,joy,"[0.34839053576191265, 0.13694054633378983, 0.521165149907271, 0.5999995370705923, 0.8703157256046931, 0.1385987444470326, 0.178955951705575]",0.8703157256046931
fear,When I was just to be divorced. ,sadness,"[0.7436188459396362, 0.5148285428682963, 0.696937695145607, 0.9139504233996073, 0.16281219742571315, 0.9177473584810892, 0.8431357940038046]",0.9177473584810892
anger,My mother in law slept in my bed. ,guilt,"[0.7089675714572271, 0.3374353057394425, 0.5536473194758097, 0.8870183229446411, 0.6337039445837339, 0.5860818036211034, 0.6204262723525366]",0.8870183229446411
fear,A terrible fight that I provoked with my friend. ,anger,"[0.976717621088028, 0.6923424651225408, 0.7223549286524454, 0.9746213058630625, 0.05966874153818935, 0.4428671045849721, 0.7438979744911194]",0.976717621088028
anger,In the last year of the high school we had a huge fight between my group and the graduation commission (two students of my classroom) because they accused us unjustly of a gossip about them. ,anger,"[0.964545726776123, 0.6937515636285146, 0.6593849758307139, 0.9193665683269501, 0.09526587844205399, 0.4774123653769493, 0.8065224389235178]",0.964545726776123
sadness,When I was / years old my father travelled very much for his work (he passed three months away from home). ,sadness,"[0.5911824901898702, 0.3782215143243472, 0.6610071808099747, 0.7170127828915914, 0.243025670448939, 0.8577122191588084, 0.4282194475332896]",0.8577122191588084
disgust,I saw a film where snakes were crawling everywhere. I felt them crawling over all my body with that . . . skins. The noise that they did disturbed me very much. ,fear,"[0.757276842991511, 0.6977200818558534, 0.9869533677895864, 0.3679107204079628, 0.011964228799721846, 0.36646138317883015, 0.45786207417647046]",0.9869533677895864
shame,In a play (secret friend) during the time of the high school I had to give a present to a boy and I was very ridiculous because of this. ,fear,"[0.7254843612511953, 0.7052300125360489, 0.9394715229670206, 0.9097354908784231, 0.0975643521330009, 0.5990816404422125, 0.9142013589541117]",0.9394715229670206
guilt,When I was a child I used to play with my cousin gushing wather to each other in front of the door of my house. One day we decided to gush with on a passing car. The driver stopped and went to discuss with my mother and my aunt that were there. ,joy,"[0.7062830825646719, 0.5829928268988928, 0.722736731171608, 0.6216809451580048, 0.7375885546207428, 0.5040240908662478, 0.5462800065676371]",0.7375885546207428
joy,When I got a small present form a person I like very much. ,joy,"[0.002122815892410775, 0.001792177068030772, 0.0602394361825039, 0.1271487729779134, 0.9084894855817159, 0.024231468016902607, 0.004693089906747143]",0.9084894855817159
fear,"When a friend of mine discussed with me, I felt fear of losing her. This occurred because we had a missunderstanding between mutual colleagues. ",fear,"[0.2764964811503887, 0.27441248297691345, 0.9842365980148315, 0.6450285663207372, 0.00405285553036568, 0.3659476737181346, 0.4157375171780586]",0.9842365980148315
anger,When a boy tried to fool me so he would be OK trying to show me that he is a gook boy. ,anger,"[0.8568200965722402, 0.26042355752239627, 0.5064760856330395, 0.6739095548788706, 0.3574930652976036, 0.445967140297095, 0.11379709901909034]",0.8568200965722402
sadness,"In the / my boyfriend asked me to forget him, as it would be easy. ",guilt,"[0.536345640818278, 0.36836335249245167, 0.2600935638571779, 0.7662508289019266, 0.08630182687193155, 0.5295154998699824, 0.5209637706478437]",0.7662508289019266
disgust,When my oldest sister discovered that her boyfriend had another girl. ,anger,"[0.9490546584129333, 0.7949110418558121, 0.9215242465337118, 0.945975641409556, 0.33668499408910674, 0.9231138626734415, 0.901798297961553]",0.9490546584129333
shame,We where in a bar and my friend had a fight with some guys who were in the table aside. ,anger,"[0.9582402805487314, 0.6686506470044454, 0.6711853096882502, 0.8242538968722025, 0.25419471350808936, 0.5562859972318014, 0.5763319482405981]",0.9582402805487314
guilt,When I deny something to my sister and after a while I feel sorry and try to bypass the situation. ,guilt,"[0.35399779832611483, 0.37856756150722504, 0.5440467745065689, 0.9836346010367075, 0.010539935125658909, 0.7700332527359327, 0.9069349467754364]",0.9836346010367075
joy,When I saw my name in the newspaper and I knew that I entered at the University. ,joy,"[0.19652561470866203, 0.0436637329403311, 0.21514303547640642, 0.5314030150572459, 0.9339821835358938, 0.05810796065876881, 0.3274825115998586]",0.9339821835358938
fear,When my father died I felt myself alone and the fear possessed me. I was a child and all my sisters and brothers () were young. ,fear,"[0.38859800311426324, 0.5860616862773895, 0.9966398576895396, 0.8067931334177653, 0.043099444039398804, 0.8951279620329539, 0.6287470410267512]",0.9966398576895396
anger,I loved a person and he went away. It wasn't necessary that he left me to reach his goals. ,sadness,"[0.9584206740061442, 0.354439524099386, 0.6491751869519552, 0.8306664526462555, 0.06721121895437439, 0.9718277951081594, 0.7671816547711691]",0.9718277951081594
sadness,"A close friend travelled to another country. When I knew that he would only come back after many years, I felt very sad. ",sadness,"[0.004289888107450679, 0.15425392686544606, 0.3293543703233202, 0.7084890405337015, 0.0019046090213426699, 0.9911933044592539, 0.2701075552031398]",0.9911933044592539
shame,"When I began to date, the first gestures of affection made me feel ashamed. ",shame,"[0.44394418473045033, 0.9309319059054056, 0.9081999560197195, 0.983583947022756, 0.0024069716358402124, 0.7320955606798331, 0.9956001540025076]",0.9956001540025076
guilt,The day I decided to get out of my house I saw in my brother's eyes that they blamed me for the situaiton. ,guilt,"[0.9471526443958282, 0.7566494991381963, 0.8488134344418844, 0.9834697941939036, 0.1036824420443736, 0.8268981277942657, 0.9599913060665131]",0.9834697941939036
joy,I had a friend who I didn't see for a long time. We had a relationship from much union and interaction. It was more that one year that I didn't see her. She appeared in my home and we talked. ,joy,"[0.11756676062941551, 0.05208894812191526, 0.1658097244799137, 0.2353077953060468, 0.39530735711256665, 0.33190105607112247, 0.09813725637892882]",0.39530735711256665
fear,I was sitting on the bus coming back from school. A man from nearly forty years sat beside me. After a while I looked at him and saw that he was looking at me with opened throusers and holding his penis. ,fear,"[0.37577470143636066, 0.2851608085135619, 0.5546007951100668, 0.5309643199046453, 0.35364592634141445, 0.2549381634841363, 0.4784532239039739]",0.5546007951100668
anger,"My mother was ill and asked me to prpare our lunch. I went to do it, and while I was working, she stayed behind me telling what I had, or not to do. I asked her to stop meddling, and to go to bed. When I went to ask for help to my sister, my mother said that I was proud, that I asked for help only when I wanted and that I wasn't able to cook by myself. ",anger,"[0.9288141330083212, 0.575377150128285, 0.40444260090589523, 0.8146129250526428, 0.13745791596981385, 0.4909972759584586, 0.8546580771605173]",0.9288141330083212
sadness,When on Christmas day my grandmother died. I received the news when I was coming back from a party on the th at am. ,sadness,"[0.6824534138043722, 0.5384882738192877, 0.8824266592661539, 0.7839394708474478, 0.026682081477095682, 0.967022051413854, 0.5972468902667364]",0.967022051413854
disgust,"The same event described under FEAR - in the bus a man sat beside me, with his trousers open and holding his penis. ",fear,"[0.0666798270928363, 0.6070424914360046, 0.9898500839869181, 0.630085808535417, 0.01606244291178882, 0.1423000580010315, 0.8867857058842977]",0.9898500839869181
shame,When I went to a halloween party and had to walk through a shopping center dressed like a witch. ,guilt,"[0.8137879272301992, 0.6514178464810053, 0.868763397137324, 0.8758325477441152, 0.16149498103186488, 0.4806012598176797, 0.8122530976931254]",0.8758325477441152
guilt,"I had parked in a corner, and when I was going out I didn't watch if another car was coming and went out. The car that was coming was obliged to stop suddenly. It didn't crash but for a little. ",guilt,"[0.650828500588735, 0.5007578035195669, 0.7140704244375229, 0.8825223644574484, 0.2455441194276015, 0.6420478224754333, 0.6668733159701029]",0.8825223644574484
joy,When I got a record as a gift from a friend. ,joy,"[0.039956741190205015, 0.02234998291047911, 0.1876352292795976, 0.08616056727866332, 0.8796574374039968, 0.09524819596360128, 0.024061617208644748]",0.8796574374039968
fear,"Once when I crossed the street, and was nearly trampled by a car. ",fear,"[0.8886027733484904, 0.6600765883922577, 0.9773163795471191, 0.8237864673137665, 0.008292452354604999, 0.7655002921819687, 0.7295426527659098]",0.9773163795471191
anger,A girl entered in the division where I work and greeted everybody but not me. ,anger,"[0.7656593124071757, 0.6383493194977442, 0.6035313506921133, 0.5488754113515218, 0.2221723012626171, 0.6470793386300405, 0.6543894509474436]",0.7656593124071757
sadness,A dear friend was removed from the division whre I work. ,sadness,"[0.8110254605611166, 0.4502430111169815, 0.6685951054096222, 0.603020598491033, 0.0062435451545752585, 0.8319169680277506, 0.7146073281764984]",0.8319169680277506
disgust,When somebody despised a friend of mine. ,anger,"[0.8523894846439362, 0.8251071075598398, 0.36607951919237774, 0.47415510720262927, 0.01609910000115633, 0.4814286989470323, 0.728535383939743]",0.8523894846439362
shame,When a friend told me a story and I stayed dumb because I had no story to tell. ,guilt,"[0.6830993493398031, 0.49976568420728046, 0.5352196097373962, 0.9362371961275736, 0.08537154458463192, 0.5822053154309591, 0.8045002122720083]",0.9362371961275736
guilt,"When I slapped a nephew who did something that I considered wrong, and I was reprehended for this. ",guilt,"[0.8756673435370127, 0.6823778301477432, 0.5722606082757314, 0.895263671875, 0.02320296517185246, 0.6047076980272929, 0.7371695935726166]",0.895263671875
joy,"I wanted to go out to walk but I didn't know either where or with whom, suddenly an invitation appeared. ",joy,"[0.2430570743357142, 0.04650173747601608, 0.1827439935101817, 0.4036347394188245, 0.8047225823005041, 0.2068283719321092, 0.12554024190952381]",0.8047225823005041
fear,"Passing (by car) over a bridge where only one car could pass. There was a precipice on both sides, no protection grilles, and the bridge was completely muddled. ",fear,"[0.6560196230808893, 0.47578512132167816, 0.7604308625062307, 0.6079062099258105, 0.11097754507015149, 0.4771656220157941, 0.38603361944357556]",0.7604308625062307
anger,When my chief accused me of an error that I hadn't made. ,anger,"[0.9653984109560648, 0.7231111625830332, 0.847003569205602, 0.9613640308380127, 0.0518155189541479, 0.750689427057902, 0.9349380433559418]",0.9653984109560648
sadness,When I knew about my sister's in law finacial situation and what she was facing. ,fear,"[0.8315989871819814, 0.5384099135796229, 0.9077197213967642, 0.849282850821813, 0.130638447124511, 0.8321026464303335, 0.39091456929842633]",0.9077197213967642
disgust,To see damaged lettuce (with worms) in the icebox. ,anger,"[0.8361711800098419, 0.744891253610452, 0.718888853987058, 0.8123429715633392, 0.013392409154524406, 0.7549252174794674, 0.7183822890122732]",0.8361711800098419
shame,When a group of friends began to make critics about me. ,anger,"[0.8328423996766409, 0.5413002570470175, 0.6338237921396891, 0.8095947007338206, 0.022295433251808088, 0.5935839123558253, 0.8214080532391866]",0.8328423996766409
guilt,When I knew that my niece did a bad schoolar examination because I couldn't explain her the lesson. ,guilt,"[0.8717237611611685, 0.6419322391351064, 0.8329636851946512, 0.9828100999196371, 0.0843773481125633, 0.7940125664075216, 0.9400709768136343]",0.9828100999196371
joy,"I felt a great joy when I knew that my father was going to sell the apartment from GUARUSA, because in some way we were helded by it, that means that we didn't go to any other place, because we had the apartment. ",joy,"[0.001163608190836385, 0.0014725357468705624, 0.0016514663875568658, 0.33328713924856856, 0.9837774733702341, 0.00212053478268596, 0.003248395980335772]",0.9837774733702341
fear,"The day that there was a black-out in the city, and I was in an exposition, I felt fear that something more serious was happening, like a revolution for example. ",fear,"[0.1020089356849591, 0.27885526822259027, 0.9904652039210001, 0.5672682573397955, 0.0036432148238721616, 0.31187590832511586, 0.1992396960655848]",0.9904652039210001
anger,"I don't use to lie to my parets about what I do, and the two times that I felt anger were when they doubted me I said that I was going to the club, and they didn't believe me because the day before they had met me at FLIPERAMA. I had the wish to kill them. ",anger,"[0.9902130464712778, 0.48709150527914363, 0.036465712396117546, 0.6894135947028796, 0.0038577098942672214, 0.174669055462194, 0.5060353552301725]",0.9902130464712778
sadness,I felt very sad when I saw the first list from the names of the people who entered at the University and my name wasn't there. ,sadness,"[0.002616785350255668, 0.1472093535315556, 0.08388802517826359, 0.8081781367460886, 0.0008089463784320591, 0.9944109320640564, 0.6546411216259003]",0.9944109320640564
disgust,"I felt disgust about all my friends. After having done a great effort to organize an evening together, and didn't work out, they put the blame on me. After this, I feel disgust towards those that blame me. ",disgust,"[0.9346316556135813, 0.9878275295098623, 0.98673747976621, 0.9627599815527598, 0.19923604916160306, 0.8751844515403112, 0.9822102685769399]",0.9878275295098623
shame,I feel ashamed every time that someone makes me a positive or negative critic. ,shame,"[0.07243693092217048, 0.8378327116370201, 0.593268658965826, 0.9888721803824106, 0.0009336510265711695, 0.4927036513884862, 0.9965738356113434]",0.9965738356113434
guilt,Yesterday I broke my sister's raio. She hears it always when she has school examinations and now she has examinations. ,guilt,"[0.9467164973417918, 0.6211574499805769, 0.8854318459828695, 0.9869348704814911, 0.189555738431712, 0.720830786973238, 0.8866394857565562]",0.9869348704814911
joy,When I discovered that I and my friend would be licensed at the first call. This emotion was accompanied by a great relief. It was the coronation of a year of sacrifice and extrene discipline. ,joy,"[0.002565047596969331, 0.018906561405553173, 0.013810725630416224, 0.1568722897597278, 0.8221429884433746, 0.0024474552289272347, 0.005121903280572345]",0.8221429884433746
fear,"The week before I entered to army, when we were being selected. During days I had to pass hours a day waiting for the answer, which at last was the worst. The fear of being convoked, of hearing the fated phrase, was constant. ",fear,"[0.5535681918263435, 0.4223729620377223, 0.992623637119929, 0.6927897334098816, 0.005597805138677359, 0.687797004977862, 0.4805599773923556]",0.992623637119929
anger,"When I was misleaded by a person who assured that something would not occur, that I had no reason to prepccupy myself, and suddenly I saw myself implicated by the fact, because of the incompetence, and irresponsibility of that person. ",anger,"[0.9584863086541494, 0.7903370335698128, 0.916275680065155, 0.6183739205201467, 0.015070418186951429, 0.7764257950087389, 0.6012075692415237]",0.9584863086541494
sadness,"When I didn't succeed to enter at the University, I felt that the college entrance course sistem prejudiced me, that my integrity, and effort weren't corresponded. ",guilt,"[0.943394790093104, 0.618400459488233, 0.6292043675978979, 0.9759884277979533, 0.0018016368170113612, 0.8656494269768397, 0.9349435468514761]",0.9759884277979533
disgust,When I had to plunge in a swamp of fetid and stagnant water. ,fear,"[0.9004783431688944, 0.931239535411199, 0.9806224703788757, 0.8703604638576508, 0.029856917952808242, 0.7699370160698891, 0.8203619221846262]",0.9806224703788757
shame,"When I accused unjustly a person of robbery, who proved me the contrary, almost caused a public fight. ",anger,"[0.8849508066972097, 0.432669165233771, 0.3769596020380656, 0.536470577120781, 0.0562599398350964, 0.39142217487096786, 0.4973522921403249]",0.8849508066972097
guilt,"When in the initial interview for the recruiting, I don't know why, I accepted to do the test for army. ",guilt,"[0.18588077649474144, 0.10417003526041906, 0.4325349194308122, 0.7429616451263428, 0.1614430227006475, 0.17611840491493544, 0.23964197312792143]",0.7429616451263428
joy,I felt joy when I entered at the University. ,joy,"[0.0006958910817047581, 0.0006891949597047642, 0.0006793277085913966, 0.007998270399790878, 0.9921994606653849, 0.0007146208372432739, 0.000855130337489148]",0.9921994606653849
fear,"One day, when I realized that I was alone, I felt fear of loneliness. ",fear,"[0.01131058984901756, 0.27148101416726905, 0.9891802569230398, 0.33038241136819124, 0.0009233162030189609, 0.6420969665050507, 0.10201433611412843]",0.9891802569230398
anger,"I felt anger when I saw that I was being misleaded by my boyfriend, he went out with other girls. I felt anger for his falsity. ",anger,"[0.99775497118632, 0.8202240516742071, 0.754736140370369, 0.9809247752030691, 0.10986319331762691, 0.48659129068255424, 0.9589151442050934]",0.99775497118632
sadness,"When my boyfriend was changing his behavior there was something wrong, I felt sad, because it's desagreable when a relationship is ending. ",sadness,"[0.025238039321266115, 0.24222779273986816, 0.36809458676725626, 0.896368145942688, 0.0028643696229361617, 0.9932011663913727, 0.7601563731829325]",0.9932011663913727
disgust,"I felt disgust when I realized that I had eaten something fatty, and vomited too much. ",shame,"[0.6401874540994564, 0.982741783062617, 0.5021020978068312, 0.9757676323254904, 0.0011208126913212861, 0.24913796596229076, 0.9936559200286865]",0.9936559200286865
shame,"When I realized that my bathing suit was spotted, I had became menstruated. ",shame,"[0.8228761007388433, 0.8889003892739614, 0.9550732970237732, 0.9650314549605051, 0.08538259397028014, 0.6983606740832329, 0.9731012284755707]",0.9731012284755707
guilt,When I robbed a loop in supermarket. ,guilt,"[0.5897686729828516, 0.31965207246442634, 0.44885758062203723, 0.8408853709697723, 0.15793011968101686, 0.17066469167669615, 0.4183858434359233]",0.8408853709697723
joy,"A meeting with the family and the friends I felt dear and loved, sharing the gladness of being together at a birthday. ",joy,"[0.0005405473057180643, 0.0003927892297118281, 0.0007753517177964871, 0.1447758201296286, 0.9121334751447042, 0.000681798158135886, 0.0025366581588362655]",0.9121334751447042
