labels,text,emo_s,prob_emo_s,prob_max
disgust,When I saw a male engineer one year and came back to find he was now a female (I don't know it/them personally). ,guilt,"[0.32657990356286365, 0.23071499541401863, 0.30313339581092197, 0.3558101033171018, 0.046518651923785605, 0.33969905103246373, 0.22193490713834763]",0.3558101033171018
shame,"When Dad went to a Sports Day and was the only parent there, and he was cheering for us. ",joy,"[0.06279097000757854, 0.044975380413234234, 0.06435426076253255, 0.3773803102473418, 0.7471374372641245, 0.19291952050601444, 0.06516860099509358]",0.7471374372641245
guilt,We owned a shop and I used to serve in it occasionally. We sometimes took lollies out of the stand and Dad caught me one day. ,guilt,"[0.42473140358924866, 0.41529591878255206, 0.3522353768348694, 0.7631866633892059, 0.10859332450975974, 0.25064507126808167, 0.4196782285968463]",0.7631866633892059
joy,On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed. ,joy,"[0.05592784192413092, 0.007499468367313966, 0.1926089332361395, 0.10266147988537948, 0.4417624842996399, 0.058318102111419044, 0.0911964401214694]",0.4417624842996399
shame,Lying to a friend about something that was trivial. ,guilt,"[0.2849973725775878, 0.37587349861860275, 0.2207422529657682, 0.7130458752314249, 0.016752133301148813, 0.20126287328700224, 0.6504638741413752]",0.7130458752314249
guilt,"I had promised to do a task for someone that was close to me, and from the outset I knew it was important that I do it, but when it came to it, I let them down. ",guilt,"[0.6320330748955408, 0.5813514590263367, 0.5100647459427515, 0.9325065116087595, 0.028223548317328095, 0.674334650238355, 0.687868058681488]",0.9325065116087595
joy,Good news about a sick relative. ,joy,"[0.0012948874403567363, 0.0012352404010016471, 0.001646481134230271, 0.004695983535687749, 0.5406849108015498, 0.0007862838392611593, 0.00364714744015752]",0.5406849108015498
fear,Walking in the dark by myself. ,sadness,"[0.4509370078643163, 0.45674515267213184, 0.5887815207242966, 0.4922284384568532, 0.11475924992312987, 0.7930015623569489, 0.28736066321531933]",0.7930015623569489
anger,"Getting terrible meals, but paying heaps for them. ",anger,"[0.4790932635466258, 0.4694848954677582, 0.24401120468974113, 0.39744502305984497, 0.0033290934128065905, 0.41228819948931533, 0.3440344035625458]",0.4790932635466258
sadness,When felt lonely about writing my family. ,sadness,"[0.030535765690729022, 0.03901131839180986, 0.0655559441074729, 0.10865071788430214, 0.01768392378774782, 0.518330492079258, 0.0488405196617047]",0.518330492079258
disgust,Person talking about a situation while eating. ,guilt,"[0.16327706538140774, 0.16343224296967188, 0.1569315567612648, 0.25392115612824756, 0.12080198091765244, 0.12118261742095153, 0.1328634520371755]",0.25392115612824756
shame,Felt it after I spoke terribly (got mad at) the person who is the most important in my life. ,guilt,"[0.8274728457132975, 0.7635966837406158, 0.5321683983008066, 0.9246565798918406, 0.02232777983105431, 0.5895641148090363, 0.700621947646141]",0.9246565798918406
guilt,Not giving up something for Lent. ,guilt,"[0.29291461035609245, 0.3050882965326309, 0.2541924590865771, 0.5514092048009237, 0.168699628363053, 0.28374195843935013, 0.27743404110272724]",0.5514092048009237
joy,When I received my TE Score and my acceptance from University - it had been a goal since I left the bank a year earlier. ,joy,"[0.01578261097893119, 0.008502289342383543, 0.03638419285804654, 0.13804068051589033, 0.7561992108821869, 0.005477841031582405, 0.031909735465887934]",0.7561992108821869
fear,Every time I see a spider or a snake. ,fear,"[0.42428607617815334, 0.5962425818045934, 0.6508011420567831, 0.27329519515236217, 0.1284681485655407, 0.21519847338398299, 0.13349960868557295]",0.6508011420567831
anger,My younger brother and I had been fighting over the TV/Video. He kept on turning it on and off every seconds and was not listening to my authority and was being cheeky. We fought and I ended up in tears - he'd won. ,guilt,"[0.62565744916598, 0.7109363377094269, 0.5395532002051672, 0.788024107615153, 0.012470572478681182, 0.7824520170688629, 0.6209530731042227]",0.788024107615153
sadness,The first time I left home. ,guilt,"[0.1266924754406015, 0.14719124510884285, 0.36711196042597294, 0.42394354070226353, 0.3719182461500168, 0.31174352144201595, 0.12576816199968258]",0.42394354070226353
disgust,"On a camp - boys and girls in one cabin. One guy forced himself upon another girl and was having intercourse, while the girl in the bunk beneath was pretending to be asleep and not be ill. ",guilt,"[0.3628867417573929, 0.3672567258278529, 0.4000590493281682, 0.5444595615069071, 0.017961708372846868, 0.21485559968277812, 0.46199942131837207]",0.5444595615069071
shame,When my new jeans split while I was with the youth group. ,sadness,"[0.5492139806350073, 0.5436334510644277, 0.47843076785405475, 0.5037481834491094, 0.01995879706616203, 0.5639942120760679, 0.3935454835494359]",0.5639942120760679
guilt,"When I was , I told Mum I came in at midnight, when really it was . . ",guilt,"[0.30551204333702725, 0.27374647557735443, 0.2219538912177086, 0.6542193119724592, 0.04731069877743721, 0.17734917998313904, 0.26665813972552616]",0.6542193119724592
joy,Can't remember specific event - besides just being moderately happy until a year or so ago. ,joy,"[0.010937966988421977, 0.0025335915949350842, 0.008662694056207934, 0.06791905220597982, 0.503819119806091, 0.011686700473849973, 0.040410289890132844]",0.503819119806091
fear,Left alone in dark when young. ,sadness,"[0.32455802087982494, 0.24115929752588272, 0.46139535307884216, 0.3719052697221438, 0.01280742627568543, 0.6538587709267935, 0.22868399818738303]",0.6538587709267935
anger,Can't remember exact example. ,guilt,"[0.1756750475615263, 0.15293753457566103, 0.11696713045239449, 0.2619212518135707, 0.10636676785846551, 0.14550631493330002, 0.1051584513237079]",0.2619212518135707
sadness,Close relative is dying of cancer - found out last week. ,sadness,"[0.3565815066297849, 0.5225119342406591, 0.6230724851290385, 0.41179540877540904, 0.005807654873933643, 0.7927405536174774, 0.24152418226003647]",0.7927405536174774
disgust,"Doctors ignored relative who complained about pain, and is now dying of cancer. ",sadness,"[0.49657956262429553, 0.4673611770073573, 0.42493198066949844, 0.6045150657494863, 0.004642223337820421, 0.6065729446709156, 0.32981227338314056]",0.6065729446709156
shame,"One of my best friends'fiancT broke off the relationship because his feelings for me were stronger than for her. I felt the same for him, but did not really encourage him to leave her or stay with her - still felt shame. ",shame,"[0.1088853869587183, 0.4796780322988828, 0.29999711861213046, 0.752965455253919, 0.020321513370921213, 0.46874645600716275, 0.7784626583258311]",0.7784626583258311
sadness,After the fact that made me ashamed I felt sadness. ,shame,"[0.05306872279228022, 0.5868798693021139, 0.14844418813784918, 0.9476268887519836, 0.00659890331250305, 0.8908013155062994, 0.9513168235619863]",0.9513168235619863
disgust,A person that eat half of a cockroach in a cake without knowing it. ,guilt,"[0.3451380046705405, 0.42060985912879306, 0.37970461199680966, 0.5994581381479899, 0.08780262514483184, 0.1664946594585975, 0.41189425190289813]",0.5994581381479899
shame,"A situation where we were the center of attention, and things happened without my control on them, that showed our disagreement, and ignorance. ",guilt,"[0.4574040547013283, 0.42816372960805893, 0.2844300717115402, 0.49908601492643356, 0.008929514520180723, 0.29523127479478717, 0.40965509166320163]",0.49908601492643356
guilt,When I let a person assume a fault that I committed. ,guilt,"[0.31352896491686505, 0.2696245921154817, 0.228925754626592, 0.8350532551606497, 0.03496293444186449, 0.23158123468359312, 0.5810109972953796]",0.8350532551606497
joy,"When finally I found a place to live, I felt relieved, predicting changes in my life, and I became happy. ",joy,"[0.02337593783158809, 0.017857145653882373, 0.0999327555570441, 0.31466042118457455, 0.8484458327293396, 0.07915609423071146, 0.20702276673788825]",0.8484458327293396
fear,When I dreamed that I was being attacked by a friend. ,fear,"[0.5587447832028071, 0.43987343708674115, 0.6493289271990458, 0.5240997274716696, 0.00913034526941677, 0.37691386230289936, 0.42572061717510223]",0.6493289271990458
anger,When I was left by the person I loved without any reason. ,sadness,"[0.5845453441143036, 0.5390670051177343, 0.6010212649901708, 0.5216227794686953, 0.002828629920259118, 0.9124077459176382, 0.4518938610951106]",0.9124077459176382
sadness,To fight with a sister and to know that she doesn't care. ,anger,"[0.7553428461154302, 0.5683228075504303, 0.3785458654165268, 0.5689982896049818, 0.020999349808941286, 0.5989575553685427, 0.3874553342660268]",0.7553428461154302
disgust,To be kissed by soembody I didn't expect to. ,joy,"[0.0468232372465233, 0.08941113188241918, 0.19476257264614105, 0.31646541009346646, 0.555719718337059, 0.08994290729363759, 0.19690249363581339]",0.555719718337059
shame,"A day when I was getting out of the shower I covered only the front part of my body with a towel (I was years old), and I didn't see that my cousin was in the room. ",guilt,"[0.3221110974748929, 0.27697062492370605, 0.33742304642995197, 0.6569001525640488, 0.04690192608783642, 0.240702868749698, 0.37102726101875305]",0.6569001525640488
guilt,When I finished a love affair where I was responsible of the sad end. ,guilt,"[0.4406847183903058, 0.6550085991621017, 0.45591749499241513, 0.9441331028938293, 0.055383371839222185, 0.9049096802870432, 0.5759212026993433]",0.9441331028938293
joy,I felt it when I received a letter telling that I had been classified in a national concourse of p. . . I felt happy and vanity about it. ,joy,"[0.01245615150158604, 0.014198508947932472, 0.026595386443659663, 0.19019639631733298, 0.8536228438218435, 0.008182002619529763, 0.03256190859246999]",0.8536228438218435
fear,"I felt fear when once I was asleep and dreamed that I was dying asfixiated by a cardiac attack, I was afraid and woke up desperate. Altough I wasn't afraid of death I was afraid. ",fear,"[0.47380324204762775, 0.6528204381465912, 0.9535865783691406, 0.7355328897635142, 0.11573602383335431, 0.6222869356473287, 0.6416225184996923]",0.9535865783691406
anger,I feel it when I see that somebody is traying to made a stupid of me. ,shame,"[0.7067090968290964, 0.5484666874011358, 0.7324393292268118, 0.7278785606225332, 0.03324593293170134, 0.5086451806128025, 0.8742281595865885]",0.8742281595865885
sadness,I felt it when I was at home and saw a discussion without sense between my parents. ,anger,"[0.7618758579095205, 0.6419876515865326, 0.701123058795929, 0.7254760066668192, 0.03938209948440393, 0.6436745673418045, 0.5436361134052277]",0.7618758579095205
disgust,When I see all the putridness of people. The fact is the catarrh and spits that whash the streets of S. Paulo. ,disgust,"[0.6100789060195287, 0.8719144066174825, 0.5457462171713511, 0.4885183771451314, 0.006471859688948219, 0.5253770211711526, 0.4294460912545522]",0.8719144066174825
shame,I felt it when I felt that I was being observed as an object of pleasure (sexual) when I opened and took off a shirt in a classroom at P. V. C. ,fear,"[0.40811848143736523, 0.21654983113209406, 0.5128071680665016, 0.4080706089735031, 0.18612725442896286, 0.1576008607322971, 0.3781973918279012]",0.5128071680665016
guilt,I felt it when playing I pushed my brother and he fell down cutting himself in pieces of tile. ,guilt,"[0.7346246093511581, 0.5437346796194712, 0.6931901574134827, 0.943838636080424, 0.04871468257624656, 0.6162092760205269, 0.48172391951084137]",0.943838636080424
joy,When I asked my girlfriend to marry me. ,guilt,"[0.08437078958377242, 0.05776459785799185, 0.19271510373800993, 0.3857422073682149, 0.3825823391477267, 0.023825003610303003, 0.09192251569281022]",0.3857422073682149
fear,When I almost drowned myself in the municipal swimming pool that I use to go almost not excaping. ,guilt,"[0.5555466637015343, 0.48817066351572674, 0.6957631607850393, 0.796370675166448, 0.06416653255776812, 0.5655475333333015, 0.5643811871608099]",0.796370675166448
anger,I was with my girlfriend when some guys that I don't like made fuss at my girl. ,anger,"[0.777245283126831, 0.6705133318901062, 0.5816220094760259, 0.7322979271411896, 0.02286697233406206, 0.5708759413100779, 0.6974913527568182]",0.777245283126831
sadness,The death of my grandfather. ,sadness,"[0.2355935052037239, 0.29717114319403964, 0.3000280012687047, 0.38028902870913345, 0.004267442631923283, 0.788139134645462, 0.1029838031778733]",0.788139134645462
disgust,To go through the underground way at suburb station of LAPA. Poor people and the ambulants badly dressed up in a passage badly kept. ,sadness,"[0.5316434303919474, 0.6784379283587137, 0.5064384490251541, 0.6921572685241699, 0.012023848869527379, 0.7834739784399668, 0.6308644066254298]",0.7834739784399668
shame,In a fight with my girlfriend in a luncheonette where everybody stared at me in such a way that I had to leave it. ,anger,"[0.8397140999635061, 0.6367153525352478, 0.5690930634737015, 0.6760348975658417, 0.003166992154244023, 0.33445843278119963, 0.6969595750172933]",0.8397140999635061
guilt,I pointed a failure of a friend of mine. ,guilt,"[0.37090432954331237, 0.31771940489610034, 0.15205053550501665, 0.6774558325608572, 0.0034817352813358107, 0.3091825662801663, 0.57788947224617]",0.6774558325608572
joy,When I met a friend that I hadn't seen for some time. ,joy,"[0.1217882763594389, 0.12487614775697391, 0.11661692475900054, 0.48892995218435925, 0.6571091065804163, 0.0743729950239261, 0.3988218531012535]",0.6571091065804163
fear,When I got in jungle where there was a great number of snakes. ,fear,"[0.48827850818634033, 0.5311456918716431, 0.6556150019168854, 0.4903224955002467, 0.03422494407277554, 0.3015690433482329, 0.32047031571467716]",0.6556150019168854
anger,When an unknown person provoked me verbaly and physically. ,anger,"[0.8918972810109457, 0.44718794027964276, 0.6818856646617254, 0.589960856984059, 0.02748386903355519, 0.21411136848231158, 0.3891497477889061]",0.8918972810109457
sadness,When my team lost a championship. ,sadness,"[0.6114725023508072, 0.6066036274035772, 0.4454592516024907, 0.6209496346612772, 0.004500203067436814, 0.7880727152029673, 0.6197429398695627]",0.7880727152029673
disgust,"A dirty person, smelling bad and unknown laying on me. ",disgust,"[0.5834162433942159, 0.7720485627651215, 0.7231355607509613, 0.40463705485065776, 0.0011244872415166658, 0.3399771746189799, 0.7212706605593363]",0.7720485627651215
shame,I confused a girl with another. ,guilt,"[0.385028592000405, 0.20464170289536318, 0.3007170632481575, 0.6939001778761545, 0.04814095345015327, 0.3273701084156831, 0.3768206983804703]",0.6939001778761545
guilt,Once when I complained I caused a great discussion between my parents. ,guilt,"[0.5523379171888033, 0.3392801408966382, 0.27702028428514797, 0.6704287777344385, 0.16479455617566904, 0.4658261587222417, 0.23873146747549376]",0.6704287777344385
joy,When I began to date a boy with whom I am till now. This was months ago. ,joy,"[0.11494046698013942, 0.05685307768483957, 0.09540954728921254, 0.2120293074597915, 0.40258097648620605, 0.0488261035643518, 0.09574267702798049]",0.40258097648620605
anger,I learned that my girlfriend had been unjustly missed from work. ,anger,"[0.6805584530035654, 0.5062400350968043, 0.4976872007052104, 0.6789022361238798, 0.007021852497321864, 0.669612521926562, 0.5916778395573298]",0.6805584530035654
sadness,I got separated from the man I loved. ,sadness,"[0.5667408655087153, 0.4427987535794576, 0.569585050145785, 0.693737397591273, 0.007804751823035379, 0.8706949253877004, 0.36064885556697845]",0.8706949253877004
disgust,An acquaintance of mine revealed himself in a light unexpected to me. ,guilt,"[0.2808818618456523, 0.22165421272317568, 0.3272355372707049, 0.5264424731334051, 0.22700158630808195, 0.23242627394696078, 0.22350160032510757]",0.5264424731334051
shame,Once as a school girl I was copying at a class work and my teacher spotted me. ,guilt,"[0.5140548994143804, 0.43952800581852597, 0.5574412643909454, 0.7271494666735331, 0.040100394592930876, 0.4064815044403076, 0.49636811514695484]",0.7271494666735331
guilt,I was in a sanatorium. In front of me a boy fell down from his invalid's chair. I could help him but I didn't. I felt like being paralysed. ,fear,"[0.28267193771898746, 0.5734452158212662, 0.825758288304011, 0.7662735283374786, 0.032092169392853975, 0.7932100196679434, 0.49493112166722614]",0.825758288304011
joy,When I took my entrance exams successfully and also when I got my school leaving certificate because the delivering ceremony was extremely official. ,joy,"[0.049180686473846436, 0.03003532315293948, 0.07067141185204188, 0.2645941331672172, 0.7214043587446213, 0.022464825441905607, 0.04268011939711869]",0.7214043587446213
fear,When I was to sit for my first entrance exam. I had fear of a possible failure. ,fear,"[0.14064806420356035, 0.4131370422740777, 0.8957072893778483, 0.5992696732282639, 0.019541059581873316, 0.49328427265087765, 0.7560835083325704]",0.8957072893778483
anger,I was indignant at the unimpartiality shown by the referees at the football match between Bulgaria and France. ,anger,"[0.9798273742198944, 0.7842458089192709, 0.344171866774559, 0.6269369386136532, 0.03680164090474136, 0.31786561633149785, 0.6891035934289297]",0.9798273742198944
sadness,When I got separated from the man I loved so much. ,sadness,"[0.4287620981534322, 0.2950758710503578, 0.5262980461120605, 0.6444005221128464, 0.036408323872213565, 0.8439958790938059, 0.27496295670668286]",0.8439958790938059
disgust,"When I was watching some scenes from the Bertoluchi's film ""Twentieth Century"". ",guilt,"[0.3376295367876689, 0.21463067953785261, 0.3562898611028989, 0.4396683449546496, 0.39402607331673306, 0.3083093563715617, 0.2084718644618988]",0.4396683449546496
shame,When I was a school girl and I copied at a class work. ,guilt,"[0.2292060349136591, 0.144408676152428, 0.21849050745368004, 0.6678983171780905, 0.13608084246516228, 0.19042443484067917, 0.32263656953970593]",0.6678983171780905
guilt,"When I have sometimes been unfair to my parents, when I have happened to deceive them over some trifling things. ",guilt,"[0.6178279568751653, 0.629950096209844, 0.49026905993620556, 0.886462519566218, 0.043045835491890706, 0.7500501076380411, 0.7050414731105169]",0.886462519566218
joy,When I was admitted to the Sofia University. ,joy,"[0.06230453960597515, 0.052080414878825344, 0.1089865139996012, 0.2481997311115265, 0.7083469182252884, 0.03010440447057287, 0.03243576999132832]",0.7083469182252884
fear,When I come home late at night. ,guilt,"[0.3375297176341216, 0.2157968431711197, 0.31702719752987224, 0.47834108273188275, 0.4356336196263631, 0.349711353580157, 0.22212810069322586]",0.47834108273188275
anger,"When I talk to silly, petty-minded and unmanageable people. ",anger,"[0.730578159292539, 0.6562354266643524, 0.42065023134152096, 0.6350117772817612, 0.02564828156027943, 0.4704666511776547, 0.32007985562086105]",0.730578159292539
sadness,When my friend (girl) went abroad for two years. ,sadness,"[0.2205580174922943, 0.18434938912590346, 0.24033402589460215, 0.38133765757083893, 0.17835851199924946, 0.49472575386365253, 0.11687793768942356]",0.49472575386365253
disgust,When I happen to witness some sadistic acts. ,disgust,"[0.6744537254174551, 0.8258882562319437, 0.7258877158164978, 0.6577474077542623, 0.04154315579216927, 0.4257074606915315, 0.45252583424250287]",0.8258882562319437
shame,When I have a plain appearance. ,sadness,"[0.06702202946568529, 0.11725649610161781, 0.05545073002576828, 0.16506335760156313, 0.06949891584614913, 0.20261623710393906, 0.13784716775019965]",0.20261623710393906
guilt,When someone is accused or punished instead of me. ,anger,"[0.8085756301879883, 0.5397210593024889, 0.5314513593912125, 0.7719608743985494, 0.23327821431060633, 0.6418628146251043, 0.6818841099739075]",0.8085756301879883
joy,I was admitted to the University and a niece was born to me. ,joy,"[0.04605094506405294, 0.01700964632133643, 0.022100521872440975, 0.12965803391610584, 0.5647339050968488, 0.011441538595439246, 0.013668464302706221]",0.5647339050968488
fear,I was bitten by a dog. ,anger,"[0.3779626525938511, 0.3331149195631345, 0.3073122799396515, 0.2736093228061994, 0.006430984668744107, 0.30144770505527657, 0.21299481391906738]",0.3779626525938511
anger,My grandfather's funeral. ,sadness,"[0.0849427937840422, 0.15310085068146387, 0.13288702784727016, 0.2847736266752084, 0.012761011360756433, 0.6725770806272825, 0.09644833393394947]",0.6725770806272825
sadness,I was alone at home on New Year's Eve. ,sadness,"[0.4661734427014987, 0.4188375324010849, 0.5071409891049067, 0.6031595716873804, 0.13177536614239216, 0.7346897522608439, 0.4820017106831074]",0.7346897522608439
disgust,I was on a walk with my child when I met a drunk woman. ,guilt,"[0.40586864948272705, 0.34259655823310214, 0.40074992179870605, 0.4473179628451665, 0.019258477298232417, 0.18111524606744447, 0.22584246223171553]",0.4473179628451665
shame,I was unaware that I had walked the streets in torn trousers. ,guilt,"[0.38756583134333294, 0.35873041798671085, 0.3206482951839765, 0.6634426414966583, 0.02091093050936858, 0.39256944010655087, 0.4446351130803426]",0.6634426414966583
guilt,Once I worked as a designer. A fitter was hard hit in a damage that occurred at the building site I had designed. ,guilt,"[0.47415784001350403, 0.5292669286330541, 0.5598539362351099, 0.726002166668574, 0.04520671938856443, 0.6216937949260076, 0.41493286937475204]",0.726002166668574
joy,My admittance to the University. ,joy,"[0.02625373611226678, 0.016059279752274353, 0.032258641362811126, 0.06657187671711047, 0.6123937219381332, 0.011441805632784963, 0.00794850856376191]",0.6123937219381332
fear,A grenade blew out next to me. ,fear,"[0.2361882875363032, 0.2899630268414815, 0.4148434226711591, 0.17485223338007927, 0.009001877120075127, 0.191116689859579, 0.12470603237549464]",0.4148434226711591
anger,An unjust calumny concerning me. ,shame,"[0.810456911722819, 0.786471222837766, 0.6458882143100103, 0.7772303422292074, 0.010113316588103771, 0.6491514518857002, 0.8929254909356436]",0.8929254909356436
sadness,Unrealisation of the desired profession (aviator). ,sadness,"[0.29607227196296054, 0.12698902267341813, 0.17667702042187253, 0.3190658614039421, 0.0233827664439256, 0.5984352876742681, 0.14424821361899376]",0.5984352876742681
disgust,Disgust with a subordinate. ,anger,"[0.9721209406852722, 0.9127916594346365, 0.3670020177960396, 0.46956850743542117, 0.0016530764454122011, 0.2141384434265395, 0.951971302429835]",0.9721209406852722
shame,I lied to a friend. ,guilt,"[0.3589428390065829, 0.3328566427032153, 0.2753913700580597, 0.7330534209807714, 0.04313759497987727, 0.2532064113765955, 0.5188571512699127]",0.7330534209807714
guilt,Betraying someone's trust. ,shame,"[0.8893374105294546, 0.8877363999684652, 0.8036570250988007, 0.9264958302179972, 0.04976225310626129, 0.6779314217468103, 0.9521080255508423]",0.9521080255508423
guilt,Friend's fiancT left her for me. ,guilt,"[0.2814824655652046, 0.14017600131531557, 0.1518851158519586, 0.39137277007102966, 0.25552349785963696, 0.3481341289977233, 0.12027385458350182]",0.39137277007102966
joy,Winning Queensland Chess Championship. ,joy,"[0.0891329317043225, 0.0424103115995725, 0.055504344403743744, 0.12947955137739578, 0.8376395503679911, 0.006642433620678882, 0.012531898760547241]",0.8376395503679911
fear,"When in a car accident where car was total wipe off (wipe out, or write off). ",sadness,"[0.5957509155074755, 0.6756301720937093, 0.7120308429002762, 0.5421439831455549, 0.015508944168686867, 0.7426866193612417, 0.6377585083246231]",0.7426866193612417
anger,With self at losing an important game that I should have won. ,anger,"[0.8560888568560282, 0.8191823810338974, 0.4352280783156554, 0.8217643350362778, 0.002348459034692496, 0.7350379725297292, 0.835399329662323]",0.8560888568560282
sadness,Death of grandfather (unexpected). ,sadness,"[0.2798497124264638, 0.25962908814350766, 0.5275707244873047, 0.22671873673486212, 0.001495307617005892, 0.7072525918483734, 0.16371106977264085]",0.7072525918483734
disgust,Someone smoking on Electric train (Electric trains are non-smoking) with alcohol smell coming from person. ,guilt,"[0.40481368203957874, 0.4595218648513158, 0.3451797217130661, 0.49647726615269977, 0.012641551671549678, 0.1626226791801552, 0.4018861800432205]",0.49647726615269977
shame,When bathing at surf beach lost togs. ,guilt,"[0.38903549686074257, 0.16893923903505007, 0.37964874630173046, 0.5613748878240585, 0.06400974684705336, 0.533413540571928, 0.4283023675282796]",0.5613748878240585
guilt,Promising someone to do their job and then not being able to do it due to transport troubles. ,guilt,"[0.661711797118187, 0.5609517892201742, 0.42792889724175137, 0.8779906729857127, 0.0039639876534541445, 0.5258535792430242, 0.7966138025124868]",0.8779906729857127
joy,"Receiving a very personal letter from a lady that I like, which revealed that she was more enthusiastic about me than I had thought possible. ",joy,"[0.019195503400017817, 0.009615736276221773, 0.05324224211896459, 0.1846413059780995, 0.7878307104110718, 0.011349245828265945, 0.13568790687713772]",0.7878307104110718
fear,Introducing myself at a first tutorial this year at University. ,joy,"[0.10799886099994183, 0.09674914553761482, 0.16597098795076212, 0.2933269614974658, 0.37189967930316925, 0.09078271128237247, 0.1889143120497465]",0.37189967930316925
anger,I was angry at a University tutorial when an ignorant loudmouth persisted in trying to dominate the conversation. ,anger,"[0.9596162140369415, 0.6325779656569163, 0.14243503318478665, 0.5268757579227289, 0.0138793763811312, 0.29592980498758453, 0.4916733472297589]",0.9596162140369415
sadness,"I left my home in Melbourne to come to Q'land to study and before I hopped in the car I hugged my mother and shook hands with my father. Sensing immediately my father's sadness, I also had a flood of the same emotion. ",sadness,"[0.009626199724152684, 0.15166468895040452, 0.17354154773056507, 0.6043531348307928, 0.013567592017352581, 0.9226964215437571, 0.29614240551988286]",0.9226964215437571
disgust,"When one of my parents verbally, personally abused the other. ",disgust,"[0.518090213338534, 0.6218989988168081, 0.35919684171676636, 0.6074193169673284, 0.013656302132100487, 0.4377411926786105, 0.5980251431465149]",0.6218989988168081
shame,"I felt something akin to shame after a heavy night of drinking, along with waking up with a woman I had just met whose husband was an epileptic. I was later to know that she knew my mother. ",guilt,"[0.0850890688598156, 0.6709830065568289, 0.3655807251731555, 0.894701341787974, 0.003044769434685198, 0.356620109329621, 0.8893818656603495]",0.894701341787974
guilt,"I felt guilty about talking negatively, and agreeing with a person who was doing likewise, about a non-present third person. ",guilt,"[0.22997364898522696, 0.5637588798999786, 0.4735814134279887, 0.9662981033325195, 0.030237431463319808, 0.7303007990121841, 0.7663248231013616]",0.9662981033325195
joy,Being in love for the first time. ,joy,"[0.009683693603922924, 0.007866435761873921, 0.05910466619146367, 0.06480271648615599, 0.6160456836223602, 0.003570813530435165, 0.10187107619519035]",0.6160456836223602
fear,As a child - stepping on a rusty nail - being told that I might get tetanus. ,fear,"[0.3485151653488477, 0.34987081587314606, 0.6378175367911657, 0.4661296506722768, 0.008690205926541239, 0.33680207282304764, 0.25358012815316516]",0.6378175367911657
anger,"As a child - about years old - walking across a paddock - being set upon by another boy who claimed it was ""his land"" - being intimidated by the boy - crying, being punched, etc. ",fear,"[0.753560890754064, 0.6594290733337402, 0.9382834434509277, 0.7718354960282644, 0.00539052680930278, 0.7120748224357764, 0.7237253586451212]",0.9382834434509277
sadness,As a child - having a dog - it getting a disease and dying. ,fear,"[0.38235492010911304, 0.4929416924715042, 0.7242410083611807, 0.5800186097621918, 0.007263546867761761, 0.6958364844322205, 0.38584507008393604]",0.7242410083611807
disgust,Being in a Malaysian city with my girlfriend coming out of a picture theatre - seeing her rush up to a taxi that a very old sick man was trying to get to. Seeing her take over the taxi. ,guilt,"[0.5547611862421036, 0.2668982908750574, 0.48212677985429764, 0.7638340493043264, 0.5084210832913717, 0.23018347842541212, 0.4625276029109955]",0.7638340493043264
shame,As a child - being sent to the shop by mother - buying some chocolate - getting caught by mother. ,guilt,"[0.5038935268918673, 0.2524465589473645, 0.5551008780797323, 0.8341681261857351, 0.02765467157587409, 0.3667318574928989, 0.6105706244707108]",0.8341681261857351
guilt,As a child - accidentally stepping on a pet guinea-pig - it dying. ,guilt,"[0.48666171977917355, 0.575178881486257, 0.5537933458884557, 0.7932950357596079, 0.003600055545878907, 0.6611952669918537, 0.42355827738841373]",0.7932950357596079
joy,"When I achieved my first at University after a long string of 's, 's and 's ( is the highest mark awarded, is a conceded pass). ",joy,"[0.06031775505592426, 0.03411628437849382, 0.03696575489205619, 0.1590722962282598, 0.7337483863035837, 0.012955145774564395, 0.03803706091518203]",0.7337483863035837
fear,"One night going downstairs, and hearing a strong stirring of brances, which was not the wind. ",fear,"[0.3483239623407523, 0.28420060127973557, 0.5285012125968933, 0.3831767663359642, 0.18537575068573156, 0.14826588053256273, 0.22718700021505356]",0.5285012125968933
anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some months after our sharing began. Prior to this, she had said nothing. ",guilt,"[0.4086608837048213, 0.4198715090751648, 0.4222989579041799, 0.6375133146842321, 0.1137552495735387, 0.42786453167597455, 0.4611789758006732]",0.6375133146842321
sadness,"Having to decide on a termination of a pregnancy, after discussing it with friends, family and the man involved. ",fear,"[0.26706598202387494, 0.30757955585916835, 0.5004042411843935, 0.41115228335062665, 0.021446899239284296, 0.42078580195084214, 0.13857127663989863]",0.5004042411843935
disgust,When a friend didn't invite her own parents to her Graduation ceremony. ,guilt,"[0.43998437374830246, 0.2794401136537393, 0.28022483363747597, 0.6303513447443644, 0.10042331228032708, 0.4485916371146838, 0.36323336015144986]",0.6303513447443644
shame,"Saying something quite rude, but in jest, about a photograph of someone, but it didn't quite turn out that way. ",guilt,"[0.41425734137495357, 0.5039856359362602, 0.29772059122721356, 0.6673846145470937, 0.08001841433967154, 0.43471430738766986, 0.4785859112938245]",0.6673846145470937
