labels,text,emotion,prob_emotion
guilt,"I am the secretary of an association, and during the last meeting I forgot to take the minutes. ",guilt,"[0.7344341993331909, 0.5511096358299256, 0.6087543368339539, 0.9187313556671143, 0.060672054253518584, 0.6346793547272682, 0.8854118108749389]"
joy,"I had been away from home for a long time and when I came home I was delighted. It was wonderful to see familiar, dear people and I was rejoycing in advance. I had been feeling very lonely. ",joy,"[0.0013531529577448965, 0.0006981184182222932, 0.013273202499840408, 0.25786671743262557, 0.8902516007423401, 0.0013264217996038496, 0.11941432615276426]"
fear,"I awoke at night and did not remember dreaming about antthing in particular. I just felt oppressing fear, it was dark and all the others were sleeping. ",fear,"[0.0068940771743655205, 0.43674267269670963, 0.9860392212867737, 0.37238099351525306, 0.011896316625643522, 0.06081244151573628, 0.15310891796834766]"
anger,"One winter day I, unwillingly, was outdoors with my younger brother ( years younger than me). I lost my temper on him and wanted to throw my brother down the snow bank we were on. I pushed him but not as hard as I had wanted to. We were alone the two of us. ",anger,"[0.7755535840988159, 0.42570744156837464, 0.09130400530993939, 0.3957939386367798, 0.026308098540175705, 0.2133912195567973, 0.1591413974761963]"
sadness,"I was on a class excursion, by boat to Stockholm. At night my class mates prepared to clebrate their motive in life which was ""life is merriment"". I felt depressed about the way they sought happiness. ",sadness,"[0.12329798610880971, 0.572539222240448, 0.0738030151464045, 0.467902284860611, 0.5430750243365765, 0.6264257654547691, 0.4245855361223221]"
disgust,"I was on my way home by bus. A man who had drunk a fair amount of alcohol started talking, trying to hug and pat a woman sitting next to him. Fortunately it was not me. ",guilt,"[0.5316583901643753, 0.41795883905142545, 0.5725887238979339, 0.624184763431549, 0.26097332239151, 0.1365856220945716, 0.5351727843284607]"
shame,I gave a wrong answer at school. ,shame,"[0.7767287611961364, 0.7603232860565186, 0.7261673450469971, 0.7540658190846443, 0.013971070758998394, 0.8152468800544739, 0.899105179309845]"
guilt,"When my little brother asked me to play with him, I told him that I had no time and that I would play with him the next day. However, the next day I said the same thing. ",guilt,"[0.5661939084529877, 0.4282790035009384, 0.5824892729520798, 0.827635896205902, 0.15785458758473397, 0.7330626994371414, 0.7368274807929993]"
joy,"When, after a long time, I saw a girl with whom I was in love. ",joy,"[0.0008665732864756137, 0.00030498226697091014, 0.04834196527954191, 0.32669622749090194, 0.7954569101333618, 0.03485529222234618, 0.10264632813632488]"
fear,When I was walking on a fairly out-of-the-way street. ,guilt,"[0.5209146857261657, 0.3407413482666016, 0.4996999502182007, 0.6592053294181823, 0.47467936873435973, 0.4507712498307228, 0.4292617678642273]"
anger,"A friend of mine had promised to arrange me some tickets for a concert which I considered important. He could not get them the way he thought he would, so he gave up the whole thing. ",sadness,"[0.7338653564453125, 0.4745654582977295, 0.6611512124538421, 0.83873131275177, 0.16889043617993593, 0.8860075175762177, 0.7703500986099243]"
sadness,I was sad when I saw that a beautiful girl was not attainable. ,sadness,"[0.001233172998763621, 0.003086908266413957, 0.0046735219773836436, 0.4238650754094124, 0.2398028773430269, 0.996515229344368, 0.09947901535779238]"
disgust,"I heard somebody talk about studies in a highly enthusiastic ""student-like"" way. ",joy,"[0.001405936828814447, 0.000537942536175251, 0.0015974905574694276, 0.15327139345463364, 0.8076270401477814, 0.0012898798449896276, 0.05206444901414216]"
shame,"While attending some affairs, which were taking some time, with a bank officer, I felt that my clothes and appearance were out of place, too raggy. ",shame,"[0.3574661407619715, 0.36583465039730073, 0.2485520489513874, 0.600181245803833, 0.04066681412514299, 0.22677678894251585, 0.6891940712928772]"
guilt,"One evening I went out with some friends of mine, although I was supposed to stay at home with my little sister who is . ",guilt,"[0.5439257681369781, 0.3316778436303139, 0.476770481467247, 0.8364701747894288, 0.4064371377229691, 0.5024307519197464, 0.6380817532539368]"
joy,While watching an entertainment program in which there was a clever and amusing sketch. ,joy,"[0.0015381769975647331, 0.0011140550370328129, 0.0028393026557751, 0.1496268085204065, 0.8263673186302185, 0.0010438866156619042, 0.05800733692012727]"
fear,"When I was in the army, a room mate of mine came back from furlough and threatened another fellow with a knife. ",fear,"[0.8698657274246215, 0.8088586568832398, 0.9063885688781739, 0.8331851243972779, 0.1321791891939938, 0.5384455993771553, 0.7086910128593444]"
anger,"The last day of school is traditionally celebrated by singing a song about all the students who are leaving. In the song about me, there were things which irritated me a lot. ",anger,"[0.8331957221031189, 0.6815561771392822, 0.14906794503331183, 0.5796053677797317, 0.10634812731295824, 0.402059830725193, 0.4375285655260086]"
sadness,"I worked for seven months in a factory, and made friends with a fellow worker. Later, I visited my former fellow workers and was told that, while in the army, my friend had shot himself. ",sadness,"[0.7379076600074768, 0.6800127446651458, 0.8655629277229309, 0.8102292537689209, 0.11686323427129537, 0.9637324810028076, 0.7496272921562195]"
disgust,The behaviour of a fellow towards me and some others in the army was really mean. I detested this. ,disgust,"[0.9514911413192749, 0.989776337146759, 0.6960649132728577, 0.8225408673286438, 0.053223343077115716, 0.7247523218393326, 0.8571084141731262]"
shame,"I tried to date a girl, but she refused. ",sadness,"[0.7532857418060303, 0.49843485951423644, 0.4499447852373123, 0.7523303508758545, 0.10742353834211826, 0.8500290662050247, 0.7522834300994873]"
guilt,"While doing some calculation exercises, I neglected a part of it, though I had marked it as done. By chance, I was asked to demonstrate this very part on the blackboard. ",guilt,"[0.5310529172420502, 0.37852782011032104, 0.46047036051750184, 0.7993306875228882, 0.11901197955012321, 0.40731974318623543, 0.764752995967865]"
joy,"In the army, my result at the shooting exercises got me a three day furlough. ",joy,"[0.5032618045806885, 0.18505674004554748, 0.37046014368534086, 0.570649254322052, 0.8198195934295655, 0.1565808691084385, 0.6515777885913849]"
fear,"When I was years old, I would usually come home from school with my mother in a car. For the first time I had to take the school bus, and I mistook the bus stop and found myself two kilometres away from where I lived. I was very scared, wondering how I would get back home. ",fear,"[0.009100685035809875, 0.15362917659804226, 0.9917995929718018, 0.7340011656284332, 0.20021144667407498, 0.35715873166918755, 0.3523954746313393]"
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair). This is when only a fractoin of the students can find an appartment. ,guilt,"[0.4834418177604675, 0.30530125796794894, 0.3417513966560364, 0.495853066444397, 0.14026363343000411, 0.31837397441267967, 0.3256025552749634]"
sadness,I lead a rather secure life. The only thing I can remember is a song from the nineteenth century which is against alcohol. Both the melody and the word (although naive) effected my emotions. ,disgust,"[0.1776690810918808, 0.3374836266040802, 0.10875269919633865, 0.15676061511039735, 0.1540498986840248, 0.18280133418738842, 0.13510871678590775]"
disgust,"Yesterday in the elevator a man started smoking, this is something I just can not tolerate. ",anger,"[0.960224199295044, 0.9499918580055237, 0.8911861658096314, 0.6549738764762878, 0.05857010190375149, 0.4029650129377842, 0.6540746331214905]"
shame,In primary school I once faltered while answering a question and the others started laughing. ,shame,"[0.1454528566915542, 0.14044653698801995, 0.5396713703870774, 0.5821379631757736, 0.3097220465540886, 0.015160557348281145, 0.8521573185920716]"
guilt,[ Generally when I am shopping I feel like I were guilty of all the thefts through the year (I have never stolen). ] ,shame,"[0.6081636607646942, 0.8287312030792237, 0.9288255572319031, 0.924330186843872, 0.01176871091593057, 0.25818811543285847, 0.9622992873191833]"
joy,When my favourite football team made a goal and was about to win the Cup of England. ,joy,"[0.050666798185557124, 0.002418445982038975, 0.3107886970043182, 0.4588596017099917, 0.9468913197517395, 0.034005009569227695, 0.34076016712933777]"
fear,I was less than years old when our neighbour's dog chased me to the roof of a small shed and there seemed to be no hope of getting away from there. ,fear,"[0.8644107937812805, 0.8278427839279174, 0.9762648224830628, 0.8851576209068298, 0.12152050528675318, 0.9293889403343201, 0.8334291219711304]"
anger,"While playing a ball game, I was just about to make a goal when I was thrown off my feet, and I failed to score the goal. ",sadness,"[0.8792105197906495, 0.7745116233825684, 0.9118431448936463, 0.8949644327163696, 0.057928698137402534, 0.9311370849609375, 0.8812479257583619]"
sadness,"When I heard about the death of Frantois Truffaut, the French motion picture director, on the radio. I had planned to go and see his last film. ",sadness,"[0.23352737948298455, 0.14711801297962665, 0.5574843347072601, 0.7664921462535859, 0.274105200660415, 0.9641269743442535, 0.449393293261528]"
disgust,"I saw a movie called ""The Thing"", the film directed by John Carpenter. The monster in the film made me feel disgusted. ",disgust,"[0.7332286447286606, 0.9092366933822632, 0.20827172435820102, 0.5067311003804207, 0.1483658067882061, 0.25280035694595426, 0.76449756026268]"
shame,I had misbehaved at a party and did not wish to meet the person in question later. ,shame,"[0.8127305269241333, 0.8521093487739563, 0.8370302319526672, 0.9172742128372192, 0.12961041331291198, 0.4597001075744629, 0.9498559594154358]"
guilt,"While playing a ball game, I made a mistake and we lost the game. ",guilt,"[0.859148383140564, 0.8074076890945434, 0.7187035322189331, 0.9414389133453369, 0.02609312804415822, 0.9409184008836746, 0.9240640521049499]"
joy,When I was in the sauna bath. ,joy,"[0.3223986327648163, 0.2411093957722187, 0.296850323677063, 0.43223912715911866, 0.7011772632598877, 0.16404614597558975, 0.2959651589393616]"
fear,I had a dream in which I was an African elephant. ,fear,"[0.6087967813014984, 0.5829315066337586, 0.6692732453346253, 0.39077654480934143, 0.43398952186107637, 0.44849566370248795, 0.6072841167449952]"
anger,"When I came for the lesson, it was cancelled and I had to fill in a questionnaire instead. ",shame,"[0.7252460181713104, 0.5080406785011291, 0.6054839134216309, 0.6681029677391053, 0.056137196719646454, 0.5441954061388969, 0.8285813093185425]"
sadness,"When my car froze, and I could not start it. ",fear,"[0.8882642984390259, 0.6750915884971619, 0.9154230356216431, 0.7954717755317688, 0.05606003450229764, 0.8995204418897629, 0.7136236429214478]"
disgust,When I saw our computer teacher. ,joy,"[0.4461598634719849, 0.306016543507576, 0.4152698516845703, 0.3938774526119232, 0.644424420595169, 0.24013148993253708, 0.33185062408447263]"
shame,"When I was going downhill on skis, and fell down twice the first time. ",fear,"[0.7362499594688415, 0.739937174320221, 0.8558393597602845, 0.8069312334060669, 0.0621805083937943, 0.8423806726932526, 0.7860377669334412]"
guilt,When I was involved in a car crash. ,sadness,"[0.6221100091934204, 0.5810485124588013, 0.8155622482299805, 0.8148504376411438, 0.02319930992089212, 0.854355052113533, 0.6376501083374023]"
joy,I passed an exam which I thought I had failed. ,joy,"[0.4928258389234543, 0.18428306356072427, 0.6864387333393097, 0.6371640086174011, 0.930974006652832, 0.25993479043245316, 0.30395668745040894]"
fear,My mother had not come home at midnight. She had forgotten to tell me about it. I was very young and all alone at home. ,sadness,"[0.8606451153755188, 0.7258630514144897, 0.9105210900306702, 0.9015995502471924, 0.308518660068512, 0.9370858371257782, 0.8571940898895264]"
anger,My girlfriend started singing (she cannot sing) and did not stop despite my asking her to do so. ,joy,"[0.6450835704803467, 0.33176201209425926, 0.13685325980186464, 0.6770947873592377, 0.7031789779663086, 0.10062730312347412, 0.5500889718532562]"
sadness,When my grandmother died of cancer. ,sadness,"[0.5770593583583832, 0.6595154404640198, 0.8021731019020081, 0.7034988701343536, 0.20153176169842482, 0.9669392108917236, 0.5487626433372498]"
disgust,"When I was still a child, I saw a horror film on TV in which there was a rotten human skull. ",fear,"[0.7735502123832703, 0.9109353423118591, 0.9719958901405334, 0.7287110567092896, 0.13519694306887686, 0.718631848692894, 0.6608033776283264]"
shame,"As a small boy, I took a coin from an empty taxi cab. My mother saw it and told the driver about it. I even knew the driver. ",guilt,"[0.8531603574752807, 0.7311620950698853, 0.6134118437767029, 0.9061205625534058, 0.19242794513702394, 0.5663956329226494, 0.9031490802764892]"
guilt,When I betrayed my former girlfriend. ,guilt,"[0.8055145144462585, 0.9042726397514343, 0.6149790704250335, 0.9103360056877137, 0.042122681811451915, 0.563122496008873, 0.8889752507209778]"
anger,"New Year's Eve party in the country, I hardly knew a person my partner spent most of the time at the bar. I had little opportunity to get to know people because our table was separated and my boyfriend's parents were present. ",guilt,"[0.5324363529682159, 0.35151398479938506, 0.5069891333580017, 0.6424864292144775, 0.13463636636734008, 0.6165271773934364, 0.6183106780052186]"
sadness,"Christmas Eve there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad. ",sadness,"[0.09816995486617089, 0.21039187908172607, 0.2843661656603217, 0.6777357041835785, 0.04552573093678802, 0.9955605119466782, 0.35282810479402543]"
disgust,"Father said If you are pregnant, you will have to procure abortion. I was filled with disgust against my father. ",disgust,"[0.9197694897651673, 0.9895906686782837, 0.1087108832783997, 0.48089275788515806, 0.15638669898035004, 0.24326198364724405, 0.7364664003252983]"
shame,"I had an intimate relation with my boyfriend, but unfortunately we had sexual problems therefore I deceived him, but I was ashamed when I told my friend about it. ",shame,"[0.13250189758837222, 0.7786295175552368, 0.25041099935770034, 0.879339051246643, 0.03001989214681089, 0.6684525460004807, 0.9786044955253601]"
guilt,I work at a commercial house from to a. m. On a very cold day in winter I was late - and let a fellow worker stand in the cold for half an hour. ,guilt,"[0.7960785627365112, 0.6692292213439941, 0.5377589881420135, 0.9216931939125061, 0.0765557635575533, 0.6857205182313919, 0.8297181963920593]"
joy,"After one year of searching, my friend and I have found a flat we are able to pay for. ",joy,"[0.11758781671524048, 0.016844582743942738, 0.07133042458444834, 0.38518901020288465, 0.8928697109222412, 0.024140578461810946, 0.07143300287425518]"
fear,Car accident in the middle of the night. ,sadness,"[0.8252176165580749, 0.6693304121494293, 0.9210661053657532, 0.6792282223701477, 0.05397966839373112, 0.9378099143505096, 0.6913577795028687]"
anger,"At the weekend I wanted to be absent from school because of a sports event, but my teacher refused to give me the day off because he didn't like me. ",anger,"[0.9246346712112427, 0.8149348616600036, 0.7033386349678039, 0.8998900294303894, 0.1003414610400796, 0.861141562461853, 0.89976007938385]"
sadness,"When I was six years old, my favourite cat died. ",sadness,"[0.7264352083206177, 0.696990430355072, 0.7435160040855407, 0.7596336722373962, 0.17685727921780198, 0.9695404171943665, 0.6378925859928131]"
disgust,A gigantic spider climbed over my face and what is more - in my own flat. ,fear,"[0.9309593915939331, 0.9072808742523193, 0.9691217422485352, 0.7945613265037537, 0.0821037583053112, 0.8671310693025589, 0.9029022455215454]"
shame,I was very fat and felt absolutely unwell. I was afraid of leaving the house and getting to know new people. ,fear,"[0.24700358249247073, 0.7895424604415894, 0.9846123695373535, 0.6614393353462219, 0.028154551214538515, 0.6957371011376381, 0.7653345346450806]"
guilt,I was said to be responsible for my mother getting ill and growing thin. I did not realize that it really was my fault until several weeks later. ,guilt,"[0.6722348153591156, 0.6276452660560607, 0.688076627254486, 0.8744302868843079, 0.114197519980371, 0.8478495925664902, 0.7915566802024842]"
joy,"I won a car in a prize-competition. The moment I was informed about it, I felt joy. ",joy,"[0.0007728515658527613, 0.0005632808257360012, 0.003987481724470854, 0.19448180336039514, 0.9613402724266052, 0.000672886599204503, 0.07601765891886317]"
fear,"My sister had to undergo a very complicated operation, her eyesight was at stake. ",sadness,"[0.6496687650680542, 0.4574592411518097, 0.9149085640907287, 0.6853468090295791, 0.07812109491787851, 0.9406707286834717, 0.5550770819187164]"
anger,I had a quarrel with my parents ,anger,"[0.9368308305740356, 0.7349065899848938, 0.49723670780658724, 0.8306391716003418, 0.057576637645252046, 0.6061250194907188, 0.7136143207550049]"
sadness,"I heard that a friend had died in an accident group situation suddenly a friend came in and said ""Have you already heard that. . . "" there was a terrible consternation, silence, then everybody shouted excitedly ""How could that happen. . . "". ",fear,"[0.6161729097366333, 0.5011031165719032, 0.9538732528686523, 0.6886036932468415, 0.24640003740787506, 0.795888140797615, 0.3869459509849548]"
disgust,"Scuffle in a carriage of the underground in Vienna, three drunk men thrashed a man in a wheel chair - I watched the scene from another carriage. ",anger,"[0.9327866315841675, 0.8774214267730713, 0.8814916849136353, 0.7951676249504089, 0.26107477620244024, 0.7366682961583138, 0.7597743153572083]"
shame,I put an end to a friendship with a girl - I had only pretended love and affection to be able to sleep with her. ,guilt,"[0.3153543025255203, 0.23179626353085042, 0.13463275581598283, 0.7661183595657348, 0.05463212486356497, 0.46194230020046234, 0.746056067943573]"
guilt,A young girl tried to put an end to her life because of lover's grief not until she was in hospital I heard that I had been the reason for her action. ,sadness,"[0.047833479940891266, 0.09702330771833659, 0.09434738084673881, 0.5004064351320267, 0.04799241854343563, 0.9732780605554581, 0.18881422579288482]"
joy,"In order to be admitted to my final examination, I had to pass two examinations. As I had not studied very much, I resigned myself to be left behind. Nevertheless I succeeded in these examinations. ",fear,"[0.3236119791865349, 0.20017750933766365, 0.7823047041893005, 0.47530065178871156, 0.5500856220722199, 0.41124171763658524, 0.33706442415714266]"
fear,"I had not told my parents about my bad marks in school. One day, my father wanted to speak to the teachers. Fortunately I could influence my parents to take it easy. ",shame,"[0.7682238817214966, 0.6887523293495178, 0.6912503719329834, 0.7917097210884094, 0.2331033691763878, 0.7185625433921814, 0.8420729875564575]"
anger,"I wanted to go to a friend of mine who had a party at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon. ",guilt,"[0.865069043636322, 0.5789045602083206, 0.7470017433166504, 0.8690361976623535, 0.12381845414638519, 0.8583064526319504, 0.8167686462402344]"
sadness,"A friend of mine, who had repeated a year at school once before, did not pass the final examination and had to take it again half a year later. ",sadness,"[0.7370695829391479, 0.525677216053009, 0.7296728134155274, 0.7634921550750733, 0.11418448276817798, 0.844003900885582, 0.8242607474327087]"
disgust,"Eco-activists demonstrated against a project to build a power station at the Danube in the middle of a lowland forest (Hainburg) and the government decided to delay it for another year. When my father heard about it, he said that we needed another Hitler. ",disgust,"[0.9410323381423951, 0.9553739190101623, 0.8833319902420044, 0.6977344572544097, 0.07147632800042629, 0.5161150209605694, 0.6486310482025146]"
shame,There was a time when my room looked terribly untidy just at that time my aunt came to see me fortunately I could prevent her from entering the room. ,guilt,"[0.7179501533508301, 0.7290591120719909, 0.8103556871414185, 0.82934410572052, 0.14331991579383613, 0.6692038923501968, 0.7532361745834351]"
guilt,"I was supposed to fetch some friends at the bus stop, but I did not do it because my father was in a bad mood and I was afraid that he would grumble. ",fear,"[0.66454376578331, 0.5155541300773621, 0.9346485018730164, 0.8344548463821411, 0.12281899955123662, 0.5363311879336834, 0.6099505126476288]"
joy,My boyfriend returned after a long absence. ,joy,"[0.3330289363861084, 0.050896117277443406, 0.30069427341222765, 0.5287133663892746, 0.7546929001808167, 0.36021803319454193, 0.2525196895003319]"
fear,My car skidded on the wet street. ,fear,"[0.7381298780441284, 0.474782994389534, 0.8035299181938171, 0.724112069606781, 0.06175942309200764, 0.46827179938554764, 0.6011338055133819]"
anger,"I wanted to see a friend, I had been looking forward to it and had certain expectations, but he did not pay any attention to me, played cards with other people. ",sadness,"[0.8511693120002747, 0.3844363586977124, 0.2880615271627903, 0.8620875716209412, 0.0426785446703434, 0.9112968444824219, 0.8461479783058167]"
sadness,A good friend quitted me after he had behaved in a strange manner. ,sadness,"[0.8132276177406311, 0.6707255870103837, 0.544584333896637, 0.8172783017158508, 0.09071222934871911, 0.9053845554590225, 0.86686772108078]"
disgust,In broad daylight I saw an untidy old man pissing and playing with his penis in the middle of the town. ,anger,"[0.9032657980918884, 0.8626134872436524, 0.8314556956291199, 0.7419907510280609, 0.3277700409293175, 0.48566898703575134, 0.7779649376869202]"
shame,Somebody who knows me very well discovered that I had told him a lie. ,shame,"[0.7758948683738709, 0.6543759524822235, 0.6749480485916137, 0.8497054815292359, 0.16269916221499442, 0.7121668010950089, 0.8904105663299561]"
guilt,"When my boyfriend was away, I flirted with his best friend I felt guilty the next day. ",guilt,"[0.04300115704536438, 0.5566001057624816, 0.13854015953838825, 0.9579394698143006, 0.06458702431991696, 0.6243122816085815, 0.8355124831199646]"
anger,"Recently a good friend only called me when he needed something. He never said ""please"" or ""thank you"" or any other kind word. ",sadness,"[0.3771988093852997, 0.16083601377904416, 0.3119823709130287, 0.3989838659763336, 0.06962180212140083, 0.475221898406744, 0.4128726691007614]"
sadness,"My favourite horse died. We had tried our best to save him, but it was hopeless, he had to be shot. ",sadness,"[0.7124096870422363, 0.849492871761322, 0.8466447353363037, 0.8614343643188477, 0.18835927632171662, 0.9895012080669403, 0.7932521939277649]"
disgust,I read a book about the sexual phantasies of women I read about a woman having sexual intercourse with a dog. ,joy,"[0.15180719122290612, 0.14035751894116402, 0.12219676971435547, 0.18911072527989745, 0.22053524106740952, 0.04862846352625638, 0.12672098278999328]"
shame,In our flat the bath-tub is in the kitchen. At the beginning I had very intensive feelings of shame when I had a bath and people were in the kitchen. ,shame,"[0.014503571204841137, 0.6585280396044254, 0.2070360764861107, 0.5846634209156036, 0.007409078814089298, 0.10791806294582784, 0.9544999957084656]"
guilt,"I had to take care of the plants of a friend of mine for several weeks. I watered them, but let them stand in a cold room so that two of them perished. ",sadness,"[0.7279431402683259, 0.693344259262085, 0.6446505427360535, 0.8573115110397339, 0.0634667381644249, 0.862944632768631, 0.7454499959945678]"
joy,When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again. ,joy,"[0.011083695199340582, 0.004858769825659692, 0.042566422728123145, 0.41405799575150015, 0.8652073621749878, 0.001803644438041374, 0.14043181659653783]"
fear,"When we stayed in Vienna with our class, my friend and I behaved incorrectly. Our teacher threatened us with exclusion from school. ",fear,"[0.8746478319168091, 0.7745904684066772, 0.9123794913291932, 0.9058610677719117, 0.11956600975245238, 0.5563800558447838, 0.9082694530487061]"
anger,When I lost my driving license because I had been driving while under the influence of alcool. ,shame,"[0.8792883634567261, 0.8644093751907349, 0.8191022634506225, 0.9180887103080749, 0.022215001191943883, 0.9080501943826675, 0.9365117311477661]"
sadness,My mother's death. ,sadness,"[0.6431802034378051, 0.6482725501060486, 0.8223364591598511, 0.7132324784994125, 0.13075389803852885, 0.9764348268508911, 0.566741555929184]"
disgust,When I entered the dissecting room for the first time. I think I felt disgusted mainly because of the bad smell of formaline. ,disgust,"[0.2869746133685112, 0.8516260325908661, 0.07259226874448359, 0.29100899696350097, 0.0261534018907696, 0.23735944530926645, 0.4786868683993816]"
shame,I think I felt ashamed for the first time when I entered a night club. ,shame,"[0.010125689487904311, 0.6672980166971684, 0.09475058233365416, 0.7388469904661179, 0.15721422298811377, 0.13141364348120987, 0.9744042992591858]"
guilt,"During a ski tour with a friend, we two had drunk too much. When we went down the slope on ski, I lost my friend who had lost his way. I thought that something must have happened to him (he finally arrived but after a very long time). ",fear,"[0.8093487024307251, 0.6602189898490906, 0.9762107372283936, 0.926418137550354, 0.11500513860955834, 0.9469387084245682, 0.8596757173538208]"
joy,My father stayed abroad for one year. He does not like to write letters because he makes ortographic mistakes. I never had a good relation to him. He wrote me a letter in which he said that he loved me. ,guilt,"[0.008378077228553594, 0.004572706634644419, 0.014139943476766347, 0.08946164548397065, 0.028712533228099347, 0.05092746298760176, 0.019744265265762805]"
fear,"When I was a child, I was always afraid of my father. Just when he looked at me, I felt frightened. ",fear,"[0.02924183513969183, 0.22979624066501855, 0.9882728457450867, 0.5296068757772445, 0.11509639583528042, 0.174281133338809, 0.29968375973403455]"
anger,A colleague asked me to study with her. I could not explain things as perfectly as she had expected. So she reacted in an aggressive manner. ,anger,"[0.8607410669326783, 0.5654808282852173, 0.4073633462190628, 0.5834883034229279, 0.06511558182537555, 0.32203819043934345, 0.4261942535638809]"
sadness,"During the Christmas holidays, I went to see my parents and stayed with them for two weeks. After two or three days, we had the same conflicts we had had ten years before when I had lived with them. They were glad when I left. ",anger,"[0.6666700899600982, 0.6598961114883423, 0.3752700939774513, 0.45471581518650056, 0.23848805725574493, 0.2932550963014364, 0.5088213860988617]"
disgust,"Old man in hospital, hollow-cheeked, only one half of his nose and glass-eye, rattling breath. ",fear,"[0.554083275794983, 0.6816275835037231, 0.9394779920578002, 0.6220311164855957, 0.05969990313751623, 0.9067519158124924, 0.6039366483688354]"
shame,When my father came into the bathroom and saw me standing there naked. ,shame,"[0.8756176471710205, 0.7786938428878785, 0.8742180705070496, 0.8748304724693299, 0.2133958235383034, 0.8504187017679214, 0.9036733984947205]"
guilt,"I live with my boyfriend, we have a close relationship, I fell in love with another man. ",guilt,"[0.022466191626153886, 0.002593796810833737, 0.020512483920902012, 0.304609140753746, 0.14482658207416535, 0.08382934425026178, 0.12988924048841]"
joy,When I met my girlfriend - I had not counted on that. ,fear,"[0.5648108184337616, 0.312287487834692, 0.6730914294719696, 0.6682280778884888, 0.41413735747337344, 0.5587944611907005, 0.613689124584198]"
fear,"One night I had a feeling that somebody was stealing my car, but I was too frightened to go and see. ",fear,"[0.035775291919708255, 0.2560682650655508, 0.9885116457939148, 0.7673667669296265, 0.19747545518912374, 0.03354048985056579, 0.28908826131373644]"
anger,When we rearranged furniture in our flat and got stuck in a chair. ,fear,"[0.7613763093948365, 0.6249979376792908, 0.8006052255630494, 0.7859565615653992, 0.05254612360149622, 0.7450145035982132, 0.7010956048965454]"
sadness,A person died (not really a friend). ,sadness,"[0.38979647755622865, 0.4235129952430725, 0.5315639793872833, 0.43004517555236815, 0.04499869467690587, 0.8654049634933472, 0.31850416511297225]"
disgust,"Several weeks ago, I had problems with friends, I felt disgusted by a friend. ",disgust,"[0.7768802165985107, 0.9556417346000672, 0.30358787402510645, 0.5766865909099579, 0.014063138409983366, 0.26182041480205953, 0.8610828399658204]"
shame,"When I was a child, I thought that I had to be ashamed when asking and doing certain forbidden things. ",shame,"[0.07613004352897405, 0.5644221052527427, 0.541400195658207, 0.7172484993934631, 0.050865272991359234, 0.41156410053372383, 0.907895314693451]"
guilt,When quarreling with friends. ,anger,"[0.8123671650886536, 0.5625990092754364, 0.2665208883583546, 0.5367598164826631, 0.05671026089694351, 0.2509795669466257, 0.4346334159374237]"
joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I was not thinking about anything, I felt an overwhelming joy. ",joy,"[0.0006161060591693968, 0.00039933183579705657, 0.00189897776581347, 0.15203550610458477, 0.8662038207054138, 0.0005745654561906122, 0.06034090953180567]"
fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool). Suddenly some soil fell on us, then some water. Although we tried hard, we could not find out the cause. ",fear,"[0.7615386843681335, 0.6004981577396393, 0.8380449891090394, 0.7368728637695312, 0.07176825478672981, 0.7085131406784058, 0.7388415575027466]"
anger,I helped my little sister ( years) learning mathematics. Obviously she did not want to understand what I explained and started to cry. I grew angry. ,anger,"[0.8769071221351623, 0.3691845670342445, 0.08571442104876041, 0.5794261246919632, 0.08038718709722162, 0.23403203126508743, 0.2621600339189172]"
sadness,When my girlfriend told me that she wanted to leave me. ,sadness,"[0.742054033279419, 0.6310878932476044, 0.7954457640647888, 0.7752703845500946, 0.07453029523603619, 0.9323306083679199, 0.763456404209137]"
disgust,"On a trip I passed by a cellulose factory. It was a fine day, beautiful landscape I observed this factory with disgust. ",disgust,"[0.8832254409790039, 0.9909205317497254, 0.2909390315413475, 0.517189160734415, 0.1033017696114257, 0.32133981492370367, 0.7142434120178223]"
shame,"When I went to a sauna with my father for the first time (I was ). When I entered the sauna naked, I felt ashamed for a short time. ",shame,"[0.011004740046337247, 0.6352470755577088, 0.22000114433467388, 0.6570180475711822, 0.021182100486475973, 0.18443525582551956, 0.9507092356681823]"
guilt,"I came home from a discotheque at half past four in the morning, although I had promised my parents to come home at midnight. From a. m. I felt guilty towards my parents. ",guilt,"[0.02594631751999259, 0.24840200413018465, 0.2175407176837325, 0.9284182548522949, 0.09981144331395626, 0.786380261182785, 0.6817949056625366]"
joy,A friend I had missed very much came to see me unexpectedly. ,joy,"[0.009693145658820868, 0.0015827593626454473, 0.19286087770015, 0.5689304560422898, 0.8125790596008301, 0.4814517144113779, 0.18177888877689838]"
fear,On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened. ,fear,"[0.00429937350563705, 0.04529503686353564, 0.983621621131897, 0.49700589627027514, 0.17203483127523214, 0.03329343721270561, 0.26114838002249596]"
